"","date","timestamp","id","time_tbd","date_tbd","type","datetime_local","description","datetime_utc","short_title","popularity","is_open","title","datetime_tbd","created_at","visible_until_utc","announce_date","score","status","url","general_admission","listing_count","average_price","lowest_price_good_deals","lowest_price","visible_listing_count","highest_price","median_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","id_venue","slug","display_location","timezone","state","postal_code","has_upcoming_events","popularity_venue","num_upcoming_events","metro_code","name_v2","address","score_venue","country","url_venue","name","extended_address","city","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-10-15","2018-10-15_16.07.46",4346914,FALSE,FALSE,"nfl","2018-10-15T19:15:00","","2018-10-16T00:15:00","49ers at Packers",0.979,FALSE,"San Francisco 49ers at Green Bay Packers",FALSE,"2018-04-20T00:47:13","2018-10-16T04:15:00","2018-04-20T00:00:00",0.897,"normal","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914",NA,3,171,79,96,134,214,203,"2018-08-24T21:53:38Z","QRCODE",FALSE,1125,"lambeau-field","Green Bay, WI","America/Chicago","WI","54304",TRUE,0,5,658,"Lambeau Field","1265 Lombardi Avenue",0.92909414,"US","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field","Green Bay, WI 54304","Green Bay",44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"2","2018-10-15","2018-10-15_16.07.46",4347102,FALSE,FALSE,"nfl","2018-10-18T17:20:00","","2018-10-19T00:20:00","Broncos at Cardinals",0.988,FALSE,"Denver Broncos at Arizona Cardinals",FALSE,"2018-04-20T00:47:51","2018-10-19T04:20:00","2018-04-20T00:00:00",0.887,"normal","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102",NA,254,139.74803,57,57,911,426,117,"2018-08-24T21:53:38Z","QRCODE",FALSE,43,"state-farm-stadium","Glendale, AZ","America/Phoenix","AZ","85305",TRUE,0,10,753,"State Farm Stadium","1 Cardinals Drive",0.93402725,"US","https://seatgeek.com/venues/state-farm-stadium/tickets","State Farm Stadium","Glendale, AZ 85305","Glendale",33.5294,-112.262,"2015-12-21T17:26:05Z","NONE",FALSE
"3","2018-10-15","2018-10-15_16.07.46",4471322,FALSE,FALSE,"sports","2018-10-20T18:30:00","","2018-10-20T23:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",0.534,FALSE,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,"2018-08-01T16:01:33","2018-10-21T03:30:00","2018-08-01T00:00:00",0.334,"normal","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322",NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,4081,"asu-convocation-center-1","Jonesboro, AR","America/Chicago","AR","72401",TRUE,0,40,734,"ASU Convocation Center","217 Olympic Drive",0.5808074,"US","https://seatgeek.com/venues/asu-convocation-center-1/tickets","ASU Convocation Center","Jonesboro, AR 72401","Jonesboro",35.8438,-90.6691,NA,NA,NA
"4","2018-10-15","2018-10-15_16.07.46",4346960,FALSE,FALSE,"nfl","2018-10-21T13:00:00","","2018-10-21T17:00:00","Bills at Colts",0.927,FALSE,"Buffalo Bills at Indianapolis Colts",FALSE,"2018-04-20T00:47:22","2018-10-21T21:00:00","2018-04-20T00:00:00",0.831,"normal","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",NA,623,89.58588,23,24,1147,430,77,"2018-08-24T21:53:38Z","QRCODE",FALSE,1130,"lucas-oil-stadium","Indianapolis, IN","America/Indiana/Indianapolis","IN","46225",TRUE,0,12,527,"Lucas Oil Stadium","500 South Capitol Avenue",0.9071682,"US","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","Indianapolis, IN 46225","Indianapolis",39.7601,-86.1639,"2018-09-13T22:29:37Z","QRCODE_TM",FALSE
"5","2018-10-15","2018-10-15_16.07.46",4347008,FALSE,FALSE,"nfl","2018-10-21T12:00:00","","2018-10-21T17:00:00","Patriots at Bears",1.022,FALSE,"New England Patriots at Chicago Bears",FALSE,"2018-04-20T00:47:33","2018-10-21T21:00:00","2018-04-20T00:00:00",0.941,"normal","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",NA,31,796.25806,301,402,431,1688,778,"2018-08-24T21:53:38Z","QRCODE",FALSE,31,"soldier-field","Chicago, IL","America/Chicago","IL","60605",TRUE,0,8,602,"Soldier Field","1410 S. Museum Campus Drive",0.940013,"US","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","Chicago, IL 60605","Chicago",41.8623,-87.6159,"2018-06-02T00:44:08Z","NONE",FALSE
"6","2018-10-15","2018-10-15_16.07.46",4346975,FALSE,FALSE,"nfl","2018-10-21T13:00:00","","2018-10-21T17:00:00","Vikings at Jets",1.001,FALSE,"Minnesota Vikings at New York Jets",FALSE,"2018-04-20T00:47:26","2018-10-21T21:00:00","2018-04-20T00:00:00",0.912,"normal","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",NA,449,185.33408,69,76,1197,753,162,"2018-08-24T21:53:38Z","QRCODE",FALSE,1587,"metlife-stadium","East Rutherford, NJ","America/New_York","NJ","07073",TRUE,0,12,501,"MetLife Stadium","1 MetLife Stadium Drive",0.94873494,"US","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","East Rutherford, NJ 07073","East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"7","2018-10-15","2018-10-15_16.07.46",4346931,FALSE,FALSE,"nfl","2018-10-21T13:00:00","","2018-10-21T17:00:00","Browns at Buccaneers",0.937,FALSE,"Cleveland Browns at Tampa Bay Buccaneers",FALSE,"2018-04-20T00:47:16","2018-10-21T21:00:00","2018-04-20T00:00:00",0.844,"normal","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",NA,14,255.5,79,89,454,450,248,"2018-08-24T21:53:38Z","QRCODE",FALSE,39,"raymond-james-stadium","Tampa, FL","America/New_York","FL","33607",TRUE,0,14,539,"Raymond James Stadium","4201 North Dale Mabry Highway",0.86513025,"US","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium","Tampa, FL 33607","Tampa",27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"8","2018-10-15","2018-10-15_16.07.46",4347084,FALSE,FALSE,"nfl","2018-10-21T13:00:00","","2018-10-21T17:00:00","Lions at Dolphins",0.947,FALSE,"Detroit Lions at Miami Dolphins",FALSE,"2018-04-20T00:47:47","2018-10-21T21:00:00","2018-04-20T00:00:00",0.851,"normal","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",NA,121,139.95868,48,60,1632,299,127,"2018-08-24T21:53:38Z","QRCODE",FALSE,29,"hard-rock-stadium","Miami Gardens, FL","America/New_York","FL","33056",TRUE,0,32,528,"Hard Rock Stadium","347 Don Shula Dr.",0.8378203,"US","https://seatgeek.com/venues/hard-rock-stadium/tickets","Hard Rock Stadium","Miami Gardens, FL 33056","Miami Gardens",25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"9","2018-10-15","2018-10-15_16.07.46",4346948,FALSE,FALSE,"nfl","2018-10-21T13:00:00","","2018-10-21T17:00:00","Texans at Jaguars",0.879,FALSE,"Houston Texans at Jacksonville Jaguars",FALSE,"2018-04-20T00:47:19","2018-10-21T21:00:00","2018-04-20T00:00:00",0.772,"normal","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948",NA,3,114.333336,35,59,1050,197,87,"2018-08-24T21:53:38Z","QRCODE",FALSE,5178,"tiaa-bank-field","Jacksonville, FL","America/New_York","FL","32202",TRUE,0,7,561,"TIAA Bank Field","1 Everbank Field Dr",0.83759147,"US","https://seatgeek.com/venues/tiaa-bank-field/tickets","TIAA Bank Field","Jacksonville, FL 32202","Jacksonville",30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"10","2018-10-15","2018-10-15_16.07.46",4347036,FALSE,FALSE,"nfl","2018-10-21T13:00:00","","2018-10-21T17:00:00","Panthers at Eagles",0.986,FALSE,"Carolina Panthers at Philadelphia Eagles",FALSE,"2018-04-20T00:47:39","2018-10-21T21:00:00","2018-04-20T00:00:00",0.903,"normal","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",NA,181,335.96686,149,151,1115,705,311,"2018-08-24T21:53:38Z","QRCODE",FALSE,330,"lincoln-financial-field","Philadelphia, PA","America/New_York","PA","19148",TRUE,0,13,504,"Lincoln Financial Field","1020 Pattison Ave",0.90542686,"US","https://seatgeek.com/venues/lincoln-financial-field/tickets","Lincoln Financial Field","Philadelphia, PA 19148","Philadelphia",39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
