"","date","timestamp","created_at","url","visible_until_utc","id","date_tbd","short_title","announce_date","datetime_local","datetime_tbd","is_open","description","time_tbd","type","title","status","score","datetime_utc","popularity","general_admission","average_price","listing_count","highest_price","lowest_price","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","url_venue","id_venue","name_v2","postal_code","metro_code","state","address","num_upcoming_events","slug","extended_address","country","has_upcoming_events","score_venue","popularity_venue","timezone","display_location","city","name","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:41","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","2018-09-14T04:20:00",4347044,FALSE,"Ravens at Bengals","2018-04-20T00:00:00","2018-09-13T20:20:00",FALSE,FALSE,"",FALSE,"nfl","Baltimore Ravens at Cincinnati Bengals","normal",0.867,"2018-09-14T00:20:00",0.715,NA,88.67647,34,149,62,65,85,137,"2018-08-24T17:03:28Z",FALSE,"QRCODE","https://seatgeek.com/venues/paul-brown-stadium/tickets",1124,"Paul Brown Stadium","45202",515,"OH","1 Paul Brown Stadium",8,"paul-brown-stadium","Cincinnati, OH 45202","US",TRUE,0.86166537,0,"America/New_York","Cincinnati, OH","Cincinnati","Paul Brown Stadium",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"2","2018-09-13","2018-09-13_16.00.42","2018-02-28T15:00:17","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","2018-09-16T03:00:00",4281986,FALSE,"Texas State at South Alabama","2018-02-28T00:00:00","2018-09-15T18:00:00",FALSE,FALSE,"",FALSE,"ncaa_football","Texas State Bobcats at South Alabama Jaguars Football","normal",0.32,"2018-09-15T23:00:00",0.543,NA,35.294117,17,50,14,20,35,9,NA,NA,NA,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets",3716,"Ladd Peebles Stadium","36604",686,"AL","1621 Virginia St.",7,"ladd-peebles-stadium","Mobile, AL 36604","US",TRUE,0.50177634,0,"America/Chicago","Mobile, AL","Mobile","Ladd Peebles Stadium",30.6748,-88.0761,NA,NA,NA
"3","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:30","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","2018-09-16T20:00:00",4346993,FALSE,"Texans at Titans","2018-04-20T00:00:00","2018-09-16T12:00:00",FALSE,FALSE,"",FALSE,"nfl","Houston Texans at Tennessee Titans","normal",0.859,"2018-09-16T16:00:00",0.906,NA,127.43254,252,333,54,49,117,576,"2018-08-24T18:23:49Z",FALSE,"QRCODE","https://seatgeek.com/venues/nissan-stadium/tickets",1126,"Nissan Stadium","37213",659,"TN","1 Titans Way",15,"nissan-stadium","Nashville, TN 37213","US",TRUE,0.8546275,0,"America/New_York","Nashville, TN","Nashville","Nissan Stadium",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"4","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:18","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","2018-09-16T21:00:00",4346944,FALSE,"Colts at Redskins","2018-04-20T00:00:00","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Indianapolis Colts at Washington Redskins","normal",0.962,"2018-09-16T17:00:00",0.972,NA,152.20895,67,310,74,68,149,688,"2018-08-24T18:23:09Z",FALSE,"QRCODE","https://seatgeek.com/venues/fedex-field/tickets",35,"FedEx Field","20785",511,"MD","1600 Fedex Way",8,"fedex-field","Landover, MD 20785","US",TRUE,0.9333444,0,"America/New_York","Landover, MD","Landover","FedEx Field",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"5","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:42","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","2018-09-16T21:00:00",4347054,FALSE,"Panthers at Falcons","2018-04-20T00:00:00","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Carolina Panthers at Atlanta Falcons","normal",0.932,"2018-09-16T17:00:00",0.957,NA,194.921,595,735,79,79,157,890,"2018-08-23T20:14:46Z",FALSE,"QRCODE","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",419590,"Mercedes-Benz Stadium","30313",0,"GA","441 M.L.K. Jr Dr NW",20,"mercedes-benz-stadium","Atlanta, GA 30313","US",TRUE,0.76958936,0,"America/New_York","Atlanta, GA","Atlanta","Mercedes-Benz Stadium",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"6","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:16","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","2018-09-16T21:00:00",4346933,FALSE,"Eagles at Buccaneers","2018-04-20T00:00:00","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Philadelphia Eagles at Tampa Bay Buccaneers","normal",0.897,"2018-09-16T17:00:00",0.936,NA,290.1111,27,558,143,131,263,568,"2018-08-24T17:04:19Z",FALSE,"QRCODE","https://seatgeek.com/venues/raymond-james-stadium/tickets",39,"Raymond James Stadium","33607",539,"FL","4201 North Dale Mabry Highway",15,"raymond-james-stadium","Tampa, FL 33607","US",TRUE,0.86513025,0,"America/New_York","Tampa, FL","Tampa","Raymond James Stadium",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"7","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:45","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","2018-09-16T21:00:00",4347074,FALSE,"Chiefs at Steelers","2018-04-20T00:00:00","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Kansas City Chiefs at Pittsburgh Steelers","normal",0.93,"2018-09-16T17:00:00",0.95,NA,273.4553,123,611,107,107,260,293,"2018-08-24T18:24:29Z",FALSE,"QRCODE","https://seatgeek.com/venues/heinz-field/tickets",1119,"Heinz Field","15212",508,"PA","100 Art Rooney Avenue",12,"heinz-field","Pittsburgh, PA 15212","US",TRUE,0.9033526,0,"America/New_York","Pittsburgh, PA","Pittsburgh","Heinz Field",40.4468,-80.0158,"2015-12-08T15:36:23Z",FALSE,"QRCODE_TM"
"8","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:14","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915","2018-09-16T21:00:00",4346915,FALSE,"Vikings at Packers","2018-04-20T00:00:00","2018-09-16T12:00:00",FALSE,FALSE,"",FALSE,"nfl","Minnesota Vikings at Green Bay Packers","normal",0.944,"2018-09-16T17:00:00",0.951,NA,422.36206,116,934,272,154,407,344,"2018-08-24T17:03:48Z",FALSE,"QRCODE","https://seatgeek.com/venues/lambeau-field/tickets",1125,"Lambeau Field","54304",658,"WI","1265 Lombardi Avenue",7,"lambeau-field","Green Bay, WI 54304","US",TRUE,0.92909414,0,"America/Chicago","Green Bay, WI","Green Bay","Lambeau Field",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"9","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:25","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973","2018-09-16T21:00:00",4346973,FALSE,"Browns at Saints","2018-04-20T00:00:00","2018-09-16T12:00:00",FALSE,TRUE,"",FALSE,"nfl","Cleveland Browns at New Orleans Saints","normal",0.891,"2018-09-16T17:00:00",0.923,NA,172.99115,1356,1800,40,40,155,1245,"2018-05-29T20:38:49Z",FALSE,"QRCODE","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",128,"Mercedes-Benz Superdome","70112",622,"LA","1500 Sugar Bowl Drive",19,"mercedes-benz-superdome","New Orleans, LA 70112","US",TRUE,0.8966978,0,"America/Chicago","New Orleans, LA","New Orleans","Mercedes-Benz Superdome",29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"10","2018-09-13","2018-09-13_16.00.42","2018-04-20T00:47:44","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064","2018-09-16T21:00:00",4347064,FALSE,"Chargers at Bills","2018-04-20T00:00:00","2018-09-16T13:00:00",FALSE,FALSE,"",FALSE,"nfl","Los Angeles Chargers at Buffalo Bills","normal",0.914,"2018-09-16T17:00:00",0.94,NA,156.39241,158,452,92,94,148,394,"2018-08-24T18:24:17Z",FALSE,"QRCODE","https://seatgeek.com/venues/new-era-field/tickets",1135,"New Era Field","14127",514,"NY","1 Bills Drive",8,"new-era-field","Orchard Park, NY 14127","US",TRUE,0.8815085,0,"America/New_York","Orchard Park, NY","Orchard Park","New Era Field",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
