"","date","timestamp","datetime_local","id","time_tbd","url","popularity","announce_date","date_tbd","datetime_tbd","status","description","visible_until_utc","is_open","created_at","short_title","title","type","datetime_utc","score","general_admission","average_price","visible_listing_count","listing_count","median_price","lowest_price","highest_price","lowest_price_good_deals","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","timezone","id_venue","has_upcoming_events","country","url_venue","popularity_venue","display_location","name","postal_code","metro_code","num_upcoming_events","extended_address","slug","name_v2","address","city","score_venue","state","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-10-09","2018-10-09_16.00.05","2018-10-11T20:20:00",4346917,FALSE,"https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917",0.941,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-12T04:20:00",FALSE,"2018-04-20T00:47:14","Eagles at Giants","Philadelphia Eagles at New York Giants","nfl","2018-10-12T00:20:00",0.944,NA,243.09953,2038,211,194,96,1519,89,FALSE,"2018-08-24T21:52:02Z","QRCODE","America/New_York",1587,TRUE,"US","https://seatgeek.com/venues/metlife-stadium/tickets",0,"East Rutherford, NJ","MetLife Stadium","07073",501,14,"East Rutherford, NJ 07073","metlife-stadium","MetLife Stadium","1 MetLife Stadium Drive","East Rutherford",0.94873494,"NJ",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"2","2018-10-09","2018-10-09_16.00.05","2018-10-13T16:00:00",4192619,FALSE,"https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619",0.57,"2017-12-21T00:00:00",FALSE,FALSE,"normal","","2018-10-14T01:00:00",FALSE,"2017-12-21T15:00:36","Alabama State at South Alabama","Alabama State Hornets at South Alabama Jaguars Football","ncaa_football","2018-10-13T21:00:00",0.478,NA,47.11111,4,9,49,32,74,32,NA,NA,NA,"America/Chicago",3716,TRUE,"US","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0,"Mobile, AL","Ladd Peebles Stadium","36604",686,5,"Mobile, AL 36604","ladd-peebles-stadium","Ladd Peebles Stadium","1621 Virginia St.","Mobile",0.50177634,"AL",30.6748,-88.0761,NA,NA,NA
"3","2018-10-09","2018-10-09_16.00.05","2018-10-14T13:00:00",4346961,FALSE,"https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961",0.908,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:22","Colts at Jets","Indianapolis Colts at New York Jets","nfl","2018-10-14T17:00:00",0.915,NA,151.27736,1467,530,127,47,900,42,FALSE,"2018-08-24T21:52:02Z","QRCODE","America/New_York",1587,TRUE,"US","https://seatgeek.com/venues/metlife-stadium/tickets",0,"East Rutherford, NJ","MetLife Stadium","07073",501,14,"East Rutherford, NJ 07073","metlife-stadium","MetLife Stadium","1 MetLife Stadium Drive","East Rutherford",0.94873494,"NJ",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"4","2018-10-09","2018-10-09_16.00.05","2018-10-14T13:00:00",4347051,FALSE,"https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051",0.883,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:42","Buccaneers at Falcons","Tampa Bay Buccaneers at Atlanta Falcons","nfl","2018-10-14T17:00:00",0.895,NA,155.44212,2275,527,133,61,721,61,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",419590,TRUE,"US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0,"Atlanta, GA","Mercedes-Benz Stadium","30313",0,18,"Atlanta, GA 30313","mercedes-benz-stadium","Mercedes-Benz Stadium","35 Northside Dr NW","Atlanta",0.76958936,"GA",33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"5","2018-10-09","2018-10-09_16.00.05","2018-10-14T13:00:00",4347042,FALSE,"https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042",0.886,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:40","Steelers at Bengals","Pittsburgh Steelers at Cincinnati Bengals","nfl","2018-10-14T17:00:00",0.893,NA,190.25,571,244,166,111,598,125,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",1124,TRUE,"US","https://seatgeek.com/venues/paul-brown-stadium/tickets",0,"Cincinnati, OH","Paul Brown Stadium","45202",515,6,"Cincinnati, OH 45202","paul-brown-stadium","Paul Brown Stadium","1 Paul Brown Stadium","Cincinnati",0.86166537,"OH",39.0961,-84.5177,FALSE,"2015-10-09T16:14:37Z","QRCODE_TM"
"6","2018-10-09","2018-10-09_16.00.05","2018-10-14T13:00:00",4347081,FALSE,"https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081",0.892,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:47","Bears at Dolphins","Chicago Bears at Miami Dolphins","nfl","2018-10-14T17:00:00",0.897,NA,214.46153,1249,78,198,96,666,86,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",29,TRUE,"US","https://seatgeek.com/venues/hard-rock-stadium/tickets",0,"Miami Gardens, FL","Hard Rock Stadium","33056",528,34,"Miami Gardens, FL 33056","hard-rock-stadium","Hard Rock Stadium","347 Don Shula Dr.","Miami Gardens",0.8378203,"FL",25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"7","2018-10-09","2018-10-09_16.00.05","2018-10-14T13:00:00",4346942,FALSE,"https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942",0.912,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:18","Panthers at Redskins","Carolina Panthers at Washington Redskins","nfl","2018-10-14T17:00:00",0.924,NA,149.80556,927,72,143,98,259,92,FALSE,"2018-08-24T21:52:02Z","QRCODE","America/New_York",35,TRUE,"US","https://seatgeek.com/venues/fedex-field/tickets",0,"Landover, MD","FedEx Field","20785",511,6,"Landover, MD 20785","fedex-field","FedEx Field","1600 Fedex Way","Landover",0.9333444,"MD",38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"8","2018-10-09","2018-10-09_16.00.05","2018-10-14T12:00:00",4347019,FALSE,"https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019",0.87,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:36","Bills at Texans","Buffalo Bills at Houston Texans","nfl","2018-10-14T17:00:00",0.874,NA,153.53874,1798,542,128,56,630,56,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/Chicago",41,TRUE,"US","https://seatgeek.com/venues/nrg-stadium/tickets",0,"Houston, TX","NRG Stadium","77054",618,42,"Houston, TX 77054","nrg-stadium","NRG Stadium","1 Reliant Park","Houston",0.8624192,"TX",29.6847,-95.4107,FALSE,"2015-11-04T18:42:27Z","QRCODE_TM"
"9","2018-10-09","2018-10-09_16.00.05","2018-10-14T12:00:00",4347145,FALSE,"https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145",0.877,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T01:04:06","Cardinals at Vikings","Arizona Cardinals at Minnesota Vikings","nfl","2018-10-14T17:00:00",0.883,NA,280.78412,1238,315,232,108,1005,108,FALSE,"2018-08-24T21:53:38Z","QRCODE","America/Chicago",218451,TRUE,"US","https://seatgeek.com/venues/u-s-bank-stadium/tickets",0,"Minneapolis, MN","U.S. Bank Stadium","55415",0,15,"Minneapolis, MN 55415","u-s-bank-stadium","U.S. Bank Stadium","401 Chicago Avenue","Minneapolis",0.88524246,"MN",44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"10","2018-10-09","2018-10-09_16.00.05","2018-10-14T13:00:00",4346998,FALSE,"https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998",0.864,"2018-04-20T00:00:00",FALSE,FALSE,"normal","","2018-10-14T21:00:00",FALSE,"2018-04-20T00:47:31","Chargers at Browns","Los Angeles Chargers at Cleveland Browns","nfl","2018-10-14T17:00:00",0.864,NA,128.19202,1059,526,97,59,559,46,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",1123,TRUE,"US","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0,"Cleveland, OH","FirstEnergy Stadium","44114",510,5,"Cleveland, OH 44114","firstenergy-stadium-15","FirstEnergy Stadium","100 Alfred Lerner Way","Cleveland",0.86852187,"OH",41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
