"","date","timestamp","date_tbd","id","short_title","score","datetime_tbd","status","is_open","announce_date","url","popularity","title","visible_until_utc","datetime_local","description","datetime_utc","created_at","type","time_tbd","general_admission","median_price","visible_listing_count","listing_count","average_price","lowest_price","lowest_price_good_deals","highest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","postal_code","country","id_venue","name","extended_address","score_venue","state","url_venue","timezone","has_upcoming_events","popularity_venue","display_location","metro_code","num_upcoming_events","name_v2","city","address","slug","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-10-19","2018-10-19_08.21.47",FALSE,4471322,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",0.353,FALSE,"normal",FALSE,"2018-08-01T00:00:00","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322",0.564,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-21T03:30:00","2018-10-20T18:30:00","","2018-10-20T23:30:00","2018-08-01T16:01:33","sports",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE","72401","US",4081,"ASU Convocation Center","Jonesboro, AR 72401",0.5808074,"AR","https://seatgeek.com/venues/asu-convocation-center-1/tickets","America/Chicago",TRUE,0,"Jonesboro, AR",734,41,"ASU Convocation Center","Jonesboro","217 Olympic Drive","asu-convocation-center-1",35.8438,-90.6691,NA,NA,NA
"2","2018-10-19","2018-10-19_08.21.47",FALSE,4347008,"Patriots at Bears",1.002,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",0.967,"New England Patriots at Chicago Bears","2018-10-21T21:00:00","2018-10-21T12:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:33","nfl",FALSE,NA,740,290,48,870.4167,387,384,1707,"2018-08-24T21:53:38Z",FALSE,"QRCODE","60605","US",31,"Soldier Field","Chicago, IL 60605",0.940013,"IL","https://seatgeek.com/venues/soldier-field/tickets","America/Chicago",TRUE,0,"Chicago, IL",602,8,"Soldier Field","Chicago","1410 S. Museum Campus Drive","soldier-field",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"3","2018-10-19","2018-10-19_08.21.47",FALSE,4346960,"Bills at Colts",0.865,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",0.871,"Buffalo Bills at Indianapolis Colts","2018-10-21T21:00:00","2018-10-21T13:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:22","nfl",FALSE,NA,56,1020,424,72.06132,24,23,357,"2018-08-24T21:53:38Z",FALSE,"QRCODE","46225","US",1130,"Lucas Oil Stadium","Indianapolis, IN 46225",0.9071682,"IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",TRUE,0,"Indianapolis, IN",527,12,"Lucas Oil Stadium","Indianapolis","500 South Capitol Avenue","lucas-oil-stadium",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"4","2018-10-19","2018-10-19_08.21.47",FALSE,4346975,"Vikings at Jets",0.97,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",0.951,"Minnesota Vikings at New York Jets","2018-10-21T21:00:00","2018-10-21T13:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:26","nfl",FALSE,NA,147,1242,362,177.31767,74,70,842,"2018-08-24T21:53:38Z",FALSE,"QRCODE","07073","US",1587,"MetLife Stadium","East Rutherford, NJ 07073",0.94873494,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",TRUE,0,"East Rutherford, NJ",501,12,"MetLife Stadium","East Rutherford","1 MetLife Stadium Drive","metlife-stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"5","2018-10-19","2018-10-19_08.21.47",FALSE,4346931,"Browns at Buccaneers",0.887,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",0.891,"Cleveland Browns at Tampa Bay Buccaneers","2018-10-21T21:00:00","2018-10-21T13:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:16","nfl",FALSE,NA,175,624,26,205.73077,89,87,450,"2018-08-24T21:53:38Z",FALSE,"QRCODE","33607","US",39,"Raymond James Stadium","Tampa, FL 33607",0.86513025,"FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","America/New_York",TRUE,0,"Tampa, FL",539,14,"Raymond James Stadium","Tampa","4201 North Dale Mabry Highway","raymond-james-stadium",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"6","2018-10-19","2018-10-19_08.21.47",FALSE,4347084,"Lions at Dolphins",0.907,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",0.907,"Detroit Lions at Miami Dolphins","2018-10-21T21:00:00","2018-10-21T13:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:47","nfl",FALSE,NA,115,1601,81,127.5679,54,39,509,"2018-08-24T21:53:38Z",FALSE,"QRCODE","33056","US",29,"Hard Rock Stadium","Miami Gardens, FL 33056",0.8378203,"FL","https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York",TRUE,0,"Miami Gardens, FL",528,32,"Hard Rock Stadium","Miami Gardens","347 Don Shula Dr.","hard-rock-stadium",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"7","2018-10-19","2018-10-19_08.21.47",FALSE,4346948,"Texans at Jaguars",0.811,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948",0.839,"Houston Texans at Jacksonville Jaguars","2018-10-21T21:00:00","2018-10-21T13:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:19","nfl",FALSE,NA,60,1118,246,70.94309,29,29,254,"2018-08-24T21:53:38Z",FALSE,"QRCODE","32202","US",5178,"TIAA Bank Field","Jacksonville, FL 32202",0.83759147,"FL","https://seatgeek.com/venues/tiaa-bank-field/tickets","America/New_York",TRUE,0,"Jacksonville, FL",561,7,"TIAA Bank Field","Jacksonville","1 Everbank Field Dr","tiaa-bank-field",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"8","2018-10-19","2018-10-19_08.21.47",FALSE,4347036,"Panthers at Eagles",0.965,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",0.941,"Carolina Panthers at Philadelphia Eagles","2018-10-21T21:00:00","2018-10-21T13:00:00","","2018-10-21T17:00:00","2018-04-20T00:47:39","nfl",FALSE,NA,278,1096,101,306.8812,138,117,2245,"2018-08-24T21:53:38Z",FALSE,"QRCODE","19148","US",330,"Lincoln Financial Field","Philadelphia, PA 19148",0.90542686,"PA","https://seatgeek.com/venues/lincoln-financial-field/tickets","America/New_York",TRUE,0,"Philadelphia, PA",504,13,"Lincoln Financial Field","Philadelphia","1020 Pattison Ave","lincoln-financial-field",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"9","2018-10-19","2018-10-19_08.21.47",FALSE,4347071,"Saints at Ravens",0.89,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071",0.891,"New Orleans Saints at Baltimore Ravens","2018-10-22T00:05:00","2018-10-21T16:05:00","","2018-10-21T20:05:00","2018-04-20T00:47:45","nfl",FALSE,NA,105,1178,168,121.92262,77,77,395,"2018-08-24T21:53:38Z",FALSE,"QRCODE","21230","US",1121,"M&T Bank Stadium","Baltimore, MD 21230",0.8927189,"MD","https://seatgeek.com/venues/m-t-bank-stadium/tickets","America/New_York",TRUE,0,"Baltimore, MD",512,6,"M&T Bank Stadium","Baltimore","1101 Russell St","m-t-bank-stadium",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"10","2018-10-19","2018-10-19_08.21.47",FALSE,4346941,"Cowboys at Redskins",1.004,FALSE,"normal",FALSE,"2018-04-20T00:00:00","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941",0.965,"Dallas Cowboys at Washington Redskins","2018-10-22T00:25:00","2018-10-21T16:25:00","","2018-10-21T20:25:00","2018-04-20T00:47:18","nfl",FALSE,NA,216,723,140,215.58571,160,160,445,"2018-08-24T21:53:38Z",FALSE,"QRCODE","20785","US",35,"FedEx Field","Landover, MD 20785",0.9333444,"MD","https://seatgeek.com/venues/fedex-field/tickets","America/New_York",TRUE,0,"Landover, MD",511,5,"FedEx Field","Landover","1600 Fedex Way","fedex-field",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
