"","date","timestamp","date_tbd","datetime_utc","popularity","datetime_local","id","score","created_at","short_title","visible_until_utc","type","description","is_open","datetime_tbd","status","url","announce_date","title","time_tbd","general_admission","highest_price","lowest_price","median_price","visible_listing_count","listing_count","average_price","lowest_price_good_deals","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","has_upcoming_events","popularity_venue","postal_code","id_venue","metro_code","display_location","slug","extended_address","name_v2","timezone","score_venue","address","state","city","name","url_venue","country","num_upcoming_events","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"1","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-19T00:20:00",0.951,"2018-10-18T17:20:00",4347102,0.913,"2018-04-20T00:47:51","Broncos at Cardinals","2018-10-19T04:20:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-04-20T00:00:00","Denver Broncos at Arizona Cardinals",FALSE,NA,630,68,103,181,105,146.05714,93,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"85305",43,753,"Glendale, AZ","state-farm-stadium","Glendale, AZ 85305","State Farm Stadium","America/Phoenix",0.93402725,"1 Cardinals Drive","AZ","Glendale","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","US",10,-112.262,33.5294,FALSE,"NONE","2015-12-21T17:26:05Z"
"2","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-20T23:30:00",0.555,"2018-10-20T18:30:00",4471322,0.337,"2018-08-01T16:01:33","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-21T03:30:00","sports","",FALSE,FALSE,"normal","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-08-01T00:00:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"72401",4081,734,"Jonesboro, AR","asu-convocation-center-1","Jonesboro, AR 72401","ASU Convocation Center","America/Chicago",0.5808074,"217 Olympic Drive","AR","Jonesboro","ASU Convocation Center","https://seatgeek.com/venues/asu-convocation-center-1/tickets","US",40,-90.6691,35.8438,NA,NA,NA
"3","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.897,"2018-10-21T13:00:00",4346960,0.846,"2018-04-20T00:47:22","Bills at Colts","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-04-20T00:00:00","Buffalo Bills at Indianapolis Colts",FALSE,NA,329,21,53,1091,508,69.21063,21,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"46225",1130,527,"Indianapolis, IN","lucas-oil-stadium","Indianapolis, IN 46225","Lucas Oil Stadium","America/Indiana/Indianapolis",0.9071682,"500 South Capitol Avenue","IN","Indianapolis","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","US",12,-86.1639,39.7601,FALSE,"QRCODE_TM","2018-09-13T22:29:37Z"
"4","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.99,"2018-10-21T12:00:00",4347008,0.971,"2018-04-20T00:47:33","Patriots at Bears","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-04-20T00:00:00","New England Patriots at Chicago Bears",FALSE,NA,1688,441,841,301,43,863.2558,385,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"60605",31,602,"Chicago, IL","soldier-field","Chicago, IL 60605","Soldier Field","America/Chicago",0.940013,"1410 S. Museum Campus Drive","IL","Chicago","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","US",8,-87.6159,41.8623,FALSE,"NONE","2018-06-02T00:44:08Z"
"5","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.978,"2018-10-21T13:00:00",4346975,0.948,"2018-04-20T00:47:26","Vikings at Jets","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-04-20T00:00:00","Minnesota Vikings at New York Jets",FALSE,NA,676,80,149,1250,392,175.7653,68,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"07073",1587,501,"East Rutherford, NJ","metlife-stadium","East Rutherford, NJ 07073","MetLife Stadium","America/New_York",0.94873494,"1 MetLife Stadium Drive","NJ","East Rutherford","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",12,-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"6","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.919,"2018-10-21T13:00:00",4346931,0.873,"2018-04-20T00:47:16","Browns at Buccaneers","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-04-20T00:00:00","Cleveland Browns at Tampa Bay Buccaneers",FALSE,NA,450,89,226,629,14,234.42857,87,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"33607",39,539,"Tampa, FL","raymond-james-stadium","Tampa, FL 33607","Raymond James Stadium","America/New_York",0.86513025,"4201 North Dale Mabry Highway","FL","Tampa","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","US",14,-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"7","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.932,"2018-10-21T13:00:00",4347084,0.885,"2018-04-20T00:47:47","Lions at Dolphins","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-04-20T00:00:00","Detroit Lions at Miami Dolphins",FALSE,NA,275,48,118,1635,94,123.25532,43,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"33056",29,528,"Miami Gardens, FL","hard-rock-stadium","Miami Gardens, FL 33056","Hard Rock Stadium","America/New_York",0.8378203,"347 Don Shula Dr.","FL","Miami Gardens","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","US",32,-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"8","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.871,"2018-10-21T13:00:00",4346948,0.805,"2018-04-20T00:47:19","Texans at Jaguars","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-04-20T00:00:00","Houston Texans at Jacksonville Jaguars",FALSE,NA,248,28,59,1144,291,72.41924,28,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"32202",5178,561,"Jacksonville, FL","tiaa-bank-field","Jacksonville, FL 32202","TIAA Bank Field","America/New_York",0.83759147,"1 Everbank Field Dr","FL","Jacksonville","TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets","US",7,-81.6373,30.3239,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"9","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T17:00:00",0.961,"2018-10-21T13:00:00",4347036,0.934,"2018-04-20T00:47:39","Panthers at Eagles","2018-10-21T21:00:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-04-20T00:00:00","Carolina Panthers at Philadelphia Eagles",FALSE,NA,2245,153,290,1159,114,325.7544,121,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"19148",330,504,"Philadelphia, PA","lincoln-financial-field","Philadelphia, PA 19148","Lincoln Financial Field","America/New_York",0.90542686,"1020 Pattison Ave","PA","Philadelphia","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","US",13,-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"10","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T20:05:00",0.915,"2018-10-21T16:05:00",4347071,0.869,"2018-04-20T00:47:45","Saints at Ravens","2018-10-22T00:05:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-04-20T00:00:00","New Orleans Saints at Baltimore Ravens",FALSE,NA,477,78,109,1259,153,132,78,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"21230",1121,512,"Baltimore, MD","m-t-bank-stadium","Baltimore, MD 21230","M&T Bank Stadium","America/New_York",0.8927189,"1101 Russell St","MD","Baltimore","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","US",6,-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"11","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T20:25:00",0.994,"2018-10-21T16:25:00",4346941,0.979,"2018-04-20T00:47:18","Cowboys at Redskins","2018-10-22T00:25:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","2018-04-20T00:00:00","Dallas Cowboys at Washington Redskins",FALSE,NA,451,154,234,770,99,247.77777,161,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"20785",35,511,"Landover, MD","fedex-field","Landover, MD 20785","FedEx Field","America/New_York",0.9333444,"1600 Fedex Way","MD","Landover","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","US",5,-76.8658,38.9071,FALSE,"QRCODE_TM","2015-09-12T14:13:58Z"
"12","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-21T20:25:00",0.954,"2018-10-21T13:25:00",4347118,0.924,"2018-04-20T00:47:54","Rams at 49ers","2018-10-22T00:25:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","2018-04-20T00:00:00","Los Angeles Rams at San Francisco 49ers",FALSE,NA,470,45,117,2091,149,142.4698,45,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"95054",58670,0,"Santa Clara, CA","levi-s-stadium","Santa Clara, CA 95054","Levi's Stadium","America/Los_Angeles",0.95768774,"4900 Marie P DeBartolo Way","CA","Santa Clara","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","US",10,-121.969,37.4023,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"13","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-22T00:20:00",0.931,"2018-10-21T19:20:00",4346982,0.894,"2018-04-20T00:47:27","Bengals at Chiefs","2018-10-22T04:20:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","2018-04-20T00:00:00","Cincinnati Bengals at Kansas City Chiefs",FALSE,NA,441,67,117,1074,321,128.7165,67,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"64129",1128,616,"Kansas City, MO","arrowhead-stadium","Kansas City, MO 64129","Arrowhead Stadium","America/Chicago",0.8827867,"1 Arrowhead Drive","MO","Kansas City","Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","US",6,-94.4839,39.0489,FALSE,"QRCODE_TM","2015-08-20T16:20:51Z"
"14","2018-10-18","2018-10-18_11.00.16",FALSE,"2018-10-23T00:15:00",0.949,"2018-10-22T20:15:00",4347050,0.932,"2018-04-20T00:47:42","Giants at Falcons","2018-10-23T04:15:00","nfl","",FALSE,FALSE,"normal","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","2018-04-20T00:00:00","New York Giants at Atlanta Falcons",FALSE,NA,718,72,163,2258,464,184.41379,72,FALSE,"QRCODE","2018-08-24T21:53:38Z",TRUE,0,"30313",419590,0,"Atlanta, GA","mercedes-benz-stadium","Atlanta, GA 30313","Mercedes-Benz Stadium","America/New_York",0.76958936,"35 Northside Dr NW","GA","Atlanta","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US",16,-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
