"","date","timestamp","datetime_tbd","datetime_utc","url","created_at","date_tbd","short_title","visible_until_utc","time_tbd","datetime_local","status","description","type","score","announce_date","title","id","is_open","popularity","general_admission","median_price","listing_count","lowest_price","highest_price","lowest_price_good_deals","average_price","visible_listing_count","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","url_venue","country","popularity_venue","name","slug","address","num_upcoming_events","state","score_venue","display_location","city","timezone","has_upcoming_events","id_venue","postal_code","metro_code","extended_address","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-28T00:20:00","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","2018-04-20T00:47:14",FALSE,"Vikings at Rams","2018-09-28T04:20:00",FALSE,"2018-09-27T17:20:00","normal","","nfl",0.85,"2018-04-20T00:00:00","Minnesota Vikings at Los Angeles Rams",4346922,FALSE,0.953,NA,122,595,60,125155,56,569.9681,763,FALSE,"2018-09-05T22:17:16Z","QRCODE","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US",0,"Los Angeles Memorial Coliseum","los-angeles-memorial-coliseum-1","3911 S Figueroa St",9,"CA",0.86898464,"Los Angeles, CA","Los Angeles","America/Los_Angeles",TRUE,51012,"90037",0,"Los Angeles, CA 90037",34.0138,-118.288,FALSE,"2018-08-23T17:59:28Z","QRCODE"
"2","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-28T23:00:00","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-06-05T16:00:59",FALSE,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","2018-09-29T03:00:00",FALSE,"2018-09-28T19:00:00","normal","","sports",0.356,"2018-06-05T00:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",4401810,FALSE,0.6,NA,10,1,10,10,NA,10,1,NA,NA,NA,"Memorial Coliseum","https://seatgeek.com/venues/memorial-coliseum-1/tickets","US",0,"Memorial Coliseum","memorial-coliseum-1","201 Avenue of Champions",26,"KY",0.4125833,"Lexington, KY","Lexington","America/New_York",TRUE,5102,"40506",541,"Lexington, KY 40506",38.04,-84.5,NA,NA,NA
"3","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-29T16:00:00","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2017-12-05T15:00:24",FALSE,"Southwest Classic: Arkansas vs Texas A&M","2018-09-29T20:00:00",FALSE,"2018-09-29T11:00:00","normal","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","ncaa_football",0.849,"2017-12-05T00:00:00","Southwest Classic: Arkansas vs Texas A&M",4163969,TRUE,0.944,NA,150,724,98,1157,98,215.46408,645,FALSE,"2018-04-17T22:02:33Z","QRCODE","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","US",0,"AT&T Stadium","at-t-stadium","1 AT&T Way",20,"TX",0.9751414,"Arlington, TX","Arlington","America/Chicago",TRUE,4965,"76011",623,"Arlington, TX 76011",32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"4","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-29T19:30:00","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-02-28T15:00:11",FALSE,"South Alabama at Appalachian State","2018-09-29T23:30:00",FALSE,"2018-09-29T15:30:00","normal","","ncaa_football",0.501,"2018-02-28T00:00:00","South Alabama Jaguars at Appalachian State Mountaineers Football",4281951,FALSE,0.695,NA,73,213,48,129,48,74.88263,78,NA,NA,NA,"Kidd Brewer Stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","US",0,"Kidd Brewer Stadium","kidd-brewer-stadium","1 Kidd Brewer Stadium",4,"NC",0.57884717,"Boone, NC","Boone","America/New_York",TRUE,3723,"28607",517,"Boone, NC 28607",36.2116,-81.6856,NA,NA,NA
"5","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-30T16:00:00","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-04-20T00:47:30",FALSE,"Eagles at Titans","2018-09-30T20:00:00",FALSE,"2018-09-30T12:00:00","normal","","nfl",0.852,"2018-04-20T00:00:00","Philadelphia Eagles at Tennessee Titans",4346992,FALSE,0.946,NA,291,259,152,5815,175,334.69885,411,FALSE,"2018-08-24T20:47:49Z","QRCODE","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","US",0,"Nissan Stadium","nissan-stadium","1 Titans Way",16,"TN",0.8546275,"Nashville, TN","Nashville","America/New_York",TRUE,1126,"37213",659,"Nashville, TN 37213",36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"6","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-30T17:00:00","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","2018-04-20T00:47:13",FALSE,"Bills at Packers","2018-09-30T21:00:00",FALSE,"2018-09-30T12:00:00","normal","","nfl",0.857,"2018-04-20T00:00:00","Buffalo Bills at Green Bay Packers",4346911,FALSE,0.935,NA,323,187,208,910,161,346.02673,330,FALSE,"2018-08-24T20:38:24Z","QRCODE","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","US",0,"Lambeau Field","lambeau-field","1265 Lombardi Avenue",6,"WI",0.92909414,"Green Bay, WI","Green Bay","America/Chicago",TRUE,1125,"54304",658,"Green Bay, WI 54304",44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"7","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-30T17:00:00","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","2018-04-20T00:47:33",FALSE,"Buccaneers at Bears","2018-09-30T21:00:00",FALSE,"2018-09-30T12:00:00","normal","","nfl",0.868,"2018-04-20T00:00:00","Tampa Bay Buccaneers at Chicago Bears",4347009,FALSE,0.959,NA,355,66,165,123581,165,2258.2122,294,FALSE,"2018-08-24T20:48:11Z","QRCODE","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","US",0,"Soldier Field","soldier-field","1410 S. Museum Campus Drive",9,"IL",0.940013,"Chicago, IL","Chicago","America/Chicago",TRUE,31,"60605",602,"Chicago, IL 60605",41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"8","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-30T17:00:00","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","2018-04-05T23:08:47",FALSE,"Lions at Cowboys","2018-09-30T21:00:00",FALSE,"2018-09-30T12:00:00","normal","","nfl",0.886,"2018-04-05T00:00:00","Detroit Lions at Dallas Cowboys",4327924,TRUE,0.969,NA,184,2525,NA,1800,NA,231.09862,2002,FALSE,"2018-04-17T22:02:33Z","QRCODE","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","US",0,"AT&T Stadium","at-t-stadium","1 AT&T Way",20,"TX",0.9751414,"Arlington, TX","Arlington","America/Chicago",TRUE,4965,"76011",623,"Arlington, TX 76011",32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"9","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-30T17:00:00","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","2018-04-20T00:47:22",FALSE,"Texans at Colts","2018-09-30T21:00:00",FALSE,"2018-09-30T13:00:00","normal","","nfl",0.814,"2018-04-20T00:00:00","Houston Texans at Indianapolis Colts",4346962,FALSE,0.916,NA,103,542,26,787,26,108.10516,837,FALSE,"2018-08-24T20:46:39Z","QRCODE","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","US",0,"Lucas Oil Stadium","lucas-oil-stadium","500 South Capitol Avenue",14,"IN",0.9071682,"Indianapolis, IN","Indianapolis","America/Indiana/Indianapolis",TRUE,1130,"46225",527,"Indianapolis, IN 46225",39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
"10","2018-09-25","2018-09-25_16.00.07",FALSE,"2018-09-30T17:00:00","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949","2018-04-20T00:47:19",FALSE,"Jets at Jaguars","2018-09-30T21:00:00",FALSE,"2018-09-30T13:00:00","normal","","nfl",0.788,"2018-04-20T00:00:00","New York Jets at Jacksonville Jaguars",4346949,FALSE,0.9,NA,84,367,47,393,47,101.80109,529,FALSE,"2018-08-24T20:38:35Z","QRCODE","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets","US",0,"EverBank Field","everbank-field","1 Everbank Field Dr",8,"FL",0.83759147,"Jacksonville, FL","Jacksonville","America/New_York",TRUE,5178,"32202",561,"Jacksonville, FL 32202",30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
