"","date","timestamp","url","is_open","description","datetime_tbd","date_tbd","created_at","status","title","visible_until_utc","short_title","popularity","time_tbd","datetime_local","type","score","id","datetime_utc","announce_date","general_admission","highest_price","median_price","average_price","lowest_price_good_deals","listing_count","lowest_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","slug","extended_address","country","timezone","postal_code","state","city","num_upcoming_events","name_v2","name","display_location","score_venue","address","id_venue","popularity_venue","has_upcoming_events","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:41","normal","Baltimore Ravens at Cincinnati Bengals","2018-09-14T04:20:00","Ravens at Bengals",0.926,FALSE,"2018-09-13T20:20:00","nfl",0.845,4347044,"2018-09-14T00:20:00","2018-04-20T00:00:00",NA,797,NA,90.84,55,188,53,NA,"2018-08-24T17:03:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium","Cincinnati, OH 45202","US","America/New_York","45202","OH","Cincinnati",8,"Paul Brown Stadium","Paul Brown Stadium","Cincinnati, OH",0.86166537,"1 Paul Brown Stadium",1124,0,TRUE,39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"2","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",FALSE,"",FALSE,FALSE,"2018-02-28T15:00:17","normal","Texas State Bobcats at South Alabama Jaguars Football","2018-09-16T03:00:00","Texas State at South Alabama",0.529,FALSE,"2018-09-15T18:00:00","ncaa_football",0.315,4281986,"2018-09-15T23:00:00","2018-02-28T00:00:00",NA,63,NA,25.68,10,23,10,NA,NA,NA,NA,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium","Mobile, AL 36604","US","America/Chicago","36604","AL","Mobile",7,"Ladd Peebles Stadium","Ladd Peebles Stadium","Mobile, AL",0.50177634,"1621 Virginia St.",3716,0,TRUE,30.6748,-88.0761,NA,NA,NA
"3","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:30","normal","Houston Texans at Tennessee Titans","2018-09-16T20:00:00","Texans at Titans",0.905,FALSE,"2018-09-16T12:00:00","nfl",0.833,4346993,"2018-09-16T16:00:00","2018-04-20T00:00:00",NA,408,NA,138.65,59,317,59,NA,"2018-08-24T18:23:49Z","QRCODE",FALSE,"https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium","Nashville, TN 37213","US","America/New_York","37213","TN","Nashville",16,"Nissan Stadium","Nissan Stadium","Nashville, TN",0.8546275,"1 Titans Way",1126,0,TRUE,36.1665,-86.7713,"2015-10-19T15:09:39Z","NONE",FALSE
"4","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:18","normal","Indianapolis Colts at Washington Redskins","2018-09-16T21:00:00","Colts at Redskins",0.975,FALSE,"2018-09-16T13:00:00","nfl",0.925,4346944,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,314,NA,147.85,80,133,80,NA,"2018-08-24T18:23:09Z","QRCODE",FALSE,"https://seatgeek.com/venues/fedex-field/tickets","fedex-field","Landover, MD 20785","US","America/New_York","20785","MD","Landover",9,"FedEx Field","FedEx Field","Landover, MD",0.9333444,"1600 Fedex Way",35,0,TRUE,38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"5","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:42","normal","Carolina Panthers at Atlanta Falcons","2018-09-16T21:00:00","Panthers at Falcons",0.962,FALSE,"2018-09-16T13:00:00","nfl",0.912,4347054,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,756,NA,213.69,86,686,86,NA,"2018-08-23T20:14:46Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","Atlanta, GA 30313","US","America/New_York","30313","GA","Atlanta",19,"Mercedes-Benz Stadium","Mercedes-Benz Stadium","Atlanta, GA",0.76958936,"35 Northside Dr NW",419590,0,TRUE,33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"6","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:45","normal","Kansas City Chiefs at Pittsburgh Steelers","2018-09-16T21:00:00","Chiefs at Steelers",0.942,FALSE,"2018-09-16T13:00:00","nfl",0.889,4347074,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,873,NA,280.56,138,168,117,NA,"2018-08-24T18:24:29Z","QRCODE",FALSE,"https://seatgeek.com/venues/heinz-field/tickets","heinz-field","Pittsburgh, PA 15212","US","America/New_York","15212","PA","Pittsburgh",12,"Heinz Field","Heinz Field","Pittsburgh, PA",0.9033526,"100 Art Rooney Avenue",1119,0,TRUE,40.4468,-80.0158,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"7","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:16","normal","Philadelphia Eagles at Tampa Bay Buccaneers","2018-09-16T21:00:00","Eagles at Buccaneers",0.944,FALSE,"2018-09-16T13:00:00","nfl",0.885,4346933,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,124248,NA,4915.78,158,27,158,NA,"2018-08-24T17:04:19Z","QRCODE",FALSE,"https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium","Tampa, FL 33607","US","America/New_York","33607","FL","Tampa",15,"Raymond James Stadium","Raymond James Stadium","Tampa, FL",0.86513025,"4201 North Dale Mabry Highway",39,0,TRUE,27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"8","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:20","normal","Miami Dolphins at New York Jets","2018-09-16T21:00:00","Dolphins at Jets",0.985,FALSE,"2018-09-16T13:00:00","nfl",0.931,4346953,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,11943,NA,237.34,88,336,88,NA,"2018-08-24T18:23:39Z","QRCODE",FALSE,"https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","East Rutherford, NJ 07073","US","America/New_York","07073","NJ","East Rutherford",19,"MetLife Stadium","MetLife Stadium","East Rutherford, NJ",0.94873494,"1 MetLife Stadium Drive",1587,0,TRUE,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"9","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:14","normal","Minnesota Vikings at Green Bay Packers","2018-09-16T21:00:00","Vikings at Packers",0.952,FALSE,"2018-09-16T12:00:00","nfl",0.917,4346915,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,1258,NA,450.37,270,145,270,NA,"2018-08-24T17:03:48Z","QRCODE",FALSE,"https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field","Green Bay, WI 54304","US","America/Chicago","54304","WI","Green Bay",7,"Lambeau Field","Lambeau Field","Green Bay, WI",0.92909414,"1265 Lombardi Avenue",1125,0,TRUE,44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"10","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:44","normal","Los Angeles Chargers at Buffalo Bills","2018-09-16T21:00:00","Chargers at Bills",0.929,FALSE,"2018-09-16T13:00:00","nfl",0.872,4347064,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,428,NA,145.02,88,332,85,NA,"2018-08-24T18:24:17Z","QRCODE",FALSE,"https://seatgeek.com/venues/new-era-field/tickets","new-era-field","Orchard Park, NY 14127","US","America/New_York","14127","NY","Orchard Park",8,"New Era Field","New Era Field","Orchard Park, NY",0.8815085,"1 Bills Drive",1135,0,TRUE,42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"11","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",TRUE,"",FALSE,FALSE,"2018-04-20T00:47:25","normal","Cleveland Browns at New Orleans Saints","2018-09-16T21:00:00","Browns at Saints",0.916,FALSE,"2018-09-16T12:00:00","nfl",0.851,4346973,"2018-09-16T17:00:00","2018-04-20T00:00:00",NA,1800,NA,184.05,46,1415,46,NA,"2018-05-29T20:38:49Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","mercedes-benz-superdome","New Orleans, LA 70112","US","America/Chicago","70112","LA","New Orleans",19,"Mercedes-Benz Superdome","Mercedes-Benz Superdome","New Orleans, LA",0.8966978,"1500 Sugar Bowl Drive",128,0,TRUE,29.9515,-90.0786,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"12","2018-09-12","2018-09-12_11.04.26","https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119",FALSE,"",FALSE,FALSE,"2018-04-20T00:47:54","normal","Detroit Lions at San Francisco 49ers","2018-09-17T00:05:00","Lions at 49ers",0.958,FALSE,"2018-09-16T13:05:00","nfl",0.905,4347119,"2018-09-16T20:05:00","2018-04-20T00:00:00",NA,748,NA,195.63,79,462,79,NA,"2018-08-24T18:24:41Z","QRCODE",FALSE,"https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium","Santa Clara, CA 95054","US","America/Los_Angeles","95054","CA","Santa Clara",13,"Levi's Stadium","Levi's Stadium","Santa Clara, CA",0.95768774,"4900 Marie P DeBartolo Way",58670,0,TRUE,37.4023,-121.969,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
