"","date","timestamp","type","description","is_open","datetime_tbd","date_tbd","time_tbd","score","visible_until_utc","short_title","url","popularity","status","announce_date","id","created_at","datetime_utc","title","datetime_local","general_admission","listing_count","highest_price","average_price","visible_listing_count","lowest_price","lowest_price_good_deals","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","name_v2","country","slug","score_venue","has_upcoming_events","timezone","extended_address","url_venue","postal_code","popularity_venue","city","id_venue","num_upcoming_events","state","metro_code","display_location","name","address","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-09-21","2018-09-21_08.02.02","ncaa_football","",FALSE,FALSE,FALSE,FALSE,0.483,"2018-09-23T04:00:00","South Alabama at Memphis","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",0.67,"normal","2018-01-31T00:00:00",4241762,"2018-01-31T15:00:53","2018-09-23T00:00:00","South Alabama Jaguars at Memphis Tigers Football","2018-09-22T19:00:00",NA,56,105,51.30357,22,23,23,43,NA,NA,NA,"Liberty Bowl Stadium","US","liberty-bowl-stadium",0.6733288,TRUE,"America/Chicago","Memphis, TN 38104","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","38104",0,"Memphis",2827,6,"TN",640,"Memphis, TN","Liberty Bowl Stadium","335 South Hollywood St",-89.98,35.12,NA,NA,NA
"2","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.921,"2018-09-23T21:00:00","Colts at Eagles","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",0.961,"normal","2018-04-20T00:00:00",4346963,"2018-04-20T00:47:23","2018-09-23T17:00:00","Indianapolis Colts at Philadelphia Eagles","2018-09-23T13:00:00",NA,161,774,281.87576,587,148,126,255,"QRCODE","2018-08-24T18:26:28Z",FALSE,"Lincoln Financial Field","US","lincoln-financial-field",0.90542686,TRUE,"America/New_York","Philadelphia, PA 19148","https://seatgeek.com/venues/lincoln-financial-field/tickets","19148",0,"Philadelphia",330,16,"PA",504,"Philadelphia, PA","Lincoln Financial Field","1020 Pattison Ave",-75.1675,39.9046,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"3","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.905,"2018-09-23T21:00:00","Bills at Vikings","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",0.948,"normal","2018-04-20T00:00:00",4347142,"2018-04-20T01:04:05","2018-09-23T17:00:00","Buffalo Bills at Minnesota Vikings","2018-09-23T12:00:00",NA,314,802,220.05733,544,97,90,191,"QRCODE","2018-08-23T16:03:24Z",FALSE,"U.S. Bank Stadium","US","u-s-bank-stadium",0.88524246,TRUE,"America/Chicago","Minneapolis, MN 55415","https://seatgeek.com/venues/u-s-bank-stadium/tickets","55415",0,"Minneapolis",218451,14,"MN",0,"Minneapolis, MN","U.S. Bank Stadium","401 Chicago Avenue",-93.26,44.97,"NONE","2018-08-22T15:34:15Z",FALSE
"4","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.893,"2018-09-23T21:00:00","Raiders at Dolphins","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",0.954,"normal","2018-04-20T00:00:00",4347088,"2018-04-20T00:47:48","2018-09-23T17:00:00","Oakland Raiders at Miami Dolphins","2018-09-23T13:00:00",NA,106,347,151.77359,657,66,58,144,"QRCODE","2018-08-24T20:34:12Z",FALSE,"Hard Rock Stadium","US","hard-rock-stadium",0.8378203,TRUE,"America/New_York","Miami Gardens, FL 33056","https://seatgeek.com/venues/hard-rock-stadium/tickets","33056",0,"Miami Gardens",29,38,"FL",528,"Miami Gardens, FL","Hard Rock Stadium","347 Don Shula Dr.",-80.24,25.96,"NONE","2017-10-03T18:58:44Z",FALSE
"5","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.972,"2018-09-23T21:00:00","Packers at Redskins","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",0.985,"normal","2018-04-20T00:00:00",4346943,"2018-04-20T00:47:18","2018-09-23T17:00:00","Green Bay Packers at Washington Redskins","2018-09-23T13:00:00",NA,145,615,188.11725,758,92,92,174,"QRCODE","2018-08-24T18:25:58Z",FALSE,"FedEx Field","US","fedex-field",0.9333444,TRUE,"America/New_York","Landover, MD 20785","https://seatgeek.com/venues/fedex-field/tickets","20785",0,"Landover",35,7,"MD",511,"Landover, MD","FedEx Field","1600 Fedex Way",-76.8658,38.9071,"QRCODE_TM","2015-09-12T14:13:58Z",FALSE
"6","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.906,"2018-09-23T21:00:00","49ers at Chiefs","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",0.949,"normal","2018-04-20T00:00:00",4346985,"2018-04-20T00:47:28","2018-09-23T17:00:00","San Francisco 49ers at Kansas City Chiefs","2018-09-23T12:00:00",NA,591,636,178.7868,715,96,96,160,"QRCODE","2018-08-24T18:27:03Z",FALSE,"Arrowhead Stadium","US","arrowhead-stadium",0.8827867,TRUE,"America/Chicago","Kansas City, MO 64129","https://seatgeek.com/venues/arrowhead-stadium/tickets","64129",0,"Kansas City",1128,9,"MO",616,"Kansas City, MO","Arrowhead Stadium","1 Arrowhead Drive",-94.4839,39.0489,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
"7","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.911,"2018-09-23T21:00:00","Giants at Texans","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",0.954,"normal","2018-04-20T00:00:00",4347021,"2018-04-20T00:47:36","2018-09-23T17:00:00","New York Giants at Houston Texans","2018-09-23T12:00:00",NA,217,884,201.16129,417,90,90,182,"QRCODE","2018-08-24T18:27:18Z",FALSE,"NRG Stadium","US","nrg-stadium",0.8624192,TRUE,"America/Chicago","Houston, TX 77054","https://seatgeek.com/venues/nrg-stadium/tickets","77054",0,"Houston",41,44,"TX",618,"Houston, TX","NRG Stadium","1 Reliant Park",-95.4107,29.6847,"QRCODE_TM","2015-11-04T18:42:27Z",FALSE
"8","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.878,"2018-09-23T21:00:00","Broncos at Ravens","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",0.931,"normal","2018-04-20T00:00:00",4347072,"2018-04-20T00:47:45","2018-09-23T17:00:00","Denver Broncos at Baltimore Ravens","2018-09-23T13:00:00",NA,279,410,92.150536,506,43,43,70,"QRCODE","2018-08-24T18:29:20Z",FALSE,"M&T Bank Stadium","US","m-t-bank-stadium",0.8927189,TRUE,"America/New_York","Baltimore, MD 21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets","21230",0,"Baltimore",1121,8,"MD",512,"Baltimore, MD","M&T Bank Stadium","1101 Russell St",-76.623,39.2774,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"9","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.882,"2018-09-23T21:00:00","Bengals at Panthers","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",0.933,"normal","2018-04-20T00:00:00",4347045,"2018-04-20T00:47:41","2018-09-23T17:00:00","Cincinnati Bengals at Carolina Panthers","2018-09-23T13:00:00",NA,185,547,143.72974,552,60,60,100,"QRCODE","2018-08-24T18:28:54Z",FALSE,"Bank of America Stadium","US","bank-of-america-stadium",0.8968222,TRUE,"America/New_York","Charlotte, NC 28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets","28202",0,"Charlotte",1122,9,"NC",517,"Charlotte, NC","Bank of America Stadium","800 South Mint Street",-80.8524,35.2243,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
"10","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.922,"2018-09-23T21:00:00","Saints at Falcons","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",0.96,"normal","2018-04-20T00:00:00",4347053,"2018-04-20T00:47:42","2018-09-23T17:00:00","New Orleans Saints at Atlanta Falcons","2018-09-23T13:00:00",NA,377,856,246.61804,727,122,122,217,"QRCODE","2018-08-24T18:29:05Z",FALSE,"Mercedes-Benz Stadium","US","mercedes-benz-stadium",0.76958936,TRUE,"America/New_York","Atlanta, GA 30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","30313",0,"Atlanta",419590,19,"GA",0,"Atlanta, GA","Mercedes-Benz Stadium","35 Northside Dr NW",-84.4,33.76,"QRCODE","2018-08-23T20:14:46Z",FALSE
