"","date","timestamp","datetime_tbd","is_open","time_tbd","type","popularity","title","score","datetime_utc","short_title","url","id","description","datetime_local","announce_date","visible_until_utc","date_tbd","created_at","status","general_admission","median_price","listing_count","lowest_price","visible_listing_count","highest_price","average_price","lowest_price_good_deals","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","extended_address","postal_code","name_v2","popularity_venue","metro_code","city","timezone","score_venue","num_upcoming_events","name","display_location","url_venue","address","id_venue","has_upcoming_events","state","country","slug","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.98,"Minnesota Vikings at Los Angeles Rams",0.876,"2018-09-28T00:20:00","Vikings at Rams","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",4346922,"","2018-09-27T17:20:00","2018-04-20T00:00:00","2018-09-28T04:20:00",FALSE,"2018-04-20T00:47:14","normal",NA,106,475,51,657,665,122.29895,51,FALSE,"2018-09-05T22:17:16Z","QRCODE","Los Angeles, CA 90037","90037","Los Angeles Memorial Coliseum",0,0,"Los Angeles","America/Los_Angeles",0.86898464,9,"Los Angeles Memorial Coliseum","Los Angeles, CA","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","3911 S Figueroa St",51012,TRUE,"CA","US","los-angeles-memorial-coliseum-1",34.0138,-118.288,FALSE,"2018-08-23T17:59:28Z","QRCODE"
"2","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"sports",0.622,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",0.34,"2018-09-28T23:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",4401810,"","2018-09-28T19:00:00","2018-06-05T00:00:00","2018-09-29T03:00:00",FALSE,"2018-06-05T16:00:59","normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lexington, KY 40506","40506","Memorial Coliseum",0,541,"Lexington","America/New_York",0.4125833,26,"Memorial Coliseum","Lexington, KY","https://seatgeek.com/venues/memorial-coliseum-1/tickets","201 Avenue of Champions",5102,TRUE,"KY","US","memorial-coliseum-1",38.04,-84.5,NA,NA,NA
"3","2018-09-26","2018-09-26_16.00.16",FALSE,TRUE,FALSE,"ncaa_football",0.98,"Southwest Classic: Arkansas vs Texas A&M",0.886,"2018-09-29T16:00:00","Southwest Classic: Arkansas vs Texas A&M","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969",4163969,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2018-09-29T11:00:00","2017-12-05T00:00:00","2018-09-29T20:00:00",FALSE,"2017-12-05T15:00:24","normal",NA,150,575,100,480,1157,191.19826,100,FALSE,"2018-04-17T22:02:33Z","QRCODE","Arlington, TX 76011","76011","AT&T Stadium",0,623,"Arlington","America/Chicago",0.9751414,20,"AT&T Stadium","Arlington, TX","https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way",4965,TRUE,"TX","US","at-t-stadium",32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"4","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"ncaa_football",0.686,"South Alabama Jaguars at Appalachian State Mountaineers Football",0.481,"2018-09-29T19:30:00","South Alabama at Appalachian State","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",4281951,"","2018-09-29T15:30:00","2018-02-28T00:00:00","2018-09-29T23:30:00",FALSE,"2018-02-28T15:00:11","normal",NA,69,206,48,75,122,71.456314,48,NA,NA,NA,"Boone, NC 28607","28607","Kidd Brewer Stadium",0,517,"Boone","America/New_York",0.57884717,4,"Kidd Brewer Stadium","Boone, NC","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","1 Kidd Brewer Stadium",3723,TRUE,"NC","US","kidd-brewer-stadium",36.2116,-81.6856,NA,NA,NA
"5","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.975,"Philadelphia Eagles at Tennessee Titans",0.879,"2018-09-30T16:00:00","Eagles at Titans","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",4346992,"","2018-09-30T12:00:00","2018-04-20T00:00:00","2018-09-30T20:00:00",FALSE,"2018-04-20T00:47:30","normal",NA,269,232,150,393,5815,315.55603,126,FALSE,"2018-08-24T20:47:49Z","QRCODE","Nashville, TN 37213","37213","Nissan Stadium",0,659,"Nashville","America/New_York",0.8546275,16,"Nissan Stadium","Nashville, TN","https://seatgeek.com/venues/nissan-stadium/tickets","1 Titans Way",1126,TRUE,"TN","US","nissan-stadium",36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"6","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.972,"Buffalo Bills at Green Bay Packers",0.893,"2018-09-30T17:00:00","Bills at Packers","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",4346911,"","2018-09-30T12:00:00","2018-04-20T00:00:00","2018-09-30T21:00:00",FALSE,"2018-04-20T00:47:13","normal",NA,310,188,208,344,126792,1007.3351,186,FALSE,"2018-08-24T20:38:24Z","QRCODE","Green Bay, WI 54304","54304","Lambeau Field",0,658,"Green Bay","America/Chicago",0.92909414,6,"Lambeau Field","Green Bay, WI","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",1125,TRUE,"WI","US","lambeau-field",44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"7","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.978,"Tampa Bay Buccaneers at Chicago Bears",0.879,"2018-09-30T17:00:00","Buccaneers at Bears","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",4347009,"","2018-09-30T12:00:00","2018-04-20T00:00:00","2018-09-30T21:00:00",FALSE,"2018-04-20T00:47:33","normal",NA,326,69,190,280,819,383.56522,170,FALSE,"2018-08-24T20:48:11Z","QRCODE","Chicago, IL 60605","60605","Soldier Field",0,602,"Chicago","America/Chicago",0.940013,9,"Soldier Field","Chicago, IL","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive",31,TRUE,"IL","US","soldier-field",41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"8","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.975,"Cincinnati Bengals at Atlanta Falcons",0.88,"2018-09-30T17:00:00","Bengals at Falcons","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052",4347052,"","2018-09-30T13:00:00","2018-04-20T00:00:00","2018-09-30T21:00:00",FALSE,"2018-04-20T00:47:42","normal",NA,149,654,63,732,718,164.34251,63,FALSE,"2018-08-23T20:14:46Z","QRCODE","Atlanta, GA 30313","30313","Mercedes-Benz Stadium",0,0,"Atlanta","America/New_York",0.76958936,19,"Mercedes-Benz Stadium","Atlanta, GA","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW",419590,TRUE,"GA","US","mercedes-benz-stadium",33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"9","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.917,"New York Jets at Jacksonville Jaguars",0.799,"2018-09-30T17:00:00","Jets at Jaguars","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949",4346949,"","2018-09-30T13:00:00","2018-04-20T00:00:00","2018-09-30T21:00:00",FALSE,"2018-04-20T00:47:19","normal",NA,76,354,45,485,393,92.55085,42,FALSE,"2018-08-24T20:38:35Z","QRCODE","Jacksonville, FL 32202","32202","EverBank Field",0,561,"Jacksonville","America/New_York",0.83759147,8,"EverBank Field","Jacksonville, FL","https://seatgeek.com/venues/everbank-field/tickets","1 Everbank Field Dr",5178,TRUE,"FL","US","everbank-field",30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"10","2018-09-26","2018-09-26_16.00.16",FALSE,FALSE,FALSE,"nfl",0.929,"Houston Texans at Indianapolis Colts",0.818,"2018-09-30T17:00:00","Texans at Colts","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962",4346962,"","2018-09-30T13:00:00","2018-04-20T00:00:00","2018-09-30T21:00:00",FALSE,"2018-04-20T00:47:22","normal",NA,91,523,25,808,483,100.657745,24,FALSE,"2018-08-24T20:46:39Z","QRCODE","Indianapolis, IN 46225","46225","Lucas Oil Stadium",0,527,"Indianapolis","America/Indiana/Indianapolis",0.9071682,14,"Lucas Oil Stadium","Indianapolis, IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue",1130,TRUE,"IN","US","lucas-oil-stadium",39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
