"","date","timestamp","event_promotion","is_open","id","title","announce_date","score","type","status","description","datetime_local","visible_until_utc","time_tbd","date_tbd","url","created_at","popularity","short_title","datetime_utc","datetime_tbd","visible_listing_count","average_price","lowest_price_good_deals","median_price","listing_count","lowest_price","highest_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","metro_code","postal_code","timezone","has_upcoming_events","id_venue","city","extended_address","display_location","state","score_venue","num_upcoming_events","address","slug","name","url_venue","country","popularity_venue","name_v2","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4346918,"New York Giants at Philadelphia Eagles","2018-04-20T00:00:00",0.853,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918","2018-04-20T00:47:14",0.906,"Giants at Eagles","2018-11-25T18:00:00",FALSE,52,198,98,152,22,98,1107,FALSE,"2018-08-24T21:53:40Z","QRCODE",504,"19148","America/New_York",TRUE,330,"Philadelphia","Philadelphia, PA 19148","Philadelphia, PA","PA",0.90542686,12,"1020 Pattison Ave","lincoln-financial-field","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","US",0,"Lincoln Financial Field",39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"2","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347039,"Cleveland Browns at Cincinnati Bengals","2018-04-20T00:00:00",0.797,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039","2018-04-20T00:47:39",0.861,"Browns at Bengals","2018-11-25T18:00:00",FALSE,24,159,64,142,8,104,217,FALSE,"2018-08-24T21:53:40Z","QRCODE",515,"45202","America/New_York",TRUE,1124,"Cincinnati","Cincinnati, OH 45202","Cincinnati, OH","OH",0.86166537,4,"1 Paul Brown Stadium","paul-brown-stadium","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","US",0,"Paul Brown Stadium",39.0961,-84.5177,FALSE,"2015-10-09T16:14:37Z","QRCODE_TM"
"3","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347058,"Jacksonville Jaguars at Buffalo Bills","2018-04-20T00:00:00",0.777,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058","2018-04-20T00:47:43",0.844,"Jaguars at Bills","2018-11-25T18:00:00",FALSE,200,28,8,22,157,9,192,FALSE,"2018-08-24T21:53:41Z","QRCODE",514,"14127","America/New_York",TRUE,1135,"Orchard Park","Orchard Park, NY 14127","Orchard Park, NY","NY",0.8815085,4,"1 Bills Drive","new-era-field","New Era Field","https://seatgeek.com/venues/new-era-field/tickets","US",0,"New Era Field",42.7737,-78.7874,FALSE,"2015-08-12T16:52:53Z","QRCODE_TM"
"4","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347098,"New England Patriots at New York Jets","2018-04-20T00:00:00",0.879,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098","2018-04-20T00:47:50",0.931,"Patriots at Jets","2018-11-25T18:00:00",FALSE,94,156,68,129,62,73,473,FALSE,"2018-08-24T21:53:41Z","QRCODE",501,"07073","America/New_York",TRUE,1587,"East Rutherford","East Rutherford, NJ 07073","East Rutherford, NJ","NJ",0.94873494,9,"1 MetLife Stadium Drive","metlife-stadium","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"5","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347125,"Seattle Seahawks at Carolina Panthers","2018-04-20T00:00:00",0.83,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125","2018-04-20T00:47:55",0.888,"Seahawks at Panthers","2018-11-25T18:00:00",FALSE,36,128,119,127,15,71,228,FALSE,"2018-08-24T21:53:41Z","QRCODE",517,"28202","America/New_York",TRUE,1122,"Charlotte","Charlotte, NC 28202","Charlotte, NC","NC",0.8968222,8,"800 South Mint Street","bank-of-america-stadium","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US",0,"Bank of America Stadium",35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"6","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347067,"Oakland Raiders at Baltimore Ravens","2018-04-20T00:00:00",0.778,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067","2018-04-20T00:47:44",0.847,"Raiders at Ravens","2018-11-25T18:00:00",FALSE,48,109,28,103,24,45,188,FALSE,"2018-08-24T21:53:41Z","QRCODE",512,"21230","America/New_York",TRUE,1121,"Baltimore","Baltimore, MD 21230","Baltimore, MD","MD",0.8927189,5,"1101 Russell St","m-t-bank-stadium","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","US",0,"M&T Bank Stadium",39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"7","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4346928,"San Francisco 49ers at Tampa Bay Buccaneers","2018-04-20T00:00:00",0.794,"nfl","normal","","2018-11-25T13:00:00","2018-11-25T22:00:00",FALSE,FALSE,"https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928","2018-04-20T00:47:15",0.861,"49ers at Buccaneers","2018-11-25T18:00:00",FALSE,256,213,45,174,300,45,525,FALSE,"2018-08-24T21:53:40Z","QRCODE",539,"33607","America/New_York",TRUE,39,"Tampa","Tampa, FL 33607","Tampa, FL","FL",0.86513025,8,"4201 North Dale Mabry Highway","raymond-james-stadium","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","US",0,"Raymond James Stadium",27.9753,-82.5034,FALSE,"2015-08-24T14:44:53Z","QRCODE_TM"
"8","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347109,"Arizona Cardinals at Los Angeles Chargers","2018-04-20T00:00:00",0.786,"nfl","normal","","2018-11-25T13:05:00","2018-11-26T01:05:00",FALSE,FALSE,"https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109","2018-04-20T00:47:52",0.858,"Cardinals at Chargers","2018-11-25T21:05:00",FALSE,265,94,48,91,87,50,195,FALSE,"2018-08-24T21:53:41Z","QRCODE",803,"90746","America/Los_Angeles",TRUE,52,"Carson","Carson, CA 90746","Carson, CA","CA",0.7228164,5,"18400 Avalon Blvd","stubhub-center","StubHub Center","https://seatgeek.com/venues/stubhub-center/tickets","US",0,"StubHub Center",33.8643,-118.261,NA,NA,NA
"9","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4347143,"Pittsburgh Steelers at Denver Broncos","2018-04-20T00:00:00",0.835,"nfl","normal","","2018-11-25T14:25:00","2018-11-26T01:25:00",FALSE,FALSE,"https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-broncos-stadium-at-mile-high/nfl/4347143","2018-04-20T01:04:05",0.888,"Steelers at Broncos","2018-11-25T21:25:00",FALSE,180,235,93,160,14,102,791,FALSE,"2018-08-24T21:53:41Z","QRCODE",751,"80204","America/Denver",TRUE,1131,"Denver","Denver, CO 80204","Denver, CO","CO",0.9028296,6,"1701 Bryant St.","broncos-stadium-at-mile-high","Broncos Stadium at Mile High","https://seatgeek.com/venues/broncos-stadium-at-mile-high/tickets","US",0,"Broncos Stadium at Mile High",39.74,-105.02,FALSE,"2015-08-07T18:39:02Z","QRCODE_TM"
"10","2018-11-25","2018-11-25_11.19.22",NA,FALSE,4346956,"Miami Dolphins at Indianapolis Colts","2018-04-20T00:00:00",0.787,"nfl","normal","","2018-11-25T16:25:00","2018-11-26T01:25:00",FALSE,FALSE,"https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956","2018-04-20T00:47:21",0.851,"Dolphins at Colts","2018-11-25T21:25:00",FALSE,319,80,40,66,115,44,347,FALSE,"2018-08-24T21:53:40Z","QRCODE",527,"46225","America/Indiana/Indianapolis",TRUE,1130,"Indianapolis","Indianapolis, IN 46225","Indianapolis, IN","IN",0.9071682,10,"500 South Capitol Avenue","lucas-oil-stadium","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","US",0,"Lucas Oil Stadium",39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
