"","date","timestamp","datetime_local","popularity","datetime_utc","date_tbd","created_at","score","id","description","visible_until_utc","short_title","is_open","type","status","datetime_tbd","title","announce_date","url","time_tbd","general_admission","median_price","lowest_price","highest_price","lowest_price_good_deals","listing_count","average_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","popularity_venue","has_upcoming_events","extended_address","display_location","slug","metro_code","id_venue","postal_code","timezone","city","state","address","name","num_upcoming_events","url_venue","country","score_venue","name_v2","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-10-05","2018-10-05_11.05.06","2018-10-06T15:30:00",0.705,"2018-10-06T19:30:00",FALSE,"2018-02-28T15:00:17",0.589,4281989,"","2018-10-06T23:30:00","South Alabama at Georgia Southern",FALSE,"ncaa_football","normal",FALSE,"South Alabama Jaguars at Georgia Southern Eagles Football","2018-02-28T00:00:00","https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989",FALSE,NA,44,38,50,NA,8,43.75,3,NA,NA,NA,0,TRUE,"Statesboro, GA 30460","Statesboro, GA","allen-e-paulson-stadium",507,2352,"30460","America/New_York","Statesboro","GA","225 Lanier Drive","Allen E. Paulson Stadium",3,"https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","US",0.41380084,"Allen E. Paulson Stadium",32.4488,-81.7832,NA,NA,NA
"2","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.948,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:47",0.929,4347079,"","2018-10-07T21:00:00","Falcons at Steelers",FALSE,"nfl","normal",FALSE,"Atlanta Falcons at Pittsburgh Steelers","2018-04-20T00:00:00","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079",FALSE,NA,225,115,591,108,99,246.70708,317,"2018-08-24T21:16:40Z","QRCODE",FALSE,0,TRUE,"Pittsburgh, PA 15212","Pittsburgh, PA","heinz-field",508,1119,"15212","America/New_York","Pittsburgh","PA","100 Art Rooney Avenue","Heinz Field",9,"https://seatgeek.com/venues/heinz-field/tickets","US",0.9033526,"Heinz Field",40.4468,-80.0158,"2018-10-04T12:42:28Z","QRCODE",FALSE
"3","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.964,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:38",0.946,4347032,"","2018-10-07T21:00:00","Giants at Panthers",FALSE,"nfl","normal",FALSE,"New York Giants at Carolina Panthers","2018-04-20T00:00:00","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032",FALSE,NA,235,125,719,125,161,294.53415,500,"2018-08-24T21:15:58Z","QRCODE",FALSE,0,TRUE,"Charlotte, NC 28202","Charlotte, NC","bank-of-america-stadium",517,1122,"28202","America/New_York","Charlotte","NC","800 South Mint Street","Bank of America Stadium",9,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","US",0.8968222,"Bank of America Stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"4","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.971,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:37",0.953,4347027,"","2018-10-07T21:00:00","Packers at Lions",FALSE,"nfl","normal",FALSE,"Green Bay Packers at Detroit Lions","2018-04-20T00:00:00","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027",FALSE,NA,193,133,2339,121,271,206.28783,419,"2018-08-24T21:05:06Z","QRCODE",FALSE,0,TRUE,"Detroit, MI 48226","Detroit, MI","ford-field",505,346,"48226","America/Detroit","Detroit","MI","2000 Brush St.","Ford Field",11,"https://seatgeek.com/venues/ford-field/tickets","US",0.9029952,"Ford Field",42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
"5","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.982,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:34",0.959,4347011,"","2018-10-07T21:00:00","Broncos at Jets",FALSE,"nfl","normal",FALSE,"Denver Broncos at New York Jets","2018-04-20T00:00:00","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011",FALSE,NA,112,59,582,59,465,126.729034,709,"2018-09-05T19:53:41Z","QRCODE",FALSE,0,TRUE,"East Rutherford, NJ 07073","East Rutherford, NJ","metlife-stadium",501,1587,"07073","America/New_York","East Rutherford","NJ","1 MetLife Stadium Drive","MetLife Stadium",15,"https://seatgeek.com/venues/metlife-stadium/tickets","US",0.94873494,"MetLife Stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"6","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.921,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:40",0.884,4347043,"","2018-10-07T21:00:00","Dolphins at Bengals",FALSE,"nfl","normal",FALSE,"Miami Dolphins at Cincinnati Bengals","2018-04-20T00:00:00","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043",FALSE,NA,114,72,308,77,57,134.50877,324,"2018-08-24T21:16:15Z","QRCODE",FALSE,0,TRUE,"Cincinnati, OH 45202","Cincinnati, OH","paul-brown-stadium",515,1124,"45202","America/New_York","Cincinnati","OH","1 Paul Brown Stadium","Paul Brown Stadium",7,"https://seatgeek.com/venues/paul-brown-stadium/tickets","US",0.86166537,"Paul Brown Stadium",39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"7","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.922,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:31",0.888,4346999,"","2018-10-07T21:00:00","Ravens at Browns",FALSE,"nfl","normal",FALSE,"Baltimore Ravens at Cleveland Browns","2018-04-20T00:00:00","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999",FALSE,NA,100,53,559,51,287,121.81882,570,"2018-08-24T21:04:01Z","QRCODE",FALSE,0,TRUE,"Cleveland, OH 44114","Cleveland, OH","firstenergy-stadium-15",510,1123,"44114","America/New_York","Cleveland","OH","100 Alfred Lerner Way","FirstEnergy Stadium",6,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US",0.86852187,"FirstEnergy Stadium",41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"8","2018-10-05","2018-10-05_11.05.06","2018-10-07T12:00:00",0.936,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:28",0.907,4346983,"","2018-10-07T21:00:00","Jaguars at Chiefs",FALSE,"nfl","normal",FALSE,"Jacksonville Jaguars at Kansas City Chiefs","2018-04-20T00:00:00","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983",FALSE,NA,159,74,455,57,453,156.02208,972,"2018-08-24T21:03:49Z","QRCODE",FALSE,0,TRUE,"Kansas City, MO 64129","Kansas City, MO","arrowhead-stadium",616,1128,"64129","America/Chicago","Kansas City","MO","1 Arrowhead Drive","Arrowhead Stadium",8,"https://seatgeek.com/venues/arrowhead-stadium/tickets","US",0.8827867,"Arrowhead Stadium",39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"9","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:00:00",0.915,"2018-10-07T17:00:00",FALSE,"2018-04-20T00:47:44",0.883,4347063,"","2018-10-07T21:00:00","Titans at Bills",FALSE,"nfl","normal",FALSE,"Tennessee Titans at Buffalo Bills","2018-04-20T00:00:00","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063",FALSE,NA,104,67,363,72,215,118.8186,464,"2018-08-24T21:16:26Z","QRCODE",FALSE,0,TRUE,"Orchard Park, NY 14127","Orchard Park, NY","new-era-field",514,1135,"14127","America/New_York","Orchard Park","NY","1 Bills Drive","New Era Field",7,"https://seatgeek.com/venues/new-era-field/tickets","US",0.8815085,"New Era Field",42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"10","2018-10-05","2018-10-05_11.05.06","2018-10-07T13:05:00",0.981,"2018-10-07T20:05:00",FALSE,"2018-04-20T00:47:52",0.96,4347111,"","2018-10-08T00:05:00","Raiders at Chargers",FALSE,"nfl","normal",FALSE,"Oakland Raiders at Los Angeles Chargers","2018-04-20T00:00:00","https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111",FALSE,NA,247,191,509,168,123,262.2114,246,"2018-08-24T21:17:06Z","QRCODE",FALSE,0,TRUE,"Carson, CA 90746","Carson, CA","stubhub-center",803,52,"90746","America/Los_Angeles","Carson","CA","18400 Avalon Blvd","StubHub Center",12,"https://seatgeek.com/venues/stubhub-center/tickets","US",0.7228164,"StubHub Center",33.8643,-118.261,NA,NA,NA
