"","date","timestamp","id","short_title","announce_date","datetime_tbd","popularity","status","time_tbd","is_open","url","created_at","type","datetime_local","title","score","datetime_utc","date_tbd","visible_until_utc","description","general_admission","listing_count","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","state","id_venue","num_upcoming_events","city","popularity_venue","metro_code","timezone","name","postal_code","url_venue","extended_address","slug","display_location","name_v2","score_venue","address","country","has_upcoming_events","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-10-04","2018-10-04_16.02.20",4347096,"Colts at Patriots","2018-04-20T00:00:00",FALSE,0.952,"normal",FALSE,FALSE,"https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096","2018-04-20T00:47:50","nfl","2018-10-04T20:20:00","Indianapolis Colts at New England Patriots",0.966,"2018-10-05T00:20:00",FALSE,"2018-10-05T04:20:00","",NA,72,118,189,233,121,220.26389,707,"2018-08-24T21:03:24Z",FALSE,"QRCODE","MA",33,14,"Foxborough",0,506,"America/New_York","Gillette Stadium","02035","https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA 02035","gillette-stadium","Foxborough, MA","Gillette Stadium",0.8983344,"1 Patriot Place","US",TRUE,42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"2","2018-10-04","2018-10-04_16.02.20",4281989,"South Alabama at Georgia Southern","2018-02-28T00:00:00",FALSE,0.622,"normal",FALSE,FALSE,"https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989","2018-02-28T15:00:17","ncaa_football","2018-10-06T15:30:00","South Alabama Jaguars at Georgia Southern Eagles Football",0.534,"2018-10-06T19:30:00",FALSE,"2018-10-06T23:30:00","",NA,16,NA,44,5,34,45.625,69,NA,NA,NA,"GA",2352,3,"Statesboro",0,507,"America/New_York","Allen E. Paulson Stadium","30460","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","Statesboro, GA 30460","allen-e-paulson-stadium","Statesboro, GA","Allen E. Paulson Stadium",0.41380084,"225 Lanier Drive","US",TRUE,32.4488,-81.7832,NA,NA,NA
"3","2018-10-04","2018-10-04_16.02.20",4347079,"Falcons at Steelers","2018-04-20T00:00:00",FALSE,0.935,"normal",FALSE,FALSE,"https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079","2018-04-20T00:47:47","nfl","2018-10-07T13:00:00","Atlanta Falcons at Pittsburgh Steelers",0.95,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,123,101,236,343,106,261.68292,619,"2018-08-24T21:16:40Z",FALSE,"QRCODE","PA",1119,9,"Pittsburgh",0,508,"America/New_York","Heinz Field","15212","https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh, PA 15212","heinz-field","Pittsburgh, PA","Heinz Field",0.9033526,"100 Art Rooney Avenue","US",TRUE,40.4468,-80.0158,"2018-10-04T12:42:28Z",FALSE,"QRCODE"
"4","2018-10-04","2018-10-04_16.02.20",4347032,"Giants at Panthers","2018-04-20T00:00:00",FALSE,0.938,"normal",FALSE,FALSE,"https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032","2018-04-20T00:47:38","nfl","2018-10-07T13:00:00","New York Giants at Carolina Panthers",0.95,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,189,125,214,376,125,275.39154,719,"2018-08-24T21:15:58Z",FALSE,"QRCODE","NC",1122,9,"Charlotte",0,517,"America/New_York","Bank of America Stadium","28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC 28202","bank-of-america-stadium","Charlotte, NC","Bank of America Stadium",0.8968222,"800 South Mint Street","US",TRUE,35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"5","2018-10-04","2018-10-04_16.02.20",4347027,"Packers at Lions","2018-04-20T00:00:00",FALSE,0.948,"normal",FALSE,FALSE,"https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027","2018-04-20T00:47:37","nfl","2018-10-07T13:00:00","Green Bay Packers at Detroit Lions",0.961,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,282,130,193,436,134,208.74113,2336,"2018-08-24T21:05:06Z",FALSE,"QRCODE","MI",346,11,"Detroit",0,505,"America/Detroit","Ford Field","48226","https://seatgeek.com/venues/ford-field/tickets","Detroit, MI 48226","ford-field","Detroit, MI","Ford Field",0.9029952,"2000 Brush St.","US",TRUE,42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"6","2018-10-04","2018-10-04_16.02.20",4347011,"Broncos at Jets","2018-04-20T00:00:00",FALSE,0.962,"normal",FALSE,FALSE,"https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011","2018-04-20T00:47:34","nfl","2018-10-07T13:00:00","Denver Broncos at New York Jets",0.972,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,572,61,116,750,61,130.39511,582,"2018-09-05T19:53:41Z",FALSE,"QRCODE","NJ",1587,15,"East Rutherford",0,501,"America/New_York","MetLife Stadium","07073","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","metlife-stadium","East Rutherford, NJ","MetLife Stadium",0.94873494,"1 MetLife Stadium Drive","US",TRUE,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"7","2018-10-04","2018-10-04_16.02.20",4347043,"Dolphins at Bengals","2018-04-20T00:00:00",FALSE,0.897,"normal",FALSE,FALSE,"https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043","2018-04-20T00:47:40","nfl","2018-10-07T13:00:00","Miami Dolphins at Cincinnati Bengals",0.89,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,83,66,110,336,75,130.38554,332,"2018-08-24T21:16:15Z",FALSE,"QRCODE","OH",1124,7,"Cincinnati",0,515,"America/New_York","Paul Brown Stadium","45202","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH 45202","paul-brown-stadium","Cincinnati, OH","Paul Brown Stadium",0.86166537,"1 Paul Brown Stadium","US",TRUE,39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"8","2018-10-04","2018-10-04_16.02.20",4347063,"Titans at Bills","2018-04-20T00:00:00",FALSE,0.899,"normal",FALSE,FALSE,"https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063","2018-04-20T00:47:44","nfl","2018-10-07T13:00:00","Tennessee Titans at Buffalo Bills",0.901,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,300,71,110,478,67,121.2,375,"2018-08-24T21:16:26Z",FALSE,"QRCODE","NY",1135,7,"Orchard Park",0,514,"America/New_York","New Era Field","14127","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park, NY 14127","new-era-field","Orchard Park, NY","New Era Field",0.8815085,"1 Bills Drive","US",TRUE,42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"9","2018-10-04","2018-10-04_16.02.20",4346983,"Jaguars at Chiefs","2018-04-20T00:00:00",FALSE,0.912,"normal",FALSE,FALSE,"https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983","2018-04-20T00:47:28","nfl","2018-10-07T12:00:00","Jacksonville Jaguars at Kansas City Chiefs",0.913,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,499,85,167,751,86,169.48697,486,"2018-08-24T21:03:49Z",FALSE,"QRCODE","MO",1128,8,"Kansas City",0,616,"America/Chicago","Arrowhead Stadium","64129","https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO 64129","arrowhead-stadium","Kansas City, MO","Arrowhead Stadium",0.8827867,"1 Arrowhead Drive","US",TRUE,39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"10","2018-10-04","2018-10-04_16.02.20",4346999,"Ravens at Browns","2018-04-20T00:00:00",FALSE,0.902,"normal",FALSE,FALSE,"https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999","2018-04-20T00:47:31","nfl","2018-10-07T13:00:00","Baltimore Ravens at Cleveland Browns",0.899,"2018-10-07T17:00:00",FALSE,"2018-10-07T21:00:00","",NA,376,45,103,604,45,129.51596,559,"2018-08-24T21:04:01Z",FALSE,"QRCODE","OH",1123,6,"Cleveland",0,510,"America/New_York","FirstEnergy Stadium","44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH 44114","firstenergy-stadium-15","Cleveland, OH","FirstEnergy Stadium",0.86852187,"100 Alfred Lerner Way","US",TRUE,41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
