"","date","timestamp","popularity","description","type","announce_date","time_tbd","title","datetime_utc","date_tbd","datetime_local","url","id","datetime_tbd","visible_until_utc","status","created_at","short_title","score","is_open","general_admission","listing_count","highest_price","visible_listing_count","lowest_price","average_price","median_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","popularity_venue","address","country","metro_code","extended_address","timezone","url_venue","display_location","has_upcoming_events","id_venue","num_upcoming_events","postal_code","name","name_v2","score_venue","city","state","slug","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-14","2018-09-14_11.02.26",0.274,"","ncaa_football","2018-02-28T00:00:00",FALSE,"Texas State Bobcats at South Alabama Jaguars Football","2018-09-15T23:00:00",FALSE,"2018-09-15T18:00:00","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",4281986,FALSE,"2018-09-16T03:00:00","normal","2018-02-28T15:00:17","Texas State at South Alabama",0.317,FALSE,NA,16,50,8,20,36.625,35,20,NA,NA,NA,0,"1621 Virginia St.","US",686,"Mobile, AL 36604","America/Chicago","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Mobile, AL",TRUE,3716,7,"36604","Ladd Peebles Stadium","Ladd Peebles Stadium",0.50177634,"Mobile","AL","ladd-peebles-stadium",30.6748,-88.0761,NA,NA,NA
"2","2018-09-14","2018-09-14_11.02.26",0.893,"","nfl","2018-04-20T00:00:00",FALSE,"Houston Texans at Tennessee Titans","2018-09-16T16:00:00",FALSE,"2018-09-16T12:00:00","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",4346993,FALSE,"2018-09-16T20:00:00","normal","2018-04-20T00:47:30","Texans at Titans",0.841,FALSE,NA,221,310,566,49,120.15385,110,49,"QRCODE",FALSE,"2018-08-24T18:23:49Z",0,"1 Titans Way","US",659,"Nashville, TN 37213","America/New_York","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN",TRUE,1126,15,"37213","Nissan Stadium","Nissan Stadium",0.8546275,"Nashville","TN","nissan-stadium",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"3","2018-09-14","2018-09-14_11.02.26",0.955,"","nfl","2018-04-20T00:00:00",FALSE,"Indianapolis Colts at Washington Redskins","2018-09-16T17:00:00",FALSE,"2018-09-16T13:00:00","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",4346944,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:18","Colts at Redskins",0.941,FALSE,NA,73,264,861,64,137.9178,137,64,"QRCODE",FALSE,"2018-08-24T18:23:09Z",0,"1600 Fedex Way","US",511,"Landover, MD 20785","America/New_York","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD",TRUE,35,8,"20785","FedEx Field","FedEx Field",0.9333444,"Landover","MD","fedex-field",38.9071,-76.8658,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"4","2018-09-14","2018-09-14_11.02.26",0.954,"","nfl","2018-04-20T00:00:00",FALSE,"Carolina Panthers at Atlanta Falcons","2018-09-16T17:00:00",FALSE,"2018-09-16T13:00:00","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",4347054,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:42","Panthers at Falcons",0.924,FALSE,NA,532,787,794,78,186.65038,150,80,"QRCODE",FALSE,"2018-08-23T20:14:46Z",0,"441 M.L.K. Jr Dr NW","US",0,"Atlanta, GA 30313","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA",TRUE,419590,20,"30313","Mercedes-Benz Stadium","Mercedes-Benz Stadium",0.76958936,"Atlanta","GA","mercedes-benz-stadium",33.76,-84.4,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"5","2018-09-14","2018-09-14_11.02.26",0.928,"","nfl","2018-04-20T00:00:00",FALSE,"Philadelphia Eagles at Tampa Bay Buccaneers","2018-09-16T17:00:00",FALSE,"2018-09-16T13:00:00","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",4346933,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:16","Eagles at Buccaneers",0.879,FALSE,NA,23,537,670,159,309.0435,278,158,"QRCODE",FALSE,"2018-08-24T17:04:19Z",0,"4201 North Dale Mabry Highway","US",539,"Tampa, FL 33607","America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL",TRUE,39,15,"33607","Raymond James Stadium","Raymond James Stadium",0.86513025,"Tampa","FL","raymond-james-stadium",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"6","2018-09-14","2018-09-14_11.02.26",0.945,"","nfl","2018-04-20T00:00:00",FALSE,"Kansas City Chiefs at Pittsburgh Steelers","2018-09-16T17:00:00",FALSE,"2018-09-16T13:00:00","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",4347074,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:45","Chiefs at Steelers",0.918,FALSE,NA,114,549,385,100,261.33334,236,100,"QRCODE",FALSE,"2018-08-24T18:24:29Z",0,"100 Art Rooney Avenue","US",508,"Pittsburgh, PA 15212","America/New_York","https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh, PA",TRUE,1119,12,"15212","Heinz Field","Heinz Field",0.9033526,"Pittsburgh","PA","heinz-field",40.4468,-80.0158,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"7","2018-09-14","2018-09-14_11.02.26",0.927,"","nfl","2018-04-20T00:00:00",FALSE,"Los Angeles Chargers at Buffalo Bills","2018-09-16T17:00:00",FALSE,"2018-09-16T13:00:00","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",4347064,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:44","Chargers at Bills",0.894,FALSE,NA,142,434,382,110,179.52113,169,97,"QRCODE",FALSE,"2018-08-24T18:24:17Z",0,"1 Bills Drive","US",514,"Orchard Park, NY 14127","America/New_York","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park, NY",TRUE,1135,8,"14127","New Era Field","New Era Field",0.8815085,"Orchard Park","NY","new-era-field",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"8","2018-09-14","2018-09-14_11.02.26",0.943,"","nfl","2018-04-20T00:00:00",FALSE,"Minnesota Vikings at Green Bay Packers","2018-09-16T17:00:00",FALSE,"2018-09-16T12:00:00","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",4346915,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:14","Vikings at Packers",0.944,FALSE,NA,106,1105,330,264,416.79245,395,147,"QRCODE",FALSE,"2018-08-24T17:03:48Z",0,"1265 Lombardi Avenue","US",658,"Green Bay, WI 54304","America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI",TRUE,1125,7,"54304","Lambeau Field","Lambeau Field",0.92909414,"Green Bay","WI","lambeau-field",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"9","2018-09-14","2018-09-14_11.02.26",0.902,"","nfl","2018-04-20T00:00:00",FALSE,"Cleveland Browns at New Orleans Saints","2018-09-16T17:00:00",FALSE,"2018-09-16T12:00:00","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",4346973,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:25","Browns at Saints",0.872,TRUE,NA,1286,1800,1173,46,171.71306,156,46,"QRCODE",FALSE,"2018-05-29T20:38:49Z",0,"1500 Sugar Bowl Drive","US",622,"New Orleans, LA 70112","America/Chicago","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA",TRUE,128,18,"70112","Mercedes-Benz Superdome","Mercedes-Benz Superdome",0.8966978,"New Orleans","LA","mercedes-benz-superdome",29.9515,-90.0786,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"10","2018-09-14","2018-09-14_11.02.26",0.977,"","nfl","2018-04-20T00:00:00",FALSE,"Miami Dolphins at New York Jets","2018-09-16T17:00:00",FALSE,"2018-09-16T13:00:00","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",4346953,FALSE,"2018-09-16T21:00:00","normal","2018-04-20T00:47:20","Dolphins at Jets",0.936,FALSE,NA,183,11943,527,86,249.48088,131,86,"QRCODE",FALSE,"2018-08-24T18:23:39Z",0,"1 MetLife Stadium Drive","US",501,"East Rutherford, NJ 07073","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ",TRUE,1587,18,"07073","MetLife Stadium","MetLife Stadium",0.94873494,"East Rutherford","NJ","metlife-stadium",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
