"","date","timestamp","datetime_utc","visible_until_utc","datetime_local","date_tbd","time_tbd","created_at","title","popularity","description","type","announce_date","datetime_tbd","id","is_open","short_title","url","score","status","general_admission","highest_price","lowest_price_good_deals","average_price","listing_count","lowest_price","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","extended_address","num_upcoming_events","display_location","popularity_venue","has_upcoming_events","name_v2","city","state","timezone","slug","id_venue","name","country","url_venue","score_venue","address","postal_code","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"1","2018-09-06","2018-09-06_11.03.41","2018-09-07T00:20:00","2018-09-07T04:20:00","2018-09-06T20:20:00",FALSE,FALSE,"2018-04-20T00:47:42","Atlanta Falcons at Philadelphia Eagles",0.791,"","nfl","2018-04-20T00:00:00",FALSE,4347055,FALSE,"Falcons at Eagles","https://seatgeek.com/falcons-at-eagles-tickets/9-6-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347055",0.96,"normal",NA,1655,141,394.86,727,141,FALSE,"QRCODE","2018-08-24T16:51:23Z","Philadelphia, PA 19148",18,"Philadelphia, PA",0,TRUE,"Lincoln Financial Field","Philadelphia","PA","America/New_York","lincoln-financial-field",330,"Lincoln Financial Field","US","https://seatgeek.com/venues/lincoln-financial-field/tickets",0.90542686,"1020 Pattison Ave","19148",-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"2","2018-09-06","2018-09-06_11.03.41","2018-09-09T00:00:00","2018-09-09T04:00:00","2018-09-08T19:00:00",FALSE,FALSE,"2017-11-02T15:00:32","South Alabama Jaguars at Oklahoma State Cowboys Football",0.865,"","ncaa_football","2017-11-02T00:00:00",FALSE,4109673,FALSE,"South Alabama at Oklahoma State","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673",0.771,"normal",NA,550,37,83.66,1061,37,NA,NA,NA,"Stillwater, OK 74078",6,"Stillwater, OK",0,TRUE,"Boone Pickens Stadium","Stillwater","OK","America/Chicago","boone-pickens-stadium",2785,"Boone Pickens Stadium","US","https://seatgeek.com/venues/boone-pickens-stadium/tickets",0.81559026,"422 Aquires","74078",-97.0665,36.1257,NA,NA,NA
"3","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,"2018-04-20T00:47:23","Cincinnati Bengals at Indianapolis Colts",0.946,"","nfl","2018-04-20T00:00:00",FALSE,4346964,FALSE,"Bengals at Colts","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964",0.899,"normal",NA,123659,56,279.11,1274,56,FALSE,"QRCODE","2018-08-24T16:52:49Z","Indianapolis, IN 46225",14,"Indianapolis, IN",0,TRUE,"Lucas Oil Stadium","Indianapolis","IN","America/Indiana/Indianapolis","lucas-oil-stadium",1130,"Lucas Oil Stadium","US","https://seatgeek.com/venues/lucas-oil-stadium/tickets",0.9071682,"500 South Capitol Avenue","46225",-86.1639,39.7601,FALSE,"QRCODE_TM","2015-08-22T16:51:43Z"
"4","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,"2018-04-20T00:47:49","Houston Texans at New England Patriots",0.996,"","nfl","2018-04-20T00:00:00",FALSE,4347091,FALSE,"Texans at Patriots","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091",0.965,"normal",NA,1866,190,483.08,984,190,FALSE,"QRCODE","2018-08-22T15:38:11Z","Foxborough, MA 02035",14,"Foxborough, MA",0,TRUE,"Gillette Stadium","Foxborough","MA","America/New_York","gillette-stadium",33,"Gillette Stadium","US","https://seatgeek.com/venues/gillette-stadium/tickets",0.8983344,"1 Patriot Place","02035",-71.2674,42.0906,FALSE,"NONE","2018-08-22T15:36:58Z"
"5","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,"2018-04-20T00:47:20","Jacksonville Jaguars at New York Giants",0.99,"","nfl","2018-04-20T00:00:00",FALSE,4346952,FALSE,"Jaguars at Giants","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952",0.944,"normal",NA,2246,135,377.56,938,135,FALSE,"QRCODE","2018-08-24T16:52:25Z","East Rutherford, NJ 07073",21,"East Rutherford, NJ",0,TRUE,"MetLife Stadium","East Rutherford","NJ","America/New_York","metlife-stadium",1587,"MetLife Stadium","US","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"1 MetLife Stadium Drive","07073",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"6","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,"2018-04-20T00:47:32","Pittsburgh Steelers at Cleveland Browns",0.979,"","nfl","2018-04-20T00:00:00",FALSE,4347001,FALSE,"Steelers at Browns","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001",0.939,"normal",NA,19571,107,301.1,854,107,FALSE,"QRCODE","2018-08-24T16:53:01Z","Cleveland, OH 44114",8,"Cleveland, OH",0,TRUE,"FirstEnergy Stadium","Cleveland","OH","America/New_York","firstenergy-stadium-15",1123,"FirstEnergy Stadium","US","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0.86852187,"100 Alfred Lerner Way","44114",-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
"7","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,"2018-04-20T00:47:47","Tennessee Titans at Miami Dolphins",0.956,"","nfl","2018-04-20T00:00:00",FALSE,4347082,FALSE,"Titans at Dolphins","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082",0.897,"normal",NA,1918,38,141.93,2118,38,FALSE,"QRCODE","2018-08-24T17:01:07Z","Miami Gardens, FL 33056",39,"Miami Gardens, FL",0,TRUE,"Hard Rock Stadium","Miami Gardens","FL","America/New_York","hard-rock-stadium",29,"Hard Rock Stadium","US","https://seatgeek.com/venues/hard-rock-stadium/tickets",0.8378203,"347 Don Shula Dr.","33056",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"8","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,"2018-04-20T00:47:45","Buffalo Bills at Baltimore Ravens",0.944,"","nfl","2018-04-20T00:00:00",FALSE,4347073,FALSE,"Bills at Ravens","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073",0.893,"normal",NA,1761,75,243.51,828,75,FALSE,"QRCODE","2018-08-24T16:58:09Z","Baltimore, MD 21230",9,"Baltimore, MD",0,TRUE,"M&T Bank Stadium","Baltimore","MD","America/New_York","m-t-bank-stadium",1121,"M&T Bank Stadium","US","https://seatgeek.com/venues/m-t-bank-stadium/tickets",0.8927189,"1101 Russell St","21230",-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"9","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T12:00:00",FALSE,FALSE,"2018-04-20T00:47:25","Tampa Bay Buccaneers at New Orleans Saints",0.932,"","nfl","2018-04-20T00:00:00",FALSE,4346974,TRUE,"Buccaneers at Saints","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974",0.885,"normal",NA,1398,57,192.99,1219,57,FALSE,"QRCODE","2018-05-29T20:38:44Z","New Orleans, LA 70112",20,"New Orleans, LA",0,TRUE,"Mercedes-Benz Superdome","New Orleans","LA","America/Chicago","mercedes-benz-superdome",128,"Mercedes-Benz Superdome","US","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"1500 Sugar Bowl Drive","70112",-90.0786,29.9515,FALSE,"QRCODE_TM","2018-08-27T20:46:59Z"
"10","2018-09-06","2018-09-06_11.03.41","2018-09-09T17:00:00","2018-09-09T21:00:00","2018-09-09T12:00:00",FALSE,FALSE,"2018-04-20T01:04:06","San Francisco 49ers at Minnesota Vikings",0.98,"","nfl","2018-04-20T00:00:00",FALSE,4347146,FALSE,"49ers at Vikings","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146",0.942,"normal",NA,1864,105,327.78,846,105,FALSE,"QRCODE","2018-08-24T17:02:13Z","Minneapolis, MN 55415",14,"Minneapolis, MN",0,TRUE,"U.S. Bank Stadium","Minneapolis","MN","America/Chicago","u-s-bank-stadium",218451,"U.S. Bank Stadium","US","https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"401 Chicago Avenue","55415",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
