"","date","timestamp","datetime_local","time_tbd","type","popularity","visible_until_utc","id","datetime_utc","is_open","score","description","date_tbd","datetime_tbd","status","url","short_title","title","announce_date","created_at","general_admission","lowest_price","median_price","listing_count","highest_price","visible_listing_count","lowest_price_good_deals","average_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","city","id_venue","popularity_venue","has_upcoming_events","name","display_location","name_v2","num_upcoming_events","address","score_venue","metro_code","timezone","country","extended_address","slug","url_venue","state","postal_code","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-28","2018-09-28_16.02.18","2018-09-28T19:00:00",FALSE,"sports",0.594,"2018-09-29T03:00:00",4401810,"2018-09-28T23:00:00",FALSE,0.357,"",FALSE,FALSE,"normal","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","2018-06-05T00:00:00","2018-06-05T16:00:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lexington",5102,0,TRUE,"Memorial Coliseum","Lexington, KY","Memorial Coliseum",26,"338 Lexington Avenue",0.4125833,541,"America/New_York","US","Lexington, KY 40506","memorial-coliseum-1","https://seatgeek.com/venues/memorial-coliseum-1/tickets","KY","40506",-84.5,38.04,NA,NA,NA
"2","2018-09-28","2018-09-28_16.02.18","2018-09-29T11:00:00",FALSE,"ncaa_football",0.976,"2018-09-29T20:00:00",4163969,"2018-09-29T16:00:00",TRUE,0.935,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",FALSE,FALSE,"normal","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","Southwest Classic: Arkansas vs Texas A&M","Southwest Classic: Arkansas vs Texas A&M","2017-12-05T00:00:00","2017-12-05T15:00:24",NA,102,150,693,11532,621,102,198.54257,"QRCODE",FALSE,"2018-04-17T22:02:33Z","Arlington",4965,0,TRUE,"AT&T Stadium","Arlington, TX","AT&T Stadium",24,"1 AT&T Way",0.9751414,623,"America/Chicago","US","Arlington, TX 76011","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","TX","76011",-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"3","2018-09-28","2018-09-28_16.02.18","2018-09-29T15:30:00",FALSE,"ncaa_football",0.699,"2018-09-29T23:30:00",4281951,"2018-09-29T19:30:00",FALSE,0.516,"",FALSE,FALSE,"normal","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","South Alabama at Appalachian State","South Alabama Jaguars at Appalachian State Mountaineers Football","2018-02-28T00:00:00","2018-02-28T15:00:11",NA,35,42,145,122,52,35,48,NA,NA,NA,"Boone",3723,0,TRUE,"Kidd Brewer Stadium","Boone, NC","Kidd Brewer Stadium",4,"1 Kidd Brewer Stadium",0.57884717,517,"America/New_York","US","Boone, NC 28607","kidd-brewer-stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","NC","28607",-81.6856,36.2116,NA,NA,NA
"4","2018-09-28","2018-09-28_16.02.18","2018-09-30T12:00:00",FALSE,"nfl",0.978,"2018-09-30T20:00:00",4346992,"2018-09-30T16:00:00",FALSE,0.932,"",FALSE,FALSE,"normal","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","Eagles at Titans","Philadelphia Eagles at Tennessee Titans","2018-04-20T00:00:00","2018-04-20T00:47:30",NA,137,242,119,488,316,111,255.28572,"QRCODE",FALSE,"2018-08-24T20:47:49Z","Nashville",1126,0,TRUE,"Nissan Stadium","Nashville, TN","Nissan Stadium",16,"1 Titans Way",0.8546275,659,"America/New_York","US","Nashville, TN 37213","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","TN","37213",-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"5","2018-09-28","2018-09-28_16.02.18","2018-09-30T12:00:00",FALSE,"nfl",0.98,"2018-09-30T21:00:00",4346911,"2018-09-30T17:00:00",FALSE,0.953,"",FALSE,FALSE,"normal","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","Bills at Packers","Buffalo Bills at Green Bay Packers","2018-04-20T00:00:00","2018-04-20T00:47:13",NA,168,259,175,1228,294,141,278.46857,"QRCODE",FALSE,"2018-08-24T20:38:24Z","Green Bay",1125,0,TRUE,"Lambeau Field","Green Bay, WI","Lambeau Field",6,"1265 Lombardi Avenue",0.92909414,658,"America/Chicago","US","Green Bay, WI 54304","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","WI","54304",-88.0622,44.5013,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"6","2018-09-28","2018-09-28_16.02.18","2018-09-30T12:00:00",FALSE,"nfl",0.984,"2018-09-30T21:00:00",4347009,"2018-09-30T17:00:00",FALSE,0.938,"",FALSE,FALSE,"normal","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","Buccaneers at Bears","Tampa Bay Buccaneers at Chicago Bears","2018-04-20T00:00:00","2018-04-20T00:47:33",NA,132,292,73,862,289,132,339.1096,"QRCODE",FALSE,"2018-08-24T20:48:11Z","Chicago",31,0,TRUE,"Soldier Field","Chicago, IL","Soldier Field",9,"1410 S. Museum Campus Drive",0.940013,602,"America/Chicago","US","Chicago, IL 60605","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","IL","60605",-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"7","2018-09-28","2018-09-28_16.02.18","2018-09-30T13:00:00",FALSE,"nfl",1.002,"2018-09-30T21:00:00",4347092,"2018-09-30T17:00:00",FALSE,0.967,"",FALSE,FALSE,"normal","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092","Dolphins at Patriots","Miami Dolphins at New England Patriots","2018-04-20T00:00:00","2018-04-20T00:47:49",NA,178,312,54,1265,227,170,442.31482,"QRCODE",FALSE,"2018-08-24T20:51:36Z","Foxborough",33,0,TRUE,"Gillette Stadium","Foxborough, MA","Gillette Stadium",15,"1 Patriot Place",0.8983344,506,"America/New_York","US","Foxborough, MA 02035","gillette-stadium","https://seatgeek.com/venues/gillette-stadium/tickets","MA","02035",-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"8","2018-09-28","2018-09-28_16.02.18","2018-09-30T13:00:00",FALSE,"nfl",0.926,"2018-09-30T21:00:00",4346949,"2018-09-30T17:00:00",FALSE,0.85,"",FALSE,FALSE,"normal","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949","Jets at Jaguars","New York Jets at Jacksonville Jaguars","2018-04-20T00:00:00","2018-04-20T00:47:19",NA,35,54,274,392,413,35,74.91606,"QRCODE",FALSE,"2018-08-24T20:38:35Z","Jacksonville",5178,0,TRUE,"EverBank Field","Jacksonville, FL","EverBank Field",8,"1 Everbank Field Dr",0.83759147,561,"America/New_York","US","Jacksonville, FL 32202","everbank-field","https://seatgeek.com/venues/everbank-field/tickets","FL","32202",-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"9","2018-09-28","2018-09-28_16.02.18","2018-09-30T13:00:00",FALSE,"nfl",0.931,"2018-09-30T21:00:00",4346962,"2018-09-30T17:00:00",FALSE,0.868,"",FALSE,FALSE,"normal","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","Texans at Colts","Houston Texans at Indianapolis Colts","2018-04-20T00:00:00","2018-04-20T00:47:22",NA,22,72,385,380,742,22,85.17662,"QRCODE",FALSE,"2018-08-24T20:46:39Z","Indianapolis",1130,0,TRUE,"Lucas Oil Stadium","Indianapolis, IN","Lucas Oil Stadium",13,"500 South Capitol Avenue",0.9071682,527,"America/Indiana/Indianapolis","US","Indianapolis, IN 46225","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","IN","46225",-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"10","2018-09-28","2018-09-28_16.02.18","2018-09-30T12:00:00",FALSE,"nfl",1.006,"2018-09-30T21:00:00",4327924,"2018-09-30T17:00:00",TRUE,0.979,"",FALSE,FALSE,"normal","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","Lions at Cowboys","Detroit Lions at Dallas Cowboys","2018-04-05T00:00:00","2018-04-05T23:08:47",NA,NA,150,1971,1319,1700,NA,192.60426,"QRCODE",FALSE,"2018-04-17T22:02:33Z","Arlington",4965,0,TRUE,"AT&T Stadium","Arlington, TX","AT&T Stadium",24,"1 AT&T Way",0.9751414,623,"America/Chicago","US","Arlington, TX 76011","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","TX","76011",-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
