"","date","timestamp","datetime_tbd","score","url","description","created_at","date_tbd","visible_until_utc","announce_date","status","datetime_utc","type","id","title","popularity","short_title","time_tbd","datetime_local","is_open","general_admission","highest_price","lowest_price","average_price","lowest_price_good_deals","listing_count","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","extended_address","display_location","slug","address","score_venue","url_venue","name","postal_code","state","city","country","id_venue","timezone","num_upcoming_events","popularity_venue","name_v2","has_upcoming_events","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"11","2018-09-07","2018-09-07_08.07.42",FALSE,0.913,"https://seatgeek.com/cowboys-at-panthers-tickets/9-9-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347034","","2018-04-20T00:47:38",FALSE,"2018-09-10T00:25:00","2018-04-20T00:00:00","normal","2018-09-09T20:25:00","nfl",4347034,"Dallas Cowboys at Carolina Panthers",0.998,"Cowboys at Panthers",FALSE,"2018-09-09T16:25:00",FALSE,NA,11348,160,492.42,160,898,"QRCODE","2018-08-24T16:53:30Z",FALSE,"Charlotte, NC 28202","Charlotte, NC","bank-of-america-stadium","800 South Mint Street",0.8968222,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","28202","NC","Charlotte","US",1122,"America/New_York",10,0,"Bank of America Stadium",TRUE,-80.8524,35.2243,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
"12","2018-09-07","2018-09-07_08.07.42",FALSE,0.875,"https://seatgeek.com/seahawks-at-broncos-tickets/9-9-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347148","","2018-04-20T01:04:06",FALSE,"2018-09-10T00:25:00","2018-04-20T00:00:00","normal","2018-09-09T20:25:00","nfl",4347148,"Seattle Seahawks at Denver Broncos",0.973,"Seahawks at Broncos",FALSE,"2018-09-09T14:25:00",FALSE,NA,2783,116,351.26,116,998,"QRCODE","2018-08-24T17:02:21Z",FALSE,"Denver, CO 80204","Denver, CO","sports-authority-field-at-mile-high","1701 Bryant St.",0.9028296,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Sports Authority Field at Mile High","80204","CO","Denver","US",1131,"America/Denver",8,0,"Sports Authority Field at Mile High",TRUE,-105.02,39.74,"QRCODE_TM","2015-08-07T18:39:02Z",FALSE
"13","2018-09-07","2018-09-07_08.07.42",FALSE,0.871,"https://seatgeek.com/redskins-at-cardinals-tickets/9-9-2018-glendale-arizona-state-farm-stadium/nfl/4347105","","2018-04-20T00:47:52",FALSE,"2018-09-10T00:25:00","2018-04-20T00:00:00","normal","2018-09-09T20:25:00","nfl",4347105,"Washington Redskins at Arizona Cardinals",0.972,"Redskins at Cardinals",FALSE,"2018-09-09T13:25:00",FALSE,NA,941,17,118.42,17,1473,"QRCODE","2018-08-24T17:01:32Z",FALSE,"Glendale, AZ 85305","Glendale, AZ","state-farm-stadium","1 Cardinals Drive",0.93402725,"https://seatgeek.com/venues/state-farm-stadium/tickets","State Farm Stadium","85305","AZ","Glendale","US",43,"America/Phoenix",11,0,"State Farm Stadium",TRUE,-112.262,33.5294,"NONE","2015-12-21T17:26:05Z",FALSE
"14","2018-09-07","2018-09-07_08.07.42",FALSE,0.898,"https://seatgeek.com/bears-at-packers-tickets/9-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346916","","2018-04-20T00:47:14",FALSE,"2018-09-10T04:20:00","2018-04-20T00:00:00","normal","2018-09-10T00:20:00","nfl",4346916,"Chicago Bears at Green Bay Packers",0.966,"Bears at Packers",FALSE,"2018-09-09T19:20:00",FALSE,NA,1156,152,356.66,152,708,"QRCODE","2018-08-24T16:52:08Z",FALSE,"Green Bay, WI 54304","Green Bay, WI","lambeau-field","1265 Lombardi Avenue",0.92909414,"https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field","54304","WI","Green Bay","US",1125,"America/Chicago",8,0,"Lambeau Field",TRUE,-88.0622,44.5013,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"15","2018-09-07","2018-09-07_08.07.42",FALSE,0.868,"https://seatgeek.com/jets-at-lions-tickets/9-10-2018-detroit-michigan-ford-field/nfl/4347029","","2018-04-20T00:47:37",FALSE,"2018-09-11T03:10:00","2018-04-20T00:00:00","normal","2018-09-10T23:10:00","nfl",4347029,"New York Jets at Detroit Lions",0.964,"Jets at Lions",FALSE,"2018-09-10T19:10:00",FALSE,NA,28467,62,291,62,902,"QRCODE","2018-08-23T16:09:50Z",FALSE,"Detroit, MI 48226","Detroit, MI","ford-field","2000 Brush St.",0.9029952,"https://seatgeek.com/venues/ford-field/tickets","Ford Field","48226","MI","Detroit","US",346,"America/Detroit",11,0,"Ford Field",TRUE,-83.0459,42.34,"NONE","2015-11-04T17:31:52Z",FALSE
"16","2018-09-07","2018-09-07_08.07.42",FALSE,0.842,"https://seatgeek.com/rams-at-raiders-tickets/9-10-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347155","","2018-04-20T01:04:25",FALSE,"2018-09-11T06:20:00","2018-04-20T00:00:00","normal","2018-09-11T02:20:00","nfl",4347155,"Los Angeles Rams at Oakland Raiders",0.937,"Rams at Raiders",FALSE,"2018-09-10T19:20:00",FALSE,NA,613,99,251.34,99,816,"QRCODE","2018-08-24T17:02:44Z",FALSE,"Oakland, CA 94621","Oakland, CA","oakland-alameda-county-coliseum","7000 Coliseum Way",0.7817843,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland-Alameda County Coliseum","94621","CA","Oakland","US",14,"America/Los_Angeles",30,0,"Oakland-Alameda County Coliseum",TRUE,-122.201,37.7469,"PDF417","2015-06-24T00:00:00Z",FALSE
"17","2018-09-07","2018-09-07_08.07.42",FALSE,0.814,"https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","","2018-04-20T00:47:41",FALSE,"2018-09-14T04:20:00","2018-04-20T00:00:00","normal","2018-09-14T00:20:00","nfl",4347044,"Baltimore Ravens at Cincinnati Bengals",0.894,"Ravens at Bengals",FALSE,"2018-09-13T20:20:00",FALSE,NA,797,40,127.7,40,1327,"QRCODE","2018-08-24T17:03:28Z",FALSE,"Cincinnati, OH 45202","Cincinnati, OH","paul-brown-stadium","1 Paul Brown Stadium",0.86166537,"https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","45202","OH","Cincinnati","US",1124,"America/New_York",9,0,"Paul Brown Stadium",TRUE,-84.5177,39.0961,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"18","2018-09-07","2018-09-07_08.07.42",FALSE,0.291,"https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","","2018-02-28T15:00:17",FALSE,"2018-09-16T03:00:00","2018-02-28T00:00:00","normal","2018-09-15T23:00:00","ncaa_football",4281986,"Texas State Bobcats at South Alabama Jaguars Football",0.503,"Texas State at South Alabama",FALSE,"2018-09-15T18:00:00",FALSE,NA,93,17,34.82,17,26,NA,NA,NA,"Mobile, AL 36604","Mobile, AL","ladd-peebles-stadium","1621 Virginia St.",0.50177634,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Ladd Peebles Stadium","36604","AL","Mobile","US",3716,"America/Chicago",7,0,"Ladd Peebles Stadium",TRUE,-88.0761,30.6748,NA,NA,NA
"19","2018-09-07","2018-09-07_08.07.42",FALSE,0.804,"https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","","2018-04-20T00:47:30",FALSE,"2018-09-16T20:00:00","2018-04-20T00:00:00","normal","2018-09-16T16:00:00","nfl",4346993,"Houston Texans at Tennessee Titans",0.874,"Texans at Titans",FALSE,"2018-09-16T12:00:00",FALSE,NA,1267,63,184.75,63,1106,"QRCODE","2018-08-24T18:23:49Z",FALSE,"Nashville, TN 37213","Nashville, TN","nissan-stadium","1 Titans Way",0.8546275,"https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium","37213","TN","Nashville","US",1126,"America/New_York",16,0,"Nissan Stadium",TRUE,-86.7713,36.1665,"NONE","2015-10-19T15:09:39Z",FALSE
"20","2018-09-07","2018-09-07_08.07.42",FALSE,0.896,"https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","","2018-04-20T00:47:42",FALSE,"2018-09-16T21:00:00","2018-04-20T00:00:00","normal","2018-09-16T17:00:00","nfl",4347054,"Carolina Panthers at Atlanta Falcons",0.948,"Panthers at Falcons",FALSE,"2018-09-16T13:00:00",FALSE,NA,1825,108,278.91,108,1359,"QRCODE","2018-08-23T20:14:46Z",FALSE,"Atlanta, GA 30313","Atlanta, GA","mercedes-benz-stadium","441 M.L.K. Jr Dr NW",0.76958936,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Mercedes-Benz Stadium","30313","GA","Atlanta","US",419590,"America/New_York",15,0,"Mercedes-Benz Stadium",TRUE,-84.4,33.76,"QRCODE","2018-08-23T20:14:46Z",FALSE
