"","date","timestamp","datetime_utc","description","id","status","short_title","datetime_local","time_tbd","score","datetime_tbd","announce_date","title","visible_until_utc","is_open","url","created_at","date_tbd","type","popularity","general_admission","lowest_price_good_deals","average_price","listing_count","highest_price","lowest_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","name_v2","score_venue","postal_code","city","display_location","id_venue","extended_address","state","address","popularity_venue","has_upcoming_events","country","num_upcoming_events","name","timezone","url_venue","slug","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-09-06","2018-09-06_16.00.13","2018-09-07T00:20:00","",4347055,"normal","Falcons at Eagles","2018-09-06T20:20:00",FALSE,0.927,FALSE,"2018-04-20T00:00:00","Atlanta Falcons at Philadelphia Eagles","2018-09-07T04:20:00",FALSE,"https://seatgeek.com/falcons-at-eagles-tickets/9-6-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347055","2018-04-20T00:47:42",FALSE,"nfl",0.745,NA,198,377.71,457,1524,198,"QRCODE","2018-08-24T16:51:23Z",FALSE,"Lincoln Financial Field",0.90542686,"19148","Philadelphia","Philadelphia, PA",330,"Philadelphia, PA 19148","PA","1020 Pattison Ave",0,TRUE,"US",18,"Lincoln Financial Field","America/New_York","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field",39.9046,-75.1675,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"2","2018-09-06","2018-09-06_16.00.13","2018-09-09T00:00:00","",4109673,"normal","South Alabama at Oklahoma State","2018-09-08T19:00:00",FALSE,0.724,FALSE,"2017-11-02T00:00:00","South Alabama Jaguars at Oklahoma State Cowboys Football","2018-09-09T04:00:00",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673","2017-11-02T15:00:32",FALSE,"ncaa_football",0.814,NA,38,77.77,763,357,38,NA,NA,NA,"Boone Pickens Stadium",0.81559026,"74078","Stillwater","Stillwater, OK",2785,"Stillwater, OK 74078","OK","422 Aquires",0,TRUE,"US",6,"Boone Pickens Stadium","America/Chicago","https://seatgeek.com/venues/boone-pickens-stadium/tickets","boone-pickens-stadium",36.1257,-97.0665,NA,NA,NA
"3","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4347091,"normal","Texans at Patriots","2018-09-09T13:00:00",FALSE,0.936,FALSE,"2018-04-20T00:00:00","Houston Texans at New England Patriots","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091","2018-04-20T00:47:49",FALSE,"nfl",0.966,NA,190,472.01,928,1866,190,"QRCODE","2018-08-22T15:38:11Z",FALSE,"Gillette Stadium",0.8983344,"02035","Foxborough","Foxborough, MA",33,"Foxborough, MA 02035","MA","1 Patriot Place",0,TRUE,"US",14,"Gillette Stadium","America/New_York","https://seatgeek.com/venues/gillette-stadium/tickets","gillette-stadium",42.0906,-71.2674,"NONE","2018-08-22T15:36:58Z",FALSE
"4","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4346964,"normal","Bengals at Colts","2018-09-09T13:00:00",FALSE,0.847,FALSE,"2018-04-20T00:00:00","Cincinnati Bengals at Indianapolis Colts","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964","2018-04-20T00:47:23",FALSE,"nfl",0.894,NA,53,174.9,1083,1243,53,"QRCODE","2018-08-24T16:52:49Z",FALSE,"Lucas Oil Stadium",0.9071682,"46225","Indianapolis","Indianapolis, IN",1130,"Indianapolis, IN 46225","IN","500 South Capitol Avenue",0,TRUE,"US",14,"Lucas Oil Stadium","America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets","lucas-oil-stadium",39.7601,-86.1639,"QRCODE_TM","2015-08-22T16:51:43Z",FALSE
"5","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4346952,"normal","Jaguars at Giants","2018-09-09T13:00:00",FALSE,0.909,FALSE,"2018-04-20T00:00:00","Jacksonville Jaguars at New York Giants","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952","2018-04-20T00:47:20",FALSE,"nfl",0.954,NA,135,381.68,901,2527,135,"QRCODE","2018-08-24T16:52:25Z",FALSE,"MetLife Stadium",0.94873494,"07073","East Rutherford","East Rutherford, NJ",1587,"East Rutherford, NJ 07073","NJ","1 MetLife Stadium Drive",0,TRUE,"US",21,"MetLife Stadium","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"6","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4346974,"normal","Buccaneers at Saints","2018-09-09T12:00:00",FALSE,0.843,FALSE,"2018-04-20T00:00:00","Tampa Bay Buccaneers at New Orleans Saints","2018-09-09T21:00:00",TRUE,"https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974","2018-04-20T00:47:25",FALSE,"nfl",0.888,NA,57,195.18,1202,1398,57,"QRCODE","2018-05-29T20:38:44Z",FALSE,"Mercedes-Benz Superdome",0.8966978,"70112","New Orleans","New Orleans, LA",128,"New Orleans, LA 70112","LA","1500 Sugar Bowl Drive",0,TRUE,"US",20,"Mercedes-Benz Superdome","America/Chicago","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","mercedes-benz-superdome",29.9515,-90.0786,"QRCODE_TM","2018-08-27T20:46:59Z",FALSE
"7","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4347082,"normal","Titans at Dolphins","2018-09-09T13:00:00",FALSE,0.871,FALSE,"2018-04-20T00:00:00","Tennessee Titans at Miami Dolphins","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082","2018-04-20T00:47:47",FALSE,"nfl",0.925,NA,35,139.14,1986,1918,35,"QRCODE","2018-08-24T17:01:07Z",FALSE,"Hard Rock Stadium",0.8378203,"33056","Miami Gardens","Miami Gardens, FL",29,"Miami Gardens, FL 33056","FL","347 Don Shula Dr.",0,TRUE,"US",39,"Hard Rock Stadium","America/New_York","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium",25.96,-80.24,"NONE","2017-10-03T18:58:44Z",FALSE
"8","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4347001,"normal","Steelers at Browns","2018-09-09T13:00:00",FALSE,0.895,FALSE,"2018-04-20T00:00:00","Pittsburgh Steelers at Cleveland Browns","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001","2018-04-20T00:47:32",FALSE,"nfl",0.935,NA,107,303.77,816,19571,107,"QRCODE","2018-08-24T16:53:01Z",FALSE,"FirstEnergy Stadium",0.86852187,"44114","Cleveland","Cleveland, OH",1123,"Cleveland, OH 44114","OH","100 Alfred Lerner Way",0,TRUE,"US",8,"FirstEnergy Stadium","America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15",41.5065,-81.7,"NONE","2015-11-11T20:55:31Z",FALSE
"9","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4347073,"normal","Bills at Ravens","2018-09-09T13:00:00",FALSE,0.857,FALSE,"2018-04-20T00:00:00","Buffalo Bills at Baltimore Ravens","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073","2018-04-20T00:47:45",FALSE,"nfl",0.905,NA,73,240.65,815,1761,73,"QRCODE","2018-08-24T16:58:09Z",FALSE,"M&T Bank Stadium",0.8927189,"21230","Baltimore","Baltimore, MD",1121,"Baltimore, MD 21230","MD","1101 Russell St",0,TRUE,"US",9,"M&T Bank Stadium","America/New_York","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium",39.2774,-76.623,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"10","2018-09-06","2018-09-06_16.00.13","2018-09-09T17:00:00","",4347146,"normal","49ers at Vikings","2018-09-09T12:00:00",FALSE,0.906,FALSE,"2018-04-20T00:00:00","San Francisco 49ers at Minnesota Vikings","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146","2018-04-20T01:04:06",FALSE,"nfl",0.943,NA,111,322.15,799,1864,101,"QRCODE","2018-08-24T17:02:13Z",FALSE,"U.S. Bank Stadium",0.88524246,"55415","Minneapolis","Minneapolis, MN",218451,"Minneapolis, MN 55415","MN","401 Chicago Avenue",0,TRUE,"US",14,"U.S. Bank Stadium","America/Chicago","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium",44.97,-93.26,"NONE","2018-08-22T15:34:15Z",FALSE
"11","2018-09-06","2018-09-06_16.00.13","2018-09-09T20:05:00","",4347113,"normal","Chiefs at Chargers","2018-09-09T13:05:00",FALSE,0.889,FALSE,"2018-04-20T00:00:00","Kansas City Chiefs at Los Angeles Chargers","2018-09-10T00:05:00",FALSE,"https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113","2018-04-20T00:47:53",FALSE,"nfl",0.939,NA,84,199.67,677,3723,84,"QRCODE","2018-08-24T17:01:48Z",FALSE,"StubHub Center",0.7228164,"90746","Carson","Carson, CA",52,"Carson, CA 90746","CA","18400 Avalon Blvd",0,TRUE,"US",14,"StubHub Center","America/Los_Angeles","https://seatgeek.com/venues/stubhub-center/tickets","stubhub-center",33.8643,-118.261,NA,NA,NA
"12","2018-09-06","2018-09-06_16.00.13","2018-09-09T20:25:00","",4347034,"normal","Cowboys at Panthers","2018-09-09T16:25:00",FALSE,0.944,FALSE,"2018-04-20T00:00:00","Dallas Cowboys at Carolina Panthers","2018-09-10T00:25:00",FALSE,"https://seatgeek.com/cowboys-at-panthers-tickets/9-9-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347034","2018-04-20T00:47:38",FALSE,"nfl",0.973,NA,160,496.07,894,11353,160,"QRCODE","2018-08-24T16:53:30Z",FALSE,"Bank of America Stadium",0.8968222,"28202","Charlotte","Charlotte, NC",1122,"Charlotte, NC 28202","NC","800 South Mint Street",0,TRUE,"US",10,"Bank of America Stadium","America/New_York","https://seatgeek.com/venues/bank-of-america-stadium/tickets","bank-of-america-stadium",35.2243,-80.8524,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
