"","date","timestamp","description","id","visible_until_utc","datetime_local","date_tbd","status","announce_date","created_at","datetime_utc","short_title","url","time_tbd","popularity","type","title","score","datetime_tbd","is_open","general_admission","listing_count","median_price","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","id_venue","extended_address","country","state","slug","score_venue","city","timezone","num_upcoming_events","has_upcoming_events","display_location","name","url_venue","address","popularity_venue","metro_code","postal_code","name_v2","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-19","2018-09-19_11.22.19","",4347000,"2018-09-21T04:20:00","2018-09-20T20:20:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:31","2018-09-21T00:20:00","Jets at Browns","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000",FALSE,0.91,"nfl","New York Jets at Cleveland Browns",0.864,FALSE,FALSE,NA,257,77,521,351,47,106.696495,52,"2018-08-24T18:25:16Z",FALSE,"QRCODE",1123,"Cleveland, OH 44114","US","OH","firstenergy-stadium-15",0.86852187,"Cleveland","America/New_York",7,TRUE,"Cleveland, OH","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","100 Alfred Lerner Way",0,510,"44114","FirstEnergy Stadium",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"2","2018-09-19","2018-09-19_11.22.19","",4241762,"2018-09-23T04:00:00","2018-09-22T19:00:00",FALSE,"normal","2018-01-31T00:00:00","2018-01-31T15:00:53","2018-09-23T00:00:00","South Alabama at Memphis","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",FALSE,0.65,"ncaa_football","South Alabama Jaguars at Memphis Tigers Football",0.482,FALSE,FALSE,NA,77,42,27,105,20,47.42857,20,NA,NA,NA,2827,"Memphis, TN 38104","US","TN","liberty-bowl-stadium",0.6733288,"Memphis","America/Chicago",6,TRUE,"Memphis, TN","Liberty Bowl Stadium","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","335 South Hollywood St",0,640,"38104","Liberty Bowl Stadium",35.12,-89.98,NA,NA,NA
"3","2018-09-19","2018-09-19_11.22.19","",4346963,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:23","2018-09-23T17:00:00","Colts at Eagles","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",FALSE,0.948,"nfl","Indianapolis Colts at Philadelphia Eagles",0.92,FALSE,FALSE,NA,203,275,666,815,165,302.06403,165,"2018-08-24T18:26:28Z",FALSE,"QRCODE",330,"Philadelphia, PA 19148","US","PA","lincoln-financial-field",0.90542686,"Philadelphia","America/New_York",17,TRUE,"Philadelphia, PA","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave",0,504,"19148","Lincoln Financial Field",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"4","2018-09-19","2018-09-19_11.22.19","",4347088,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:48","2018-09-23T17:00:00","Raiders at Dolphins","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",FALSE,0.933,"nfl","Oakland Raiders at Miami Dolphins",0.89,FALSE,FALSE,NA,98,153,745,328,68,162.19388,59,"2018-08-24T20:34:12Z",FALSE,"QRCODE",29,"Miami Gardens, FL 33056","US","FL","hard-rock-stadium",0.8378203,"Miami Gardens","America/New_York",38,TRUE,"Miami Gardens, FL","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.",0,528,"33056","Hard Rock Stadium",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"5","2018-09-19","2018-09-19_11.22.19","",4347142,"2018-09-23T21:00:00","2018-09-23T12:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T01:04:05","2018-09-23T17:00:00","Bills at Vikings","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",FALSE,0.934,"nfl","Buffalo Bills at Minnesota Vikings",0.902,FALSE,FALSE,NA,399,194,634,907,89,217.28572,85,"2018-08-23T16:03:24Z",FALSE,"QRCODE",218451,"Minneapolis, MN 55415","US","MN","u-s-bank-stadium",0.88524246,"Minneapolis","America/Chicago",14,TRUE,"Minneapolis, MN","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","401 Chicago Avenue",0,0,"55415","U.S. Bank Stadium",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"6","2018-09-19","2018-09-19_11.22.19","",4346943,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:18","2018-09-23T17:00:00","Packers at Redskins","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",FALSE,0.981,"nfl","Green Bay Packers at Washington Redskins",0.973,FALSE,FALSE,NA,140,191,840,615,121,216.55714,121,"2018-08-24T18:25:58Z",FALSE,"QRCODE",35,"Landover, MD 20785","US","MD","fedex-field",0.9333444,"Landover","America/New_York",7,TRUE,"Landover, MD","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","1600 Fedex Way",0,511,"20785","FedEx Field",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"7","2018-09-19","2018-09-19_11.22.19","",4346985,"2018-09-23T21:00:00","2018-09-23T12:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:28","2018-09-23T17:00:00","49ers at Chiefs","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",FALSE,0.924,"nfl","San Francisco 49ers at Kansas City Chiefs",0.888,FALSE,FALSE,NA,791,169,879,636,97,187.58534,74,"2018-08-24T18:27:03Z",FALSE,"QRCODE",1128,"Kansas City, MO 64129","US","MO","arrowhead-stadium",0.8827867,"Kansas City","America/Chicago",9,TRUE,"Kansas City, MO","Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","1 Arrowhead Drive",0,616,"64129","Arrowhead Stadium",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"8","2018-09-19","2018-09-19_11.22.19","",4347072,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:45","2018-09-23T17:00:00","Broncos at Ravens","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",FALSE,0.921,"nfl","Denver Broncos at Baltimore Ravens",0.882,FALSE,FALSE,NA,343,88,628,430,51,105.6035,51,"2018-08-24T18:29:20Z",FALSE,"QRCODE",1121,"Baltimore, MD 21230","US","MD","m-t-bank-stadium",0.8927189,"Baltimore","America/New_York",8,TRUE,"Baltimore, MD","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St",0,512,"21230","M&T Bank Stadium",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"9","2018-09-19","2018-09-19_11.22.19","",4347021,"2018-09-23T21:00:00","2018-09-23T12:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:36","2018-09-23T17:00:00","Giants at Texans","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",FALSE,0.947,"nfl","New York Giants at Houston Texans",0.919,FALSE,FALSE,NA,280,197,532,1034,94,218.43929,87,"2018-08-24T18:27:18Z",FALSE,"QRCODE",41,"Houston, TX 77054","US","TX","nrg-stadium",0.8624192,"Houston","America/Chicago",44,TRUE,"Houston, TX","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","1 Reliant Park",0,618,"77054","NRG Stadium",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"10","2018-09-19","2018-09-19_11.22.19","",4347045,"2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,"normal","2018-04-20T00:00:00","2018-04-20T00:47:41","2018-09-23T17:00:00","Bengals at Panthers","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",FALSE,0.924,"nfl","Cincinnati Bengals at Carolina Panthers",0.888,FALSE,FALSE,NA,282,105,662,571,68,144.08865,68,"2018-08-24T18:28:54Z",FALSE,"QRCODE",1122,"Charlotte, NC 28202","US","NC","bank-of-america-stadium",0.8968222,"Charlotte","America/New_York",9,TRUE,"Charlotte, NC","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","800 South Mint Street",0,517,"28202","Bank of America Stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
