"","date","timestamp","id","datetime_utc","type","score","status","description","popularity","datetime_tbd","date_tbd","visible_until_utc","announce_date","short_title","time_tbd","title","is_open","datetime_local","url","created_at","general_admission","listing_count","highest_price","visible_listing_count","lowest_price","average_price","median_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","id_venue","num_upcoming_events","postal_code","score_venue","state","slug","extended_address","timezone","name","popularity_venue","address","country","city","has_upcoming_events","metro_code","name_v2","url_venue","display_location","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"24","2018-09-24","2018-09-24_11.03.25",4347027,"2018-10-07T17:00:00","nfl",0.949,"normal","",0.967,FALSE,FALSE,"2018-10-07T21:00:00","2018-04-20T00:00:00","Packers at Lions",FALSE,"Green Bay Packers at Detroit Lions",FALSE,"2018-10-07T13:00:00","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027","2018-04-20T00:47:37",NA,390,2386,671,124,230.01025,193,107,"QRCODE",FALSE,"2018-08-24T21:05:06Z",346,11,"48226",0.9029952,"MI","ford-field","Detroit, MI 48226","America/Detroit","Ford Field",0,"2000 Brush St.","US","Detroit",TRUE,505,"Ford Field","https://seatgeek.com/venues/ford-field/tickets","Detroit, MI",42.34,-83.0459,"NONE",FALSE,"2015-11-04T17:31:52Z"
"25","2018-09-24","2018-09-24_11.03.25",4347011,"2018-10-07T17:00:00","nfl",0.954,"normal","",0.972,FALSE,FALSE,"2018-10-07T21:00:00","2018-04-20T00:00:00","Broncos at Jets",FALSE,"Denver Broncos at New York Jets",FALSE,"2018-10-07T13:00:00","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011","2018-04-20T00:47:34",NA,566,880,985,60,189.75618,154,60,"QRCODE",FALSE,"2018-09-05T19:53:41Z",1587,16,"07073",0.94873494,"NJ","metlife-stadium","East Rutherford, NJ 07073","America/New_York","MetLife Stadium",0,"1 MetLife Stadium Drive","US","East Rutherford",TRUE,501,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"26","2018-09-24","2018-09-24_11.03.25",4347043,"2018-10-07T17:00:00","nfl",0.871,"normal","",0.906,FALSE,FALSE,"2018-10-07T21:00:00","2018-04-20T00:00:00","Dolphins at Bengals",FALSE,"Miami Dolphins at Cincinnati Bengals",FALSE,"2018-10-07T13:00:00","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043","2018-04-20T00:47:40",NA,258,429,654,52,111.023254,106,52,"QRCODE",FALSE,"2018-08-24T21:16:15Z",1124,7,"45202",0.86166537,"OH","paul-brown-stadium","Cincinnati, OH 45202","America/New_York","Paul Brown Stadium",0,"1 Paul Brown Stadium","US","Cincinnati",TRUE,515,"Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH",39.0961,-84.5177,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"27","2018-09-24","2018-09-24_11.03.25",4346999,"2018-10-07T17:00:00","nfl",0.874,"normal","",0.908,FALSE,FALSE,"2018-10-07T21:00:00","2018-04-20T00:00:00","Ravens at Browns",FALSE,"Baltimore Ravens at Cleveland Browns",FALSE,"2018-10-07T13:00:00","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999","2018-04-20T00:47:31",NA,466,875,743,71,151.3176,116,69,"QRCODE",FALSE,"2018-08-24T21:04:01Z",1123,6,"44114",0.86852187,"OH","firstenergy-stadium-15","Cleveland, OH 44114","America/New_York","FirstEnergy Stadium",0,"100 Alfred Lerner Way","US","Cleveland",TRUE,510,"FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"28","2018-09-24","2018-09-24_11.03.25",4347063,"2018-10-07T17:00:00","nfl",0.878,"normal","",0.908,FALSE,FALSE,"2018-10-07T21:00:00","2018-04-20T00:00:00","Titans at Bills",FALSE,"Tennessee Titans at Buffalo Bills",FALSE,"2018-10-07T13:00:00","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063","2018-04-20T00:47:44",NA,387,440,780,68,131,111,65,"QRCODE",FALSE,"2018-08-24T21:16:26Z",1135,7,"14127",0.8815085,"NY","new-era-field","Orchard Park, NY 14127","America/New_York","New Era Field",0,"1 Bills Drive","US","Orchard Park",TRUE,514,"New Era Field","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park, NY",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"29","2018-09-24","2018-09-24_11.03.25",4346983,"2018-10-07T17:00:00","nfl",0.889,"normal","",0.918,FALSE,FALSE,"2018-10-07T21:00:00","2018-04-20T00:00:00","Jaguars at Chiefs",FALSE,"Jacksonville Jaguars at Kansas City Chiefs",FALSE,"2018-10-07T12:00:00","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983","2018-04-20T00:47:28",NA,654,409,889,74,182.64067,175,74,"QRCODE",FALSE,"2018-08-24T21:03:49Z",1128,8,"64129",0.8827867,"MO","arrowhead-stadium","Kansas City, MO 64129","America/Chicago","Arrowhead Stadium",0,"1 Arrowhead Drive","US","Kansas City",TRUE,616,"Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"30","2018-09-24","2018-09-24_11.03.25",4347111,"2018-10-07T20:05:00","nfl",0.951,"normal","",0.969,FALSE,FALSE,"2018-10-08T00:05:00","2018-04-20T00:00:00","Raiders at Chargers",FALSE,"Oakland Raiders at Los Angeles Chargers",FALSE,"2018-10-07T13:05:00","https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111","2018-04-20T00:47:52",NA,406,720,528,228,326.89163,294,221,"QRCODE",FALSE,"2018-08-24T21:17:06Z",52,14,"90746",0.7228164,"CA","stubhub-center","Carson, CA 90746","America/Los_Angeles","StubHub Center",0,"18400 Avalon Blvd","US","Carson",TRUE,803,"StubHub Center","https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA",33.8643,-118.261,NA,NA,NA
"31","2018-09-24","2018-09-24_11.03.25",4347115,"2018-10-07T20:25:00","nfl",0.903,"normal","",0.929,FALSE,FALSE,"2018-10-08T00:25:00","2018-04-20T00:00:00","Cardinals at 49ers",FALSE,"Arizona Cardinals at San Francisco 49ers",FALSE,"2018-10-07T13:25:00","https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115","2018-04-20T00:47:53",NA,734,1791,935,50,166.45367,147,50,"QRCODE",FALSE,"2018-09-05T19:47:23Z",58670,13,"95054",0.95768774,"CA","levi-s-stadium","Santa Clara, CA 95054","America/Los_Angeles","Levi's Stadium",0,"4900 Marie P DeBartolo Way","US","Santa Clara",TRUE,0,"Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","Santa Clara, CA",37.4023,-121.969,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"32","2018-09-24","2018-09-24_11.03.25",4347128,"2018-10-07T20:25:00","nfl",0.923,"normal","",0.945,FALSE,FALSE,"2018-10-08T00:25:00","2018-04-20T00:00:00","Rams at Seahawks",FALSE,"Los Angeles Rams at Seattle Seahawks",FALSE,"2018-10-07T13:25:00","https://seatgeek.com/rams-at-seahawks-tickets/10-7-2018-seattle-washington-centurylink-field/nfl/4347128","2018-04-20T00:47:56",NA,150,842,479,165,357.80667,349,163,"QRCODE",FALSE,"2018-08-24T21:19:14Z",339,12,"98134",0.87232786,"WA","centurylink-field","Seattle, WA 98134","America/Los_Angeles","CenturyLink Field",0,"800 Occidental Ave S","US","Seattle",TRUE,819,"CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets","Seattle, WA",47.6,-122.33,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"33","2018-09-24","2018-09-24_11.03.25",4346976,"2018-10-07T20:25:00","nfl",0.949,"normal","",0.966,FALSE,FALSE,"2018-10-08T00:25:00","2018-04-20T00:00:00","Vikings at Eagles",FALSE,"Minnesota Vikings at Philadelphia Eagles",FALSE,"2018-10-07T16:25:00","https://seatgeek.com/vikings-at-eagles-tickets/10-7-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346976","2018-04-20T00:47:26",NA,250,1024,865,230,429.912,375,170,"QRCODE",FALSE,"2018-08-24T21:03:38Z",330,15,"19148",0.90542686,"PA","lincoln-financial-field","Philadelphia, PA 19148","America/New_York","Lincoln Financial Field",0,"1020 Pattison Ave","US","Philadelphia",TRUE,504,"Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA",39.9046,-75.1675,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
