"","date","timestamp","time_tbd","title","announce_date","popularity","type","description","url","datetime_local","score","date_tbd","datetime_utc","status","created_at","short_title","datetime_tbd","id","visible_until_utc","is_open","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","country","extended_address","address","popularity_venue","url_venue","display_location","timezone","has_upcoming_events","postal_code","score_venue","name","id_venue","num_upcoming_events","city","state","slug","name_v2","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"1","2018-09-08","2018-09-08_18.39.13",FALSE,"South Alabama Jaguars at Oklahoma State Cowboys Football","2017-11-02T00:00:00",0.848,"ncaa_football","","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673","2018-09-08T19:00:00",0.763,FALSE,"2018-09-09T00:00:00","normal","2017-11-02T15:00:32","South Alabama at Oklahoma State",FALSE,4109673,"2018-09-09T04:00:00",FALSE,NA,26,NA,26,39.06,95,66,NA,NA,NA,NA,"US","Stillwater, OK 74078","422 Aquires",0,"https://seatgeek.com/venues/boone-pickens-stadium/tickets","Stillwater, OK","America/Chicago",TRUE,"74078",0.81559026,"Boone Pickens Stadium",2785,6,"Stillwater","OK","boone-pickens-stadium","Boone Pickens Stadium",-97.0665,36.1257,NA,NA,NA
"2","2018-09-08","2018-09-08_18.39.13",FALSE,"Cincinnati Bengals at Indianapolis Colts","2018-04-20T00:00:00",0.928,"nfl","","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964","2018-09-09T13:00:00",0.879,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:23","Bengals at Colts",FALSE,4346964,"2018-09-09T21:00:00",FALSE,NA,37,NA,37,103.8,199,412,NA,FALSE,"QRCODE","2018-08-24T16:52:49Z","US","Indianapolis, IN 46225","500 South Capitol Avenue",0,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN","America/Indiana/Indianapolis",TRUE,"46225",0.9071682,"Lucas Oil Stadium",1130,14,"Indianapolis","IN","lucas-oil-stadium","Lucas Oil Stadium",-86.1639,39.7601,FALSE,"QRCODE_TM","2015-08-22T16:51:43Z"
"3","2018-09-08","2018-09-08_18.39.13",FALSE,"Houston Texans at New England Patriots","2018-04-20T00:00:00",0.987,"nfl","","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091","2018-09-09T13:00:00",0.961,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:49","Texans at Patriots",FALSE,4347091,"2018-09-09T21:00:00",FALSE,NA,170,NA,170,415.65,92,2019,NA,FALSE,"QRCODE","2018-08-22T15:38:11Z","US","Foxborough, MA 02035","1 Patriot Place",0,"https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA","America/New_York",TRUE,"02035",0.8983344,"Gillette Stadium",33,14,"Foxborough","MA","gillette-stadium","Gillette Stadium",-71.2674,42.0906,FALSE,"NONE","2018-08-22T15:36:58Z"
"4","2018-09-08","2018-09-08_18.39.13",FALSE,"Jacksonville Jaguars at New York Giants","2018-04-20T00:00:00",0.98,"nfl","","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952","2018-09-09T13:00:00",0.937,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:20","Jaguars at Giants",FALSE,4346952,"2018-09-09T21:00:00",FALSE,NA,115,NA,115,250.92,102,562,NA,FALSE,"QRCODE","2018-08-24T16:52:25Z","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive",0,"https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ","America/New_York",TRUE,"07073",0.94873494,"MetLife Stadium",1587,20,"East Rutherford","NJ","metlife-stadium","MetLife Stadium",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"5","2018-09-08","2018-09-08_18.39.13",FALSE,"Pittsburgh Steelers at Cleveland Browns","2018-04-20T00:00:00",0.964,"nfl","","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001","2018-09-09T13:00:00",0.925,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:32","Steelers at Browns",FALSE,4347001,"2018-09-09T21:00:00",FALSE,NA,65,NA,65,140.46,253,453,NA,FALSE,"QRCODE","2018-08-24T16:53:01Z","US","Cleveland, OH 44114","100 Alfred Lerner Way",0,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH","America/New_York",TRUE,"44114",0.86852187,"FirstEnergy Stadium",1123,8,"Cleveland","OH","firstenergy-stadium-15","FirstEnergy Stadium",-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
"6","2018-09-08","2018-09-08_18.39.13",FALSE,"Tennessee Titans at Miami Dolphins","2018-04-20T00:00:00",0.951,"nfl","","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082","2018-09-09T13:00:00",0.89,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:47","Titans at Dolphins",FALSE,4347082,"2018-09-09T21:00:00",FALSE,NA,24,NA,24,122.25,132,2161,NA,FALSE,"QRCODE","2018-08-24T17:01:07Z","US","Miami Gardens, FL 33056","347 Don Shula Dr.",0,"https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL","America/New_York",TRUE,"33056",0.8378203,"Hard Rock Stadium",29,38,"Miami Gardens","FL","hard-rock-stadium","Hard Rock Stadium",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"7","2018-09-08","2018-09-08_18.39.13",FALSE,"Tampa Bay Buccaneers at New Orleans Saints","2018-04-20T00:00:00",0.918,"nfl","","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974","2018-09-09T12:00:00",0.882,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:25","Buccaneers at Saints",FALSE,4346974,"2018-09-09T21:00:00",TRUE,NA,58,NA,58,179.48,896,900,NA,FALSE,"QRCODE","2018-05-29T20:38:44Z","US","New Orleans, LA 70112","1500 Sugar Bowl Drive",0,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA","America/Chicago",TRUE,"70112",0.8966978,"Mercedes-Benz Superdome",128,20,"New Orleans","LA","mercedes-benz-superdome","Mercedes-Benz Superdome",-90.0786,29.9515,FALSE,"QRCODE_TM","2018-08-27T20:46:59Z"
"8","2018-09-08","2018-09-08_18.39.13",FALSE,"Buffalo Bills at Baltimore Ravens","2018-04-20T00:00:00",0.929,"nfl","","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073","2018-09-09T13:00:00",0.875,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T00:47:45","Bills at Ravens",FALSE,4347073,"2018-09-09T21:00:00",FALSE,NA,39,NA,39,87.49,259,574,NA,FALSE,"QRCODE","2018-08-24T16:58:09Z","US","Baltimore, MD 21230","1101 Russell St",0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD","America/New_York",TRUE,"21230",0.8927189,"M&T Bank Stadium",1121,9,"Baltimore","MD","m-t-bank-stadium","M&T Bank Stadium",-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"9","2018-09-08","2018-09-08_18.39.13",FALSE,"San Francisco 49ers at Minnesota Vikings","2018-04-20T00:00:00",0.968,"nfl","","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146","2018-09-09T12:00:00",0.933,FALSE,"2018-09-09T17:00:00","normal","2018-04-20T01:04:06","49ers at Vikings",FALSE,4347146,"2018-09-09T21:00:00",FALSE,NA,100,NA,100,228.68,241,802,NA,FALSE,"QRCODE","2018-08-24T17:02:13Z","US","Minneapolis, MN 55415","401 Chicago Avenue",0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","Minneapolis, MN","America/Chicago",TRUE,"55415",0.88524246,"U.S. Bank Stadium",218451,14,"Minneapolis","MN","u-s-bank-stadium","U.S. Bank Stadium",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"10","2018-09-08","2018-09-08_18.39.13",FALSE,"Kansas City Chiefs at Los Angeles Chargers","2018-04-20T00:00:00",0.974,"nfl","","https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113","2018-09-09T13:05:00",0.926,FALSE,"2018-09-09T20:05:00","normal","2018-04-20T00:47:53","Chiefs at Chargers",FALSE,4347113,"2018-09-10T00:05:00",FALSE,NA,96,NA,96,165.35,83,312,NA,FALSE,"QRCODE","2018-08-24T17:01:48Z","US","Carson, CA 90746","18400 Avalon Blvd",0,"https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA","America/Los_Angeles",TRUE,"90746",0.7228164,"StubHub Center",52,14,"Carson","CA","stubhub-center","StubHub Center",-118.261,33.8643,NA,NA,NA
