"","date","timestamp","datetime_utc","url","is_open","status","popularity","datetime_local","id","description","type","date_tbd","score","visible_until_utc","short_title","created_at","time_tbd","datetime_tbd","announce_date","title","general_admission","listing_count","median_price","lowest_price_good_deals","average_price","lowest_price","highest_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","extended_address","address","num_upcoming_events","metro_code","city","country","timezone","popularity_venue","name_v2","state","has_upcoming_events","id_venue","score_venue","name","postal_code","url_venue","display_location","slug","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-10-02","2018-10-02_11.13.29","2018-10-05T00:20:00","https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096",FALSE,"normal",0.976,"2018-10-04T20:20:00",4347096,"","nfl",FALSE,0.943,"2018-10-05T04:20:00","Colts at Patriots","2018-04-20T00:47:50",FALSE,FALSE,"2018-04-20T00:00:00","Indianapolis Colts at New England Patriots",NA,94,247,127,280.84042,128,1127,320,"2018-08-24T21:03:24Z",FALSE,"QRCODE","Foxborough, MA 02035","1 Patriot Place",14,506,"Foxborough","US","America/New_York",0,"Gillette Stadium","MA",TRUE,33,0.8983344,"Gillette Stadium","02035","https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA","gillette-stadium",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"2","2018-10-02","2018-10-02_11.13.29","2018-10-06T19:30:00","https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989",FALSE,"normal",0.727,"2018-10-06T15:30:00",4281989,"","ncaa_football",FALSE,0.633,"2018-10-06T23:30:00","South Alabama at Georgia Southern","2018-02-28T15:00:17",FALSE,FALSE,"2018-02-28T00:00:00","South Alabama Jaguars at Georgia Southern Eagles Football",NA,23,41,NA,44.391304,29,69,5,NA,NA,NA,"Statesboro, GA 30460","225 Lanier Drive",3,507,"Statesboro","US","America/New_York",0,"Allen E. Paulson Stadium","GA",TRUE,2352,0.41380084,"Allen E. Paulson Stadium","30460","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","Statesboro, GA","allen-e-paulson-stadium",32.4488,-81.7832,NA,NA,NA
"3","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079",FALSE,"normal",0.954,"2018-10-07T13:00:00",4347079,"","nfl",FALSE,0.931,"2018-10-07T21:00:00","Falcons at Steelers","2018-04-20T00:47:47",FALSE,FALSE,"2018-04-20T00:00:00","Atlanta Falcons at Pittsburgh Steelers",NA,150,295,117,333.97333,125,864,574,"2018-08-24T21:16:40Z",FALSE,"QRCODE","Pittsburgh, PA 15212","100 Art Rooney Avenue",9,508,"Pittsburgh","US","America/New_York",0,"Heinz Field","PA",TRUE,1119,0.9033526,"Heinz Field","15212","https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh, PA","heinz-field",40.4468,-80.0158,"2015-12-08T15:36:23Z",FALSE,"QRCODE_TM"
"4","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032",FALSE,"normal",0.962,"2018-10-07T13:00:00",4347032,"","nfl",FALSE,0.936,"2018-10-07T21:00:00","Giants at Panthers","2018-04-20T00:47:38",FALSE,FALSE,"2018-04-20T00:00:00","New York Giants at Carolina Panthers",NA,210,281,138,333.5762,156,961,320,"2018-08-24T21:15:58Z",FALSE,"QRCODE","Charlotte, NC 28202","800 South Mint Street",9,517,"Charlotte","US","America/New_York",0,"Bank of America Stadium","NC",TRUE,1122,0.8968222,"Bank of America Stadium","28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC","bank-of-america-stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"5","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027",FALSE,"normal",0.976,"2018-10-07T13:00:00",4347027,"","nfl",FALSE,0.952,"2018-10-07T21:00:00","Packers at Lions","2018-04-20T00:47:37",FALSE,FALSE,"2018-04-20T00:00:00","Green Bay Packers at Detroit Lions",NA,293,198,113,222.90103,131,2381,769,"2018-08-24T21:05:06Z",FALSE,"QRCODE","Detroit, MI 48226","2000 Brush St.",11,505,"Detroit","US","America/Detroit",0,"Ford Field","MI",TRUE,346,0.9029952,"Ford Field","48226","https://seatgeek.com/venues/ford-field/tickets","Detroit, MI","ford-field",42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"6","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011",FALSE,"normal",0.983,"2018-10-07T13:00:00",4347011,"","nfl",FALSE,0.96,"2018-10-07T21:00:00","Broncos at Jets","2018-04-20T00:47:34",FALSE,FALSE,"2018-04-20T00:00:00","Denver Broncos at New York Jets",NA,694,128,45,146.59798,45,619,1697,"2018-09-05T19:53:41Z",FALSE,"QRCODE","East Rutherford, NJ 07073","1 MetLife Stadium Drive",15,501,"East Rutherford","US","America/New_York",0,"MetLife Stadium","NJ",TRUE,1587,0.94873494,"MetLife Stadium","07073","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ","metlife-stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"7","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043",FALSE,"normal",0.919,"2018-10-07T13:00:00",4347043,"","nfl",FALSE,0.879,"2018-10-07T21:00:00","Dolphins at Bengals","2018-04-20T00:47:40",FALSE,FALSE,"2018-04-20T00:00:00","Miami Dolphins at Cincinnati Bengals",NA,163,105,54,117.76687,72,357,605,"2018-08-24T21:16:15Z",FALSE,"QRCODE","Cincinnati, OH 45202","1 Paul Brown Stadium",7,515,"Cincinnati","US","America/New_York",0,"Paul Brown Stadium","OH",TRUE,1124,0.86166537,"Paul Brown Stadium","45202","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH","paul-brown-stadium",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"8","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983",FALSE,"normal",0.928,"2018-10-07T12:00:00",4346983,"","nfl",FALSE,0.894,"2018-10-07T21:00:00","Jaguars at Chiefs","2018-04-20T00:47:28",FALSE,FALSE,"2018-04-20T00:00:00","Jacksonville Jaguars at Kansas City Chiefs",NA,555,181,85,187.75316,96,411,764,"2018-08-24T21:03:49Z",FALSE,"QRCODE","Kansas City, MO 64129","1 Arrowhead Drive",8,616,"Kansas City","US","America/Chicago",0,"Arrowhead Stadium","MO",TRUE,1128,0.8827867,"Arrowhead Stadium","64129","https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO","arrowhead-stadium",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"9","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999",FALSE,"normal",0.929,"2018-10-07T13:00:00",4346999,"","nfl",FALSE,0.894,"2018-10-07T21:00:00","Ravens at Browns","2018-04-20T00:47:31",FALSE,FALSE,"2018-04-20T00:00:00","Baltimore Ravens at Cleveland Browns",NA,438,113,55,144.18036,58,722,894,"2018-08-24T21:04:01Z",FALSE,"QRCODE","Cleveland, OH 44114","100 Alfred Lerner Way",6,510,"Cleveland","US","America/New_York",0,"FirstEnergy Stadium","OH",TRUE,1123,0.86852187,"FirstEnergy Stadium","44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH","firstenergy-stadium-15",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"10","2018-10-02","2018-10-02_11.13.29","2018-10-07T17:00:00","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063",FALSE,"normal",0.914,"2018-10-07T13:00:00",4347063,"","nfl",FALSE,0.884,"2018-10-07T21:00:00","Titans at Bills","2018-04-20T00:47:44",FALSE,FALSE,"2018-04-20T00:00:00","Tennessee Titans at Buffalo Bills",NA,366,120,57,132.653,57,429,685,"2018-08-24T21:16:26Z",FALSE,"QRCODE","Orchard Park, NY 14127","1 Bills Drive",7,514,"Orchard Park","US","America/New_York",0,"New Era Field","NY",TRUE,1135,0.8815085,"New Era Field","14127","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park, NY","new-era-field",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
