"","date","timestamp","is_open","description","created_at","datetime_local","visible_until_utc","popularity","datetime_utc","title","type","announce_date","url","date_tbd","datetime_tbd","id","time_tbd","short_title","status","score","general_admission","average_price","lowest_price","highest_price","listing_count","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","timezone","name_v2","name","address","popularity_venue","extended_address","display_location","city","has_upcoming_events","country","postal_code","url_venue","num_upcoming_events","id_venue","slug","metro_code","state","score_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:34","2018-09-17T19:15:00","2018-09-18T04:15:00",0.787,"2018-09-18T00:15:00","Seattle Seahawks at Chicago Bears","nfl","2018-04-20T00:00:00","https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010",FALSE,FALSE,4347010,FALSE,"Seahawks at Bears","normal",0.922,NA,379.83334,185,744,18,185,328,124,"2018-08-24T18:25:05Z","QRCODE",FALSE,"America/Chicago","Soldier Field","Soldier Field","1410 S. Museum Campus Drive",0,"Chicago, IL 60605","Chicago, IL","Chicago",TRUE,"US","60605","https://seatgeek.com/venues/soldier-field/tickets",11,31,"soldier-field",602,"IL",0.940013,-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"2","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:31","2018-09-20T20:20:00","2018-09-21T04:20:00",0.932,"2018-09-21T00:20:00","New York Jets at Cleveland Browns","nfl","2018-04-20T00:00:00","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000",FALSE,FALSE,4347000,FALSE,"Jets at Browns","normal",0.847,NA,94.049644,49,292,423,50,80,725,"2018-08-24T18:25:16Z","QRCODE",FALSE,"America/New_York","FirstEnergy Stadium","FirstEnergy Stadium","100 Alfred Lerner Way",0,"Cleveland, OH 44114","Cleveland, OH","Cleveland",TRUE,"US","44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",7,1123,"firstenergy-stadium-15",510,"OH",0.86852187,-81.7,41.5065,"2015-11-11T20:55:31Z","NONE",FALSE
"3","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-01-31T15:00:53","2018-09-22T19:00:00","2018-09-23T04:00:00",0.642,"2018-09-23T00:00:00","South Alabama Jaguars at Memphis Tigers Football","ncaa_football","2018-01-31T00:00:00","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",FALSE,FALSE,4241762,FALSE,"South Alabama at Memphis","normal",0.482,NA,55.04717,23,245,106,23,42,32,NA,NA,NA,"America/Chicago","Liberty Bowl Stadium","Liberty Bowl Stadium","335 South Hollywood St",0,"Memphis, TN 38104","Memphis, TN","Memphis",TRUE,"US","38104","https://seatgeek.com/venues/liberty-bowl-stadium/tickets",6,2827,"liberty-bowl-stadium",640,"TN",0.6733288,-89.98,35.12,NA,NA,NA
"4","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:48","2018-09-23T13:00:00","2018-09-23T21:00:00",0.947,"2018-09-23T17:00:00","Oakland Raiders at Miami Dolphins","nfl","2018-04-20T00:00:00","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",FALSE,FALSE,4347088,FALSE,"Raiders at Dolphins","normal",0.876,NA,158.96094,63,307,128,57,157,799,"2018-08-24T20:34:12Z","QRCODE",FALSE,"America/New_York","Hard Rock Stadium","Hard Rock Stadium","347 Don Shula Dr.",0,"Miami Gardens, FL 33056","Miami Gardens, FL","Miami Gardens",TRUE,"US","33056","https://seatgeek.com/venues/hard-rock-stadium/tickets",38,29,"hard-rock-stadium",528,"FL",0.8378203,-80.24,25.96,"2017-10-03T18:58:44Z","NONE",FALSE
"5","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T01:04:05","2018-09-23T12:00:00","2018-09-23T21:00:00",0.954,"2018-09-23T17:00:00","Buffalo Bills at Minnesota Vikings","nfl","2018-04-20T00:00:00","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",FALSE,FALSE,4347142,FALSE,"Bills at Vikings","normal",0.891,NA,244.77962,95,938,422,95,218,645,"2018-08-23T16:03:24Z","QRCODE",FALSE,"America/Chicago","U.S. Bank Stadium","U.S. Bank Stadium","401 Chicago Avenue",0,"Minneapolis, MN 55415","Minneapolis, MN","Minneapolis",TRUE,"US","55415","https://seatgeek.com/venues/u-s-bank-stadium/tickets",13,218451,"u-s-bank-stadium",0,"MN",0.88524246,-93.26,44.97,"2018-08-22T15:34:15Z","NONE",FALSE
"6","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:23","2018-09-23T13:00:00","2018-09-23T21:00:00",0.976,"2018-09-23T17:00:00","Indianapolis Colts at Philadelphia Eagles","nfl","2018-04-20T00:00:00","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",FALSE,FALSE,4346963,FALSE,"Colts at Eagles","normal",0.919,NA,347.55966,185,1169,243,171,313,666,"2018-08-24T18:26:28Z","QRCODE",FALSE,"America/New_York","Lincoln Financial Field","Lincoln Financial Field","1020 Pattison Ave",0,"Philadelphia, PA 19148","Philadelphia, PA","Philadelphia",TRUE,"US","19148","https://seatgeek.com/venues/lincoln-financial-field/tickets",16,330,"lincoln-financial-field",504,"PA",0.90542686,-75.1675,39.9046,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"7","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:18","2018-09-23T13:00:00","2018-09-23T21:00:00",1.02,"2018-09-23T17:00:00","Green Bay Packers at Washington Redskins","nfl","2018-04-20T00:00:00","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",FALSE,FALSE,4346943,FALSE,"Packers at Redskins","normal",0.971,NA,257.88147,121,678,135,119,252,927,"2018-08-24T18:25:58Z","QRCODE",FALSE,"America/New_York","FedEx Field","FedEx Field","1600 Fedex Way",0,"Landover, MD 20785","Landover, MD","Landover",TRUE,"US","20785","https://seatgeek.com/venues/fedex-field/tickets",7,35,"fedex-field",511,"MD",0.9333444,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"8","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:41","2018-09-23T13:00:00","2018-09-23T21:00:00",0.944,"2018-09-23T17:00:00","Cincinnati Bengals at Carolina Panthers","nfl","2018-04-20T00:00:00","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",FALSE,FALSE,4347045,FALSE,"Bengals at Panthers","normal",0.877,NA,156.99695,66,684,328,66,111,653,"2018-08-24T18:28:54Z","QRCODE",FALSE,"America/New_York","Bank of America Stadium","Bank of America Stadium","800 South Mint Street",0,"Charlotte, NC 28202","Charlotte, NC","Charlotte",TRUE,"US","28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets",9,1122,"bank-of-america-stadium",517,"NC",0.8968222,-80.8524,35.2243,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"9","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:28","2018-09-23T12:00:00","2018-09-23T21:00:00",0.955,"2018-09-23T17:00:00","San Francisco 49ers at Kansas City Chiefs","nfl","2018-04-20T00:00:00","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",FALSE,FALSE,4346985,FALSE,"49ers at Chiefs","normal",0.893,NA,192.76491,77,658,889,79,183,953,"2018-08-24T18:27:03Z","QRCODE",FALSE,"America/Chicago","Arrowhead Stadium","Arrowhead Stadium","1 Arrowhead Drive",0,"Kansas City, MO 64129","Kansas City, MO","Kansas City",TRUE,"US","64129","https://seatgeek.com/venues/arrowhead-stadium/tickets",9,1128,"arrowhead-stadium",616,"MO",0.8827867,-94.4839,39.0489,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"10","2018-09-17","2018-09-17_16.00.12",FALSE,"","2018-04-20T00:47:42","2018-09-23T13:00:00","2018-09-23T21:00:00",0.975,"2018-09-23T17:00:00","New Orleans Saints at Atlanta Falcons","nfl","2018-04-20T00:00:00","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",FALSE,FALSE,4347053,FALSE,"Saints at Falcons","normal",0.92,NA,288.2214,152,1233,551,152,255,838,"2018-08-24T18:29:05Z","QRCODE",FALSE,"America/New_York","Mercedes-Benz Stadium","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW",0,"Atlanta, GA 30313","Atlanta, GA","Atlanta",TRUE,"US","30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",19,419590,"mercedes-benz-stadium",0,"GA",0.76958936,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
