"","date","timestamp","description","datetime_utc","score","announce_date","title","date_tbd","created_at","id","type","popularity","url","datetime_tbd","is_open","time_tbd","short_title","datetime_local","status","visible_until_utc","general_admission","lowest_price","highest_price","listing_count","lowest_price_good_deals","average_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","id_venue","address","url_venue","score_venue","slug","postal_code","has_upcoming_events","num_upcoming_events","popularity_venue","name","timezone","display_location","extended_address","city","name_v2","state","country","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-04","2018-09-04_16.00.15","","2018-09-07T00:20:00",0.957,"2018-04-20T00:00:00","Atlanta Falcons at Philadelphia Eagles",FALSE,"2018-04-20T00:47:42",4347055,"nfl",0.994,"https://seatgeek.com/falcons-at-eagles-tickets/9-6-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347055",FALSE,FALSE,FALSE,"Falcons at Eagles","2018-09-06T20:20:00","normal","2018-09-07T04:20:00",NA,237,1794,938,237,467.23,"QRCODE",FALSE,"2018-08-24T16:51:23Z",330,"1020 Pattison Ave","https://seatgeek.com/venues/lincoln-financial-field/tickets",0.90542686,"lincoln-financial-field","19148",TRUE,18,0,"Lincoln Financial Field","America/New_York","Philadelphia, PA","Philadelphia, PA 19148","Philadelphia","Lincoln Financial Field","PA","US",-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"2","2018-09-04","2018-09-04_16.00.15","","2018-09-09T00:00:00",0.749,"2017-11-02T00:00:00","South Alabama Jaguars at Oklahoma State Cowboys Football",FALSE,"2017-11-02T15:00:32",4109673,"ncaa_football",0.851,"https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673",FALSE,FALSE,FALSE,"South Alabama at Oklahoma State","2018-09-08T19:00:00","normal","2018-09-09T04:00:00",NA,27,549,1180,27,73.88,NA,NA,NA,2785,"422 Aquires","https://seatgeek.com/venues/boone-pickens-stadium/tickets",0.81559026,"boone-pickens-stadium","74078",TRUE,6,0,"Boone Pickens Stadium","America/Chicago","Stillwater, OK","Stillwater, OK 74078","Stillwater","Boone Pickens Stadium","OK","US",-97.0665,36.1257,NA,NA,NA
"3","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.947,"2018-04-20T00:00:00","Houston Texans at New England Patriots",FALSE,"2018-04-20T00:47:49",4347091,"nfl",0.978,"https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091",FALSE,FALSE,FALSE,"Texans at Patriots","2018-09-09T13:00:00","normal","2018-09-09T21:00:00",NA,206,1868,1040,206,502.89,"QRCODE",FALSE,"2018-08-22T15:38:11Z",33,"1 Patriot Place","https://seatgeek.com/venues/gillette-stadium/tickets",0.8983344,"gillette-stadium","02035",TRUE,14,0,"Gillette Stadium","America/New_York","Foxborough, MA","Foxborough, MA 02035","Foxborough","Gillette Stadium","MA","US",-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"4","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.878,"2018-04-20T00:00:00","Cincinnati Bengals at Indianapolis Colts",FALSE,"2018-04-20T00:47:23",4346964,"nfl",0.93,"https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964",FALSE,FALSE,FALSE,"Bengals at Colts","2018-09-09T13:00:00","normal","2018-09-09T21:00:00",NA,58,1243,1362,58,189.12,"QRCODE",FALSE,"2018-08-24T16:52:49Z",1130,"500 South Capitol Avenue","https://seatgeek.com/venues/lucas-oil-stadium/tickets",0.9071682,"lucas-oil-stadium","46225",TRUE,15,0,"Lucas Oil Stadium","America/Indiana/Indianapolis","Indianapolis, IN","Indianapolis, IN 46225","Indianapolis","Lucas Oil Stadium","IN","US",-86.1639,39.7601,"QRCODE_TM",FALSE,"2015-08-22T16:51:43Z"
"5","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.929,"2018-04-20T00:00:00","Jacksonville Jaguars at New York Giants",FALSE,"2018-04-20T00:47:20",4346952,"nfl",0.972,"https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952",FALSE,FALSE,FALSE,"Jaguars at Giants","2018-09-09T13:00:00","normal","2018-09-09T21:00:00",NA,135,2693,915,135,378.11,"QRCODE",FALSE,"2018-08-24T16:52:25Z",1587,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"metlife-stadium","07073",TRUE,21,0,"MetLife Stadium","America/New_York","East Rutherford, NJ","East Rutherford, NJ 07073","East Rutherford","MetLife Stadium","NJ","US",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"6","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.866,"2018-04-20T00:00:00","Tampa Bay Buccaneers at New Orleans Saints",FALSE,"2018-04-20T00:47:25",4346974,"nfl",0.92,"https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974",FALSE,TRUE,FALSE,"Buccaneers at Saints","2018-09-09T12:00:00","normal","2018-09-09T21:00:00",NA,60,1398,1170,60,213.07,"QRCODE",FALSE,"2018-05-29T20:38:44Z",128,"1500 Sugar Bowl Drive","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"mercedes-benz-superdome","70112",TRUE,20,0,"Mercedes-Benz Superdome","America/Chicago","New Orleans, LA","New Orleans, LA 70112","New Orleans","Mercedes-Benz Superdome","LA","US",-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"7","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.91,"2018-04-20T00:00:00","Pittsburgh Steelers at Cleveland Browns",FALSE,"2018-04-20T00:47:32",4347001,"nfl",0.955,"https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001",FALSE,FALSE,FALSE,"Steelers at Browns","2018-09-09T13:00:00","normal","2018-09-09T21:00:00",NA,135,4527,1064,135,306.38,"QRCODE",FALSE,"2018-08-24T16:53:01Z",1123,"100 Alfred Lerner Way","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0.86852187,"firstenergy-stadium-15","44114",TRUE,8,0,"FirstEnergy Stadium","America/New_York","Cleveland, OH","Cleveland, OH 44114","Cleveland","FirstEnergy Stadium","OH","US",-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"8","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.878,"2018-04-20T00:00:00","Tennessee Titans at Miami Dolphins",FALSE,"2018-04-20T00:47:47",4347082,"nfl",0.937,"https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082",FALSE,FALSE,FALSE,"Titans at Dolphins","2018-09-09T13:00:00","normal","2018-09-09T21:00:00",NA,47,13364,1965,47,169.22,"QRCODE",FALSE,"2018-08-24T17:01:07Z",29,"347 Don Shula Dr.","https://seatgeek.com/venues/hard-rock-stadium/tickets",0.8378203,"hard-rock-stadium","33056",TRUE,39,0,"Hard Rock Stadium","America/New_York","Miami Gardens, FL","Miami Gardens, FL 33056","Miami Gardens","Hard Rock Stadium","FL","US",-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"9","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.875,"2018-04-20T00:00:00","Buffalo Bills at Baltimore Ravens",FALSE,"2018-04-20T00:47:45",4347073,"nfl",0.928,"https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073",FALSE,FALSE,FALSE,"Bills at Ravens","2018-09-09T13:00:00","normal","2018-09-09T21:00:00",NA,88,1768,1198,88,227.56,"QRCODE",FALSE,"2018-08-24T16:58:09Z",1121,"1101 Russell St","https://seatgeek.com/venues/m-t-bank-stadium/tickets",0.8927189,"m-t-bank-stadium","21230",TRUE,9,0,"M&T Bank Stadium","America/New_York","Baltimore, MD","Baltimore, MD 21230","Baltimore","M&T Bank Stadium","MD","US",-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"10","2018-09-04","2018-09-04_16.00.15","","2018-09-09T17:00:00",0.932,"2018-04-20T00:00:00","San Francisco 49ers at Minnesota Vikings",FALSE,"2018-04-20T01:04:06",4347146,"nfl",0.97,"https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146",FALSE,FALSE,FALSE,"49ers at Vikings","2018-09-09T12:00:00","normal","2018-09-09T21:00:00",NA,114,1867,923,114,334.24,"QRCODE",FALSE,"2018-08-24T17:02:13Z",218451,"401 Chicago Avenue","https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"u-s-bank-stadium","55415",TRUE,14,0,"U.S. Bank Stadium","America/Chicago","Minneapolis, MN","Minneapolis, MN 55415","Minneapolis","U.S. Bank Stadium","MN","US",-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
"11","2018-09-04","2018-09-04_16.00.15","","2018-09-09T20:05:00",0.913,"2018-04-20T00:00:00","Kansas City Chiefs at Los Angeles Chargers",FALSE,"2018-04-20T00:47:53",4347113,"nfl",0.961,"https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113",FALSE,FALSE,FALSE,"Chiefs at Chargers","2018-09-09T13:05:00","normal","2018-09-10T00:05:00",NA,101,4227,701,101,232.91,"QRCODE",FALSE,"2018-08-24T17:01:48Z",52,"18400 Avalon Blvd","https://seatgeek.com/venues/stubhub-center/tickets",0.7228164,"stubhub-center","90746",TRUE,14,0,"StubHub Center","America/Los_Angeles","Carson, CA","Carson, CA 90746","Carson","StubHub Center","CA","US",-118.261,33.8643,NA,NA,NA
"12","2018-09-04","2018-09-04_16.00.15","","2018-09-09T20:25:00",0.914,"2018-04-20T00:00:00","Seattle Seahawks at Denver Broncos",FALSE,"2018-04-20T01:04:06",4347148,"nfl",0.96,"https://seatgeek.com/seahawks-at-broncos-tickets/9-9-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347148",FALSE,FALSE,FALSE,"Seahawks at Broncos","2018-09-09T14:25:00","normal","2018-09-10T00:25:00",NA,133,3723,1058,133,401.27,"QRCODE",FALSE,"2018-08-24T17:02:21Z",1131,"1701 Bryant St.","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",0.9028296,"sports-authority-field-at-mile-high","80204",TRUE,8,0,"Sports Authority Field at Mile High","America/Denver","Denver, CO","Denver, CO 80204","Denver","Sports Authority Field at Mile High","CO","US",-105.02,39.74,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"13","2018-09-04","2018-09-04_16.00.15","","2018-09-09T20:25:00",0.954,"2018-04-20T00:00:00","Dallas Cowboys at Carolina Panthers",FALSE,"2018-04-20T00:47:38",4347034,"nfl",0.985,"https://seatgeek.com/cowboys-at-panthers-tickets/9-9-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347034",FALSE,FALSE,FALSE,"Cowboys at Panthers","2018-09-09T16:25:00","normal","2018-09-10T00:25:00",NA,201,9680,1024,203,501.6,"QRCODE",FALSE,"2018-08-24T16:53:30Z",1122,"800 South Mint Street","https://seatgeek.com/venues/bank-of-america-stadium/tickets",0.8968222,"bank-of-america-stadium","28202",TRUE,10,0,"Bank of America Stadium","America/New_York","Charlotte, NC","Charlotte, NC 28202","Charlotte","Bank of America Stadium","NC","US",-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"14","2018-09-04","2018-09-04_16.00.15","","2018-09-09T20:25:00",0.914,"2018-04-20T00:00:00","Washington Redskins at Arizona Cardinals",FALSE,"2018-04-20T00:47:52",4347105,"nfl",0.958,"https://seatgeek.com/redskins-at-cardinals-tickets/9-9-2018-glendale-arizona-university-of-phoenix-stadium/nfl/4347105",FALSE,FALSE,FALSE,"Redskins at Cardinals","2018-09-09T13:25:00","normal","2018-09-10T00:25:00",NA,28,866,1705,28,126.05,"QRCODE",FALSE,"2018-08-24T17:01:32Z",43,"1 Cardinals Drive","https://seatgeek.com/venues/university-of-phoenix-stadium/tickets",0.93402725,"university-of-phoenix-stadium","85305",TRUE,11,0,"University of Phoenix Stadium","America/Phoenix","Glendale, AZ","Glendale, AZ 85305","Glendale","University of Phoenix Stadium","AZ","US",-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"15","2018-09-04","2018-09-04_16.00.15","","2018-09-10T00:20:00",0.944,"2018-04-20T00:00:00","Chicago Bears at Green Bay Packers",FALSE,"2018-04-20T00:47:14",4346916,"nfl",0.962,"https://seatgeek.com/bears-at-packers-tickets/9-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346916",FALSE,FALSE,FALSE,"Bears at Packers","2018-09-09T19:20:00","normal","2018-09-10T04:20:00",NA,213,1262,933,213,400.89,"QRCODE",FALSE,"2018-08-24T16:52:08Z",1125,"1265 Lombardi Avenue","https://seatgeek.com/venues/lambeau-field/tickets",0.92909414,"lambeau-field","54304",TRUE,8,0,"Lambeau Field","America/Chicago","Green Bay, WI","Green Bay, WI 54304","Green Bay","Lambeau Field","WI","US",-88.0622,44.5013,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"16","2018-09-04","2018-09-04_16.00.15","","2018-09-10T23:10:00",0.915,"2018-04-20T00:00:00","New York Jets at Detroit Lions",FALSE,"2018-04-20T00:47:37",4347029,"nfl",0.957,"https://seatgeek.com/jets-at-lions-tickets/9-10-2018-detroit-michigan-ford-field/nfl/4347029",FALSE,FALSE,FALSE,"Jets at Lions","2018-09-10T19:10:00","normal","2018-09-11T03:10:00",NA,55,28470,989,55,317.49,"QRCODE",FALSE,"2018-08-23T16:09:50Z",346,"2000 Brush St.","https://seatgeek.com/venues/ford-field/tickets",0.9029952,"ford-field","48226",TRUE,11,0,"Ford Field","America/Detroit","Detroit, MI","Detroit, MI 48226","Detroit","Ford Field","MI","US",-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
