event_promotion,is_open,id,title,announce_date,score,type,status,description,datetime_local,visible_until_utc,time_tbd,date_tbd,url,created_at,popularity,short_title,datetime_utc,datetime_tbd,general_admission,visible_listing_count,average_price,lowest_price_good_deals,median_price,listing_count,lowest_price,highest_price,employee_only,created_at,method,metro_code,postal_code,timezone,has_upcoming_events,id,city,extended_address,display_location,state,score,num_upcoming_events,address,slug,name,url,country,popularity,name_v2,lat,lon,employee_only,created_at,method
NA,FALSE,4346980,Arizona Cardinals at Kansas City Chiefs,2018-04-20T00:00:00,0.839,nfl,normal,,2018-11-11T12:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980,2018-04-20T00:47:27,0.95,Cardinals at Chiefs,2018-11-11T18:00:00,FALSE,NA,726,168,96,158,346,96,428,FALSE,2018-08-24T21:53:40Z,QRCODE,616,64129,America/Chicago,TRUE,1128,Kansas City,"Kansas City, MO 64129","Kansas City, MO",MO,0.8827867,4,1 Arrowhead Drive,arrowhead-stadium,Arrowhead Stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,US,0,Arrowhead Stadium,39.0489,-94.4839,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
NA,FALSE,4347006,Detroit Lions at Chicago Bears,2018-04-20T00:00:00,0.871,nfl,normal,,2018-11-11T12:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006,2018-04-20T00:47:32,0.978,Lions at Bears,2018-11-11T18:00:00,FALSE,NA,855,308,135,257,68,151,882,FALSE,2018-08-24T21:53:40Z,QRCODE,602,60605,America/Chicago,TRUE,31,Chicago,"Chicago, IL 60605","Chicago, IL",IL,0.940013,5,1410 S. Museum Campus Drive,soldier-field,Soldier Field,https://seatgeek.com/venues/soldier-field/tickets,US,0,Soldier Field,41.8623,-87.6159,FALSE,2018-06-02T00:44:08Z,NONE
NA,FALSE,4347040,New Orleans Saints at Cincinnati Bengals,2018-04-20T00:00:00,0.842,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040,2018-04-20T00:47:40,0.952,Saints at Bengals,2018-11-11T18:00:00,FALSE,NA,464,128.10638,64,115,94,66,383,FALSE,2018-08-24T21:53:40Z,QRCODE,515,45202,America/New_York,TRUE,1124,Cincinnati,"Cincinnati, OH 45202","Cincinnati, OH",OH,0.86166537,4,1 Paul Brown Stadium,paul-brown-stadium,Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,0,Paul Brown Stadium,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
NA,FALSE,4346958,Jacksonville Jaguars at Indianapolis Colts,2018-04-20T00:00:00,0.797,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958,2018-04-20T00:47:22,0.913,Jaguars at Colts,2018-11-11T18:00:00,FALSE,NA,1129,100,25,61,325,30,6078,FALSE,2018-08-24T21:53:40Z,QRCODE,527,46225,America/Indiana/Indianapolis,TRUE,1130,Indianapolis,"Indianapolis, IN 46225","Indianapolis, IN",IN,0.9071682,10,500 South Capitol Avenue,lucas-oil-stadium,Lucas Oil Stadium,https://seatgeek.com/venues/lucas-oil-stadium/tickets,US,0,Lucas Oil Stadium,39.7601,-86.1639,FALSE,2018-09-13T22:29:37Z,QRCODE_TM
NA,FALSE,4346930,Washington Redskins at Tampa Bay Buccaneers,2018-04-20T00:00:00,0.84,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930,2018-04-20T00:47:16,0.953,Redskins at Buccaneers,2018-11-11T18:00:00,FALSE,NA,736,127,86,112,25,79,312,FALSE,2018-08-24T21:53:40Z,QRCODE,539,33607,America/New_York,TRUE,39,Tampa,"Tampa, FL 33607","Tampa, FL",FL,0.86513025,10,4201 North Dale Mabry Highway,raymond-james-stadium,Raymond James Stadium,https://seatgeek.com/venues/raymond-james-stadium/tickets,US,0,Raymond James Stadium,27.9753,-82.5034,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
NA,FALSE,4346996,Atlanta Falcons at Cleveland Browns,2018-04-20T00:00:00,0.821,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996,2018-04-20T00:47:31,0.934,Falcons at Browns,2018-11-11T18:00:00,FALSE,NA,1308,66,25,49,382,25,325,FALSE,2018-08-24T21:53:40Z,QRCODE,510,44114,America/New_York,TRUE,1123,Cleveland,"Cleveland, OH 44114","Cleveland, OH",OH,0.86852187,4,100 Alfred Lerner Way,firstenergy-stadium-15,FirstEnergy Stadium,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,US,0,FirstEnergy Stadium,41.5065,-81.7,FALSE,2015-11-11T20:55:31Z,NONE
NA,FALSE,4347060,Buffalo Bills at New York Jets,2018-04-20T00:00:00,0.867,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060,2018-04-20T00:47:43,0.982,Bills at Jets,2018-11-11T18:00:00,FALSE,NA,630,126,34,97,467,55,3228,FALSE,2018-08-24T21:53:40Z,QRCODE,501,07073,America/New_York,TRUE,1587,East Rutherford,"East Rutherford, NJ 07073","East Rutherford, NJ",NJ,0.94873494,10,1 MetLife Stadium Drive,metlife-stadium,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,US,0,MetLife Stadium,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
NA,FALSE,4346990,New England Patriots at Tennessee Titans,2018-04-20T00:00:00,0.893,nfl,normal,,2018-11-11T12:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990,2018-04-20T00:47:30,0.995,Patriots at Titans,2018-11-11T18:00:00,FALSE,NA,700,602,301,521,135,301,2331,FALSE,2018-08-24T21:53:40Z,QRCODE,659,37213,America/Chicago,TRUE,1126,Nashville,"Nashville, TN 37213","Nashville, TN",TN,0.8546275,15,1 Titans Way,nissan-stadium,Nissan Stadium,https://seatgeek.com/venues/nissan-stadium/tickets,US,0,Nissan Stadium,36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
NA,FALSE,4347130,Los Angeles Chargers at Oakland Raiders,2018-04-20T00:00:00,0.828,nfl,normal,,2018-11-11T13:05:00,2018-11-12T01:05:00,FALSE,FALSE,https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130,2018-04-20T00:47:56,0.942,Chargers at Raiders,2018-11-11T21:05:00,FALSE,NA,1714,114.582886,40,108,187,40,347,FALSE,2018-08-24T21:53:40Z,QRCODE,807,94621,America/Los_Angeles,TRUE,14,Oakland,"Oakland, CA 94621","Oakland, CA",CA,0.7817843,87,7000 Coliseum Way,oakland-alameda-county-coliseum,Oakland-Alameda County Coliseum,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,US,0,Oakland-Alameda County Coliseum,37.7469,-122.201,FALSE,2015-06-24T00:00:00Z,PDF417
NA,FALSE,4346920,Seattle Seahawks at Los Angeles Rams,2018-04-20T00:00:00,0.856,nfl,normal,,2018-11-11T13:25:00,2018-11-12T01:25:00,FALSE,FALSE,https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920,2018-04-20T00:47:14,0.965,Seahawks at Rams,2018-11-11T21:25:00,FALSE,NA,1165,168,81,148,347,78,736,FALSE,2018-08-24T21:53:40Z,QRCODE,0,90037,America/Los_Angeles,TRUE,51012,Los Angeles,"Los Angeles, CA 90037","Los Angeles, CA",CA,0.86898464,5,3911 S Figueroa St,los-angeles-memorial-coliseum-1,Los Angeles Memorial Coliseum,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,US,0,Los Angeles Memorial Coliseum,34.0138,-118.288,FALSE,2018-08-23T17:59:28Z,QRCODE
