"","timestamp","id","is_open","type","score","announce_date","title","visible_until_utc","time_tbd","datetime_local","date_tbd","status","description","datetime_tbd","datetime_utc","url","created_at","popularity","short_title","general_admission","median_price","listing_count","lowest_price","highest_price","lowest_price_good_deals","average_price","visible_listing_count","employee_only","created_at","method","timezone","has_upcoming_events","id","postal_code","metro_code","extended_address","state","score","display_location","city","slug","address","num_upcoming_events","name_v2","url","country","popularity","name","lat","lon","employee_only","created_at","method"
"1","2018-10-08_08.35.56",4474093,FALSE,"sports",0.331,"2018-08-03T00:00:00","Baltimore Ravens at A Purple Evening","2018-10-09T00:00:00",FALSE,"2018-10-08T16:00:00",FALSE,"normal","",FALSE,"2018-10-08T20:00:00","https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093","2018-08-03T16:01:06",0.549,"Baltimore Ravens at A Purple Evening",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM","America/New_York",TRUE,1121,"21230",512,"Baltimore, MD 21230","MD",0.8927189,"Baltimore, MD","Baltimore","m-t-bank-stadium","1101 Russell St",7,"M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","US",0,"M&T Bank Stadium",39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"2","2018-10-08_08.35.56",4346971,TRUE,"nfl",0.875,"2018-04-20T00:00:00","Washington Redskins at New Orleans Saints","2018-10-09T04:15:00",FALSE,"2018-10-08T19:15:00",FALSE,"normal","",FALSE,"2018-10-09T00:15:00","https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971","2018-04-20T00:47:25",0.872,"Redskins at Saints",NA,204,690,72,1200,72,214.83188,664,FALSE,"2018-05-29T20:38:55Z","QRCODE","America/Chicago",TRUE,128,"70112",622,"New Orleans, LA 70112","LA",0.8966978,"New Orleans, LA","New Orleans","mercedes-benz-superdome","1500 Sugar Bowl Drive",16,"Mercedes-Benz Superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","US",0,"Mercedes-Benz Superdome",29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"3","2018-10-08_08.35.56",4346917,FALSE,"nfl",0.948,"2018-04-20T00:00:00","Philadelphia Eagles at New York Giants","2018-10-12T04:20:00",FALSE,"2018-10-11T20:20:00",FALSE,"normal","",FALSE,"2018-10-12T00:20:00","https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917","2018-04-20T00:47:14",0.928,"Eagles at Giants",NA,235,283,122,1519,122,297.14136,610,FALSE,"2018-08-24T21:52:02Z","QRCODE","America/New_York",TRUE,1587,"07073",501,"East Rutherford, NJ 07073","NJ",0.94873494,"East Rutherford, NJ","East Rutherford","metlife-stadium","1 MetLife Stadium Drive",14,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"4","2018-10-08_08.35.56",4192619,FALSE,"ncaa_football",0.494,"2017-12-21T00:00:00","Alabama State Hornets at South Alabama Jaguars Football","2018-10-14T01:00:00",FALSE,"2018-10-13T16:00:00",FALSE,"normal","",FALSE,"2018-10-13T21:00:00","https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619","2017-12-21T15:00:36",0.603,"Alabama State at South Alabama",NA,49,9,32,74,32,47.11111,4,NA,NA,NA,"America/Chicago",TRUE,3716,"36604",686,"Mobile, AL 36604","AL",0.50177634,"Mobile, AL","Mobile","ladd-peebles-stadium","1621 Virginia St.",5,"Ladd Peebles Stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","US",0,"Ladd Peebles Stadium",30.6748,-88.0761,NA,NA,NA
"5","2018-10-08_08.35.56",4346961,FALSE,"nfl",0.92,"2018-04-20T00:00:00","Indianapolis Colts at New York Jets","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00",FALSE,"normal","",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","2018-04-20T00:47:22",0.891,"Colts at Jets",NA,134,404,46,957,43,163.70297,897,FALSE,"2018-08-24T21:52:02Z","QRCODE","America/New_York",TRUE,1587,"07073",501,"East Rutherford, NJ 07073","NJ",0.94873494,"East Rutherford, NJ","East Rutherford","metlife-stadium","1 MetLife Stadium Drive",14,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"6","2018-10-08_08.35.56",4347042,FALSE,"nfl",0.893,"2018-04-20T00:00:00","Pittsburgh Steelers at Cincinnati Bengals","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00",FALSE,"normal","",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042","2018-04-20T00:47:40",0.87,"Steelers at Bengals",NA,169,261,116,661,124,190.04214,480,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",TRUE,1124,"45202",515,"Cincinnati, OH 45202","OH",0.86166537,"Cincinnati, OH","Cincinnati","paul-brown-stadium","1 Paul Brown Stadium",6,"Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","US",0,"Paul Brown Stadium",39.0961,-84.5177,FALSE,"2015-10-09T16:14:37Z","QRCODE_TM"
"7","2018-10-08_08.35.56",4347051,FALSE,"nfl",0.897,"2018-04-20T00:00:00","Tampa Bay Buccaneers at Atlanta Falcons","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00",FALSE,"normal","",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051","2018-04-20T00:47:42",0.866,"Buccaneers at Falcons",NA,163,650,70,722,68,182.93231,809,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",TRUE,419590,"30313",0,"Atlanta, GA 30313","GA",0.76958936,"Atlanta, GA","Atlanta","mercedes-benz-stadium","35 Northside Dr NW",18,"Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US",0,"Mercedes-Benz Stadium",33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"8","2018-10-08_08.35.56",4347081,FALSE,"nfl",0.895,"2018-04-20T00:00:00","Chicago Bears at Miami Dolphins","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00",FALSE,"normal","",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","2018-04-20T00:47:47",0.87,"Bears at Dolphins",NA,200,85,104,5663,80,278.54117,637,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",TRUE,29,"33056",528,"Miami Gardens, FL 33056","FL",0.8378203,"Miami Gardens, FL","Miami Gardens","hard-rock-stadium","347 Don Shula Dr.",34,"Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","US",0,"Hard Rock Stadium",25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"9","2018-10-08_08.35.56",4346942,FALSE,"nfl",0.931,"2018-04-20T00:00:00","Carolina Panthers at Washington Redskins","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00",FALSE,"normal","",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942","2018-04-20T00:47:18",0.899,"Panthers at Redskins",NA,151,72,97,284,97,157.875,776,FALSE,"2018-08-24T21:52:02Z","QRCODE","America/New_York",TRUE,35,"20785",511,"Landover, MD 20785","MD",0.9333444,"Landover, MD","Landover","fedex-field","1600 Fedex Way",6,"FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","US",0,"FedEx Field",38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"10","2018-10-08_08.35.56",4346998,FALSE,"nfl",0.871,"2018-04-20T00:00:00","Los Angeles Chargers at Cleveland Browns","2018-10-14T21:00:00",FALSE,"2018-10-14T13:00:00",FALSE,"normal","",FALSE,"2018-10-14T17:00:00","https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","2018-04-20T00:47:31",0.854,"Chargers at Browns",NA,106,580,69,755,63,142.34828,732,FALSE,"2018-08-24T21:53:35Z","QRCODE","America/New_York",TRUE,1123,"44114",510,"Cleveland, OH 44114","OH",0.86852187,"Cleveland, OH","Cleveland","firstenergy-stadium-15","100 Alfred Lerner Way",5,"FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US",0,"FirstEnergy Stadium",41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
