"","eventID","eventType","game","gameName_short","V5","venueID","lowest_price","highest_price","average_price","listing_count","lowest_price_good_deals","announce_date","created_at","visible_until_utc","status","url"
"19","4346993","nfl","Houston Texans at Tennessee Titans","Texans at Titans","Nissan Stadium","1126","63","1267","184.75","1106","63","2018-04-20T00:00:00","2018-04-20T00:47:30","2018-09-16T20:00:00","normal","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993"
"20","4347054","nfl","Carolina Panthers at Atlanta Falcons","Panthers at Falcons","Mercedes-Benz Stadium","419590","108","1825","278.91","1359","108","2018-04-20T00:00:00","2018-04-20T00:47:42","2018-09-16T21:00:00","normal","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054"
"21","4346944","nfl","Indianapolis Colts at Washington Redskins","Colts at Redskins","FedEx Field","35","86","1276","199.97","2063","86","2018-04-20T00:00:00","2018-04-20T00:47:18","2018-09-16T21:00:00","normal","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944"
"22","4347074","nfl","Kansas City Chiefs at Pittsburgh Steelers","Chiefs at Steelers","Heinz Field","1119","126","1351","324.3","824","126","2018-04-20T00:00:00","2018-04-20T00:47:45","2018-09-16T21:00:00","normal","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074"
"23","4346933","nfl","Philadelphia Eagles at Tampa Bay Buccaneers","Eagles at Buccaneers","Raymond James Stadium","39","138","1268","404.6","1172","138","2018-04-20T00:00:00","2018-04-20T00:47:16","2018-09-16T21:00:00","normal","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933"
"24","4346915","nfl","Minnesota Vikings at Green Bay Packers","Vikings at Packers","Lambeau Field","1125","200","1949","500.98","1095","200","2018-04-20T00:00:00","2018-04-20T00:47:14","2018-09-16T21:00:00","normal","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915"
"25","4346973","nfl","Cleveland Browns at New Orleans Saints","Browns at Saints","Mercedes-Benz Superdome","128","58","1800","197.27","1440","58","2018-04-20T00:00:00","2018-04-20T00:47:25","2018-09-16T21:00:00","normal","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973"
"26","4347064","nfl","Los Angeles Chargers at Buffalo Bills","Chargers at Bills","New Era Field","1135","126","2149","244.57","1053","126","2018-04-20T00:00:00","2018-04-20T00:47:44","2018-09-16T21:00:00","normal","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064"
"27","4346953","nfl","Miami Dolphins at New York Jets","Dolphins at Jets","MetLife Stadium","1587","69","1979","222.16","1691","69","2018-04-20T00:00:00","2018-04-20T00:47:20","2018-09-16T21:00:00","normal","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953"
"28","4346924","nfl","Arizona Cardinals at Los Angeles Rams","Cardinals at Rams","Los Angeles Memorial Coliseum","51012","30","1692","119.58","2711","30","2018-04-20T00:00:00","2018-04-20T00:47:15","2018-09-17T00:05:00","normal","https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924"
