"","timestamp","time_tbd","visible_until_utc","datetime_utc","score","description","is_open","date_tbd","short_title","datetime_local","status","id","popularity","created_at","announce_date","url","type","datetime_tbd","title","general_admission","lowest_price","average_price","visible_listing_count","listing_count","median_price","lowest_price_good_deals","highest_price","method","employee_only","created_at","postal_code","metro_code","extended_address","has_upcoming_events","country","score","id","city","timezone","address","name","num_upcoming_events","popularity","url","name_v2","state","slug","display_location","lon","lat","method","employee_only","created_at"
"1","2018-09-30_16.57.10",FALSE,"2018-10-01T00:05:00","2018-09-30T20:05:00",0.938,"",FALSE,FALSE,"Seahawks at Cardinals","2018-09-30T13:05:00","normal",4347103,0.976,"2018-04-20T00:47:51","2018-04-20T00:00:00","https://seatgeek.com/seahawks-at-cardinals-tickets/9-30-2018-glendale-arizona-state-farm-stadium/nfl/4347103","nfl",FALSE,"Seattle Seahawks at Arizona Cardinals",NA,23,57.28125,42,32,40,16,219,"QRCODE",FALSE,"2018-09-05T19:57:48Z","85305",753,"Glendale, AZ 85305",TRUE,"US",0.93402725,43,"Glendale","America/Phoenix","1 Cardinals Drive","State Farm Stadium",10,0,"https://seatgeek.com/venues/state-farm-stadium/tickets","State Farm Stadium","AZ","state-farm-stadium","Glendale, AZ",-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"2","2018-09-30_16.57.10",FALSE,"2018-10-01T00:05:00","2018-09-30T20:05:00",0.891,"",FALSE,FALSE,"Browns at Raiders","2018-09-30T13:05:00","normal",4347154,0.943,"2018-04-20T01:04:25","2018-04-20T00:00:00","https://seatgeek.com/browns-at-raiders-tickets/9-30-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347154","nfl",FALSE,"Cleveland Browns at Oakland Raiders",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T20:56:48Z","94621",807,"Oakland, CA 94621",TRUE,"US",0.7817843,14,"Oakland","America/Los_Angeles","7000 Coliseum Way","Oakland-Alameda County Coliseum",19,0,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland-Alameda County Coliseum","CA","oakland-alameda-county-coliseum","Oakland, CA",-122.201,37.7469,"PDF417",FALSE,"2015-06-24T00:00:00Z"
"3","2018-09-30_16.57.10",FALSE,"2018-10-01T00:25:00","2018-09-30T20:25:00",0.948,"",FALSE,FALSE,"49ers at Chargers","2018-09-30T13:25:00","normal",4347112,0.992,"2018-04-20T00:47:52","2018-04-20T00:00:00","https://seatgeek.com/49ers-at-chargers-tickets/9-30-2018-carson-california-stubhub-center/nfl/4347112","nfl",FALSE,"San Francisco 49ers at Los Angeles Chargers",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T20:52:20Z","90746",803,"Carson, CA 90746",TRUE,"US",0.7228164,52,"Carson","America/Los_Angeles","18400 Avalon Blvd","StubHub Center",13,0,"https://seatgeek.com/venues/stubhub-center/tickets","StubHub Center","CA","stubhub-center","Carson, CA",-118.261,33.8643,NA,NA,NA
"4","2018-09-30_16.57.10",FALSE,"2018-10-01T00:25:00","2018-09-30T20:25:00",0.955,"",FALSE,FALSE,"Saints at Giants","2018-09-30T16:25:00","normal",4346972,0.996,"2018-04-20T00:47:25","2018-04-20T00:00:00","https://seatgeek.com/saints-at-giants-tickets/9-30-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346972","nfl",FALSE,"New Orleans Saints at New York Giants",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T20:47:31Z","07073",501,"East Rutherford, NJ 07073",TRUE,"US",0.94873494,1587,"East Rutherford","America/New_York","1 MetLife Stadium Drive","MetLife Stadium",16,0,"https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","NJ","metlife-stadium","East Rutherford, NJ",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"5","2018-09-30_16.57.10",FALSE,"2018-10-01T04:20:00","2018-10-01T00:20:00",0.91,"",FALSE,FALSE,"Ravens at Steelers","2018-09-30T20:20:00","normal",4347080,0.932,"2018-04-20T00:47:47","2018-04-20T00:00:00","https://seatgeek.com/ravens-at-steelers-tickets/9-30-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347080","nfl",FALSE,"Baltimore Ravens at Pittsburgh Steelers",NA,113,186,225,19,172,71,287,"QRCODE",FALSE,"2018-08-24T20:51:27Z","15212",508,"Pittsburgh, PA 15212",TRUE,"US",0.9033526,1119,"Pittsburgh","America/New_York","100 Art Rooney Avenue","Heinz Field",10,0,"https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","PA","heinz-field","Pittsburgh, PA",-80.0158,40.4468,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"6","2018-09-30_16.57.10",FALSE,"2018-10-02T04:15:00","2018-10-02T00:15:00",0.895,"",FALSE,FALSE,"Chiefs at Broncos","2018-10-01T18:15:00","normal",4347139,0.932,"2018-04-20T01:04:05","2018-04-20T00:00:00","https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139","nfl",FALSE,"Kansas City Chiefs at Denver Broncos",NA,102,276.87323,263,71,251,102,748,"QRCODE",FALSE,"2018-08-24T20:57:25Z","80204",751,"Denver, CO 80204",TRUE,"US",0.9028296,1131,"Denver","America/Denver","1701 Bryant Street","Sports Authority Field at Mile High",7,0,"https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Sports Authority Field at Mile High","CO","sports-authority-field-at-mile-high","Denver, CO",-105.02,39.74,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"7","2018-09-30_16.57.10",FALSE,"2018-10-05T04:20:00","2018-10-05T00:20:00",0.933,"",FALSE,FALSE,"Colts at Patriots","2018-10-04T20:20:00","normal",4347096,0.941,"2018-04-20T00:47:50","2018-04-20T00:00:00","https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096","nfl",FALSE,"Indianapolis Colts at New England Patriots",NA,128,259.81506,423,146,240,128,620,"QRCODE",FALSE,"2018-08-24T21:03:24Z","02035",506,"Foxborough, MA 02035",TRUE,"US",0.8983344,33,"Foxborough","America/New_York","1 Patriot Place","Gillette Stadium",15,0,"https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","MA","gillette-stadium","Foxborough, MA",-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"8","2018-09-30_16.57.10",FALSE,"2018-10-06T23:30:00","2018-10-06T19:30:00",0.462,"",FALSE,FALSE,"South Alabama at Georgia Southern","2018-10-06T15:30:00","normal",4281989,0.58,"2018-02-28T15:00:17","2018-02-28T00:00:00","https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989","ncaa_football",FALSE,"South Alabama Jaguars at Georgia Southern Eagles Football",NA,29,45.304348,7,23,43,NA,69,NA,NA,NA,"30460",507,"Statesboro, GA 30460",TRUE,"US",0.41380084,2352,"Statesboro","America/New_York","225 Lanier Drive","Allen E. Paulson Stadium",3,0,"https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","Allen E. Paulson Stadium","GA","allen-e-paulson-stadium","Statesboro, GA",-81.7832,32.4488,NA,NA,NA
"9","2018-09-30_16.57.10",FALSE,"2018-10-07T21:00:00","2018-10-07T17:00:00",0.914,"",FALSE,FALSE,"Falcons at Steelers","2018-10-07T13:00:00","normal",4347079,0.915,"2018-04-20T00:47:47","2018-04-20T00:00:00","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079","nfl",FALSE,"Atlanta Falcons at Pittsburgh Steelers",NA,140,403.94412,318,179,367,140,985,"QRCODE",FALSE,"2018-08-24T21:16:40Z","15212",508,"Pittsburgh, PA 15212",TRUE,"US",0.9033526,1119,"Pittsburgh","America/New_York","100 Art Rooney Avenue","Heinz Field",10,0,"https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","PA","heinz-field","Pittsburgh, PA",-80.0158,40.4468,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"10","2018-09-30_16.57.10",FALSE,"2018-10-07T21:00:00","2018-10-07T17:00:00",0.929,"",FALSE,FALSE,"Giants at Panthers","2018-10-07T13:00:00","normal",4347032,0.934,"2018-04-20T00:47:38","2018-04-20T00:00:00","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032","nfl",FALSE,"New York Giants at Carolina Panthers",NA,150,361.31952,306,169,281,150,1028,"QRCODE",FALSE,"2018-08-24T21:15:58Z","28202",517,"Charlotte, NC 28202",TRUE,"US",0.8968222,1122,"Charlotte","America/New_York","800 South Mint Street","Bank of America Stadium",9,0,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","NC","bank-of-america-stadium","Charlotte, NC",-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"11","2018-09-30_16.57.10",FALSE,"2018-10-07T21:00:00","2018-10-07T17:00:00",0.934,"",FALSE,FALSE,"Packers at Lions","2018-10-07T13:00:00","normal",4347027,0.937,"2018-04-20T00:47:37","2018-04-20T00:00:00","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027","nfl",FALSE,"Green Bay Packers at Detroit Lions",NA,138,238.74039,418,312,199,138,2376,"QRCODE",FALSE,"2018-08-24T21:05:06Z","48226",505,"Detroit, MI 48226",TRUE,"US",0.9029952,346,"Detroit","America/Detroit","2000 Brush St.","Ford Field",11,0,"https://seatgeek.com/venues/ford-field/tickets","Ford Field","MI","ford-field","Detroit, MI",-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"12","2018-09-30_16.57.10",FALSE,"2018-10-07T21:00:00","2018-10-07T17:00:00",0.94,"",FALSE,FALSE,"Broncos at Jets","2018-10-07T13:00:00","normal",4347011,0.942,"2018-04-20T00:47:34","2018-04-20T00:00:00","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011","nfl",FALSE,"Denver Broncos at New York Jets",NA,51,152.69147,833,726,132,49,780,"QRCODE",FALSE,"2018-09-05T19:53:41Z","07073",501,"East Rutherford, NJ 07073",TRUE,"US",0.94873494,1587,"East Rutherford","America/New_York","1 MetLife Stadium Drive","MetLife Stadium",16,0,"https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","NJ","metlife-stadium","East Rutherford, NJ",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"13","2018-09-30_16.57.10",FALSE,"2018-10-07T21:00:00","2018-10-07T17:00:00",0.875,"",FALSE,FALSE,"Dolphins at Bengals","2018-10-07T13:00:00","normal",4347043,0.891,"2018-04-20T00:47:40","2018-04-20T00:00:00","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043","nfl",FALSE,"Miami Dolphins at Cincinnati Bengals",NA,61,118.09524,442,189,108,74,356,"QRCODE",FALSE,"2018-08-24T21:16:15Z","45202",515,"Cincinnati, OH 45202",TRUE,"US",0.86166537,1124,"Cincinnati","America/New_York","1 Paul Brown Stadium","Paul Brown Stadium",7,0,"https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","OH","paul-brown-stadium","Cincinnati, OH",-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
