id,datetime_local,popularity,short_title,score,status,is_open,url,title,announce_date,datetime_tbd,time_tbd,created_at,datetime_utc,visible_until_utc,date_tbd,type,description,general_admission,visible_listing_count,highest_price,lowest_price,average_price,lowest_price_good_deals,median_price,listing_count,method,employee_only,created_at,id,has_upcoming_events,state,num_upcoming_events,popularity,timezone,country,city,metro_code,url,address,extended_address,slug,display_location,postal_code,name,score,name_v2,lon,lat,method,employee_only,created_at
4347000,2018-09-20T20:20:00,0.743,Jets at Browns,0.873,normal,FALSE,https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000,New York Jets at Cleveland Browns,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:31,2018-09-21T00:20:00,2018-09-21T04:20:00,FALSE,nfl,,NA,262,352,64,132.54546,64,112,99,QRCODE,FALSE,2018-08-24T18:25:16Z,1123,TRUE,OH,7,0,America/New_York,US,Cleveland,510,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,100 Alfred Lerner Way,"Cleveland, OH 44114",firstenergy-stadium-15,"Cleveland, OH",44114,FirstEnergy Stadium,0.86852187,FirstEnergy Stadium,-81.7,41.5065,NONE,FALSE,2015-11-11T20:55:31Z
4241762,2018-09-22T19:00:00,0.689,South Alabama at Memphis,0.499,normal,FALSE,https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762,South Alabama Jaguars at Memphis Tigers Football,2018-01-31T00:00:00,FALSE,FALSE,2018-01-31T15:00:53,2018-09-23T00:00:00,2018-09-23T04:00:00,FALSE,ncaa_football,,NA,25,105,23,48.727272,23,38,66,NA,NA,NA,2827,TRUE,TN,6,0,America/Chicago,US,Memphis,640,https://seatgeek.com/venues/liberty-bowl-stadium/tickets,335 South Hollywood St,"Memphis, TN 38104",liberty-bowl-stadium,"Memphis, TN",38104,Liberty Bowl Stadium,0.6733288,Liberty Bowl Stadium,-89.98,35.12,NA,NA,NA
4346963,2018-09-23T13:00:00,0.994,Colts at Eagles,0.95,normal,FALSE,https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963,Indianapolis Colts at Philadelphia Eagles,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:23,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,643,2588,163,295.54123,152,257,194,QRCODE,FALSE,2018-08-24T18:26:28Z,330,TRUE,PA,17,0,America/New_York,US,Philadelphia,504,https://seatgeek.com/venues/lincoln-financial-field/tickets,1020 Pattison Ave,"Philadelphia, PA 19148",lincoln-financial-field,"Philadelphia, PA",19148,Lincoln Financial Field,0.90542685999999994,Lincoln Financial Field,-75.1675,39.9046,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
4347088,2018-09-23T13:00:00,0.975,Raiders at Dolphins,0.912,normal,FALSE,https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088,Oakland Raiders at Miami Dolphins,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:48,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,710,2010,68,174.01042,65,146,96,QRCODE,FALSE,2018-08-24T20:34:12Z,29,TRUE,FL,38,0,America/New_York,US,Miami Gardens,528,https://seatgeek.com/venues/hard-rock-stadium/tickets,347 Don Shula Dr.,"Miami Gardens, FL 33056",hard-rock-stadium,"Miami Gardens, FL",33056,Hard Rock Stadium,0.8378203,Hard Rock Stadium,-80.24,25.96,NONE,FALSE,2017-10-03T18:58:44Z
4347142,2018-09-23T12:00:00,0.973,Bills at Vikings,0.923,normal,FALSE,https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142,Buffalo Bills at Minnesota Vikings,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T01:04:05,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,591,885,95,225.78116,93,200,361,QRCODE,FALSE,2018-08-23T16:03:24Z,218451,TRUE,MN,14,0,America/Chicago,US,Minneapolis,0,https://seatgeek.com/venues/u-s-bank-stadium/tickets,401 Chicago Avenue,"Minneapolis, MN 55415",u-s-bank-stadium,"Minneapolis, MN",55415,U.S. Bank Stadium,0.88524246,U.S. Bank Stadium,-93.26,44.97,NONE,FALSE,2018-08-22T15:34:15Z
4346943,2018-09-23T13:00:00,1.022,Packers at Redskins,1,normal,FALSE,https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943,Green Bay Packers at Washington Redskins,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:18,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,767,615,107,207.44366,107,184,142,QRCODE,FALSE,2018-08-24T18:25:58Z,35,TRUE,MD,7,0,America/New_York,US,Landover,511,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,"Landover, MD 20785",fedex-field,"Landover, MD",20785,FedEx Field,0.9333444,FedEx Field,-76.8658,38.9071,QRCODE_TM,FALSE,2015-09-12T14:13:58Z
4347053,2018-09-23T13:00:00,0.988,Saints at Falcons,0.945,normal,FALSE,https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053,New Orleans Saints at Atlanta Falcons,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:42,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,751,842,122,244.67198,134,184,439,QRCODE,FALSE,2018-08-24T18:29:05Z,419590,TRUE,GA,19,0,America/New_York,US,Atlanta,0,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,35 Northside Dr NW,"Atlanta, GA 30313",mercedes-benz-stadium,"Atlanta, GA",30313,Mercedes-Benz Stadium,0.76958936,Mercedes-Benz Stadium,-84.4,33.76,QRCODE,FALSE,2018-08-23T20:14:46Z
4346985,2018-09-23T12:00:00,0.967,49ers at Chiefs,0.914,normal,FALSE,https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985,San Francisco 49ers at Kansas City Chiefs,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:28,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,815,637,95,182.90987,74,162,710,QRCODE,FALSE,2018-08-24T18:27:03Z,1128,TRUE,MO,9,0,America/Chicago,US,Kansas City,616,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,"Kansas City, MO 64129",arrowhead-stadium,"Kansas City, MO",64129,Arrowhead Stadium,0.8827867,Arrowhead Stadium,-94.4839,39.0489,QRCODE_TM,FALSE,2015-08-20T16:20:51Z
4347072,2018-09-23T13:00:00,0.964,Broncos at Ravens,0.909,normal,FALSE,https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072,Denver Broncos at Baltimore Ravens,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:45,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,564,434,45,98.11039,45,77,308,QRCODE,FALSE,2018-08-24T18:29:20Z,1121,TRUE,MD,8,0,America/New_York,US,Baltimore,512,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1101 Russell St,"Baltimore, MD 21230",m-t-bank-stadium,"Baltimore, MD",21230,M&T Bank Stadium,0.8927189,M&T Bank Stadium,-76.623,39.2774,QRCODE_TM,FALSE,2015-08-04T00:00:00Z
4347045,2018-09-23T13:00:00,0.956,Bengals at Panthers,0.898,normal,FALSE,https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045,Cincinnati Bengals at Carolina Panthers,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:41,2018-09-23T17:00:00,2018-09-23T21:00:00,FALSE,nfl,,NA,599,123593,68,658.1716,69,104,239,QRCODE,FALSE,2018-08-24T18:28:54Z,1122,TRUE,NC,9,0,America/New_York,US,Charlotte,517,https://seatgeek.com/venues/bank-of-america-stadium/tickets,800 South Mint Street,"Charlotte, NC 28202",bank-of-america-stadium,"Charlotte, NC",28202,Bank of America Stadium,0.8968222,Bank of America Stadium,-80.8524,35.2243,QRCODE_TM,FALSE,2015-09-25T18:23:51Z
