created_at,status,title,url,datetime_local,date_tbd,score,visible_until_utc,datetime_tbd,type,announce_date,time_tbd,datetime_utc,popularity,short_title,id,description,is_open,general_admission,median_price,visible_listing_count,highest_price,listing_count,lowest_price_good_deals,average_price,lowest_price,employee_only,created_at,method,city,postal_code,url,name_v2,score,popularity,address,slug,display_location,timezone,name,state,has_upcoming_events,country,num_upcoming_events,id,extended_address,lat,lon,employee_only,created_at,method
2018-04-20T00:47:41,normal,Baltimore Ravens at Cincinnati Bengals,https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044,2018-09-13T20:20:00,FALSE,0.845,2018-09-14T04:20:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-14T00:20:00,0.926,Ravens at Bengals,4347044,,FALSE,NA,NA,NA,797,188,55,90.84,53,FALSE,2018-08-24T17:03:28Z,QRCODE,Cincinnati,45202,https://seatgeek.com/venues/paul-brown-stadium/tickets,Paul Brown Stadium,0.86166537,0,1 Paul Brown Stadium,paul-brown-stadium,"Cincinnati, OH",America/New_York,Paul Brown Stadium,OH,TRUE,US,8,1124,"Cincinnati, OH 45202",39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
2018-02-28T15:00:17,normal,Texas State Bobcats at South Alabama Jaguars Football,https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986,2018-09-15T18:00:00,FALSE,0.315,2018-09-16T03:00:00,FALSE,ncaa_football,2018-02-28T00:00:00,FALSE,2018-09-15T23:00:00,0.529,Texas State at South Alabama,4281986,,FALSE,NA,NA,NA,63,23,10,25.68,10,NA,NA,NA,Mobile,36604,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,Ladd Peebles Stadium,0.50177634,0,1621 Virginia St.,ladd-peebles-stadium,"Mobile, AL",America/Chicago,Ladd Peebles Stadium,AL,TRUE,US,7,3716,"Mobile, AL 36604",30.6748,-88.0761,NA,NA,NA
2018-04-20T00:47:30,normal,Houston Texans at Tennessee Titans,https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993,2018-09-16T12:00:00,FALSE,0.833,2018-09-16T20:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T16:00:00,0.905,Texans at Titans,4346993,,FALSE,NA,NA,NA,408,317,59,138.65,59,FALSE,2018-08-24T18:23:49Z,QRCODE,Nashville,37213,https://seatgeek.com/venues/nissan-stadium/tickets,Nissan Stadium,0.8546275,0,1 Titans Way,nissan-stadium,"Nashville, TN",America/New_York,Nissan Stadium,TN,TRUE,US,16,1126,"Nashville, TN 37213",36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
2018-04-20T00:47:42,normal,Carolina Panthers at Atlanta Falcons,https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054,2018-09-16T13:00:00,FALSE,0.912,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.962,Panthers at Falcons,4347054,,FALSE,NA,NA,NA,756,686,86,213.69,86,FALSE,2018-08-23T20:14:46Z,QRCODE,Atlanta,30313,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,Mercedes-Benz Stadium,0.76958936,0,441 M.L.K. Jr Dr NW,mercedes-benz-stadium,"Atlanta, GA",America/New_York,Mercedes-Benz Stadium,GA,TRUE,US,15,419590,"Atlanta, GA 30313",33.76,-84.4,FALSE,2018-08-23T20:14:46Z,QRCODE
2018-04-20T00:47:18,normal,Indianapolis Colts at Washington Redskins,https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944,2018-09-16T13:00:00,FALSE,0.925,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.975,Colts at Redskins,4346944,,FALSE,NA,NA,NA,314,133,80,147.85,80,FALSE,2018-08-24T18:23:09Z,QRCODE,Landover,20785,https://seatgeek.com/venues/fedex-field/tickets,FedEx Field,0.9333444,0,1600 Fedex Way,fedex-field,"Landover, MD",America/New_York,FedEx Field,MD,TRUE,US,9,35,"Landover, MD 20785",38.9071,-76.8658,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
2018-04-20T00:47:16,normal,Philadelphia Eagles at Tampa Bay Buccaneers,https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933,2018-09-16T13:00:00,FALSE,0.885,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.944,Eagles at Buccaneers,4346933,,FALSE,NA,NA,NA,124248,27,158,4915.78,158,FALSE,2018-08-24T17:04:19Z,QRCODE,Tampa,33607,https://seatgeek.com/venues/raymond-james-stadium/tickets,Raymond James Stadium,0.86513025,0,4201 North Dale Mabry Highway,raymond-james-stadium,"Tampa, FL",America/New_York,Raymond James Stadium,FL,TRUE,US,15,39,"Tampa, FL 33607",27.9753,-82.5034,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
2018-04-20T00:47:45,normal,Kansas City Chiefs at Pittsburgh Steelers,https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074,2018-09-16T13:00:00,FALSE,0.889,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.942,Chiefs at Steelers,4347074,,FALSE,NA,NA,NA,873,168,138,280.56,117,FALSE,2018-08-24T18:24:29Z,QRCODE,Pittsburgh,15212,https://seatgeek.com/venues/heinz-field/tickets,Heinz Field,0.9033526,0,100 Art Rooney Avenue,heinz-field,"Pittsburgh, PA",America/New_York,Heinz Field,PA,TRUE,US,12,1119,"Pittsburgh, PA 15212",40.4468,-80.0158,FALSE,2015-12-08T15:36:23Z,QRCODE_TM
2018-04-20T00:47:20,normal,Miami Dolphins at New York Jets,https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953,2018-09-16T13:00:00,FALSE,0.931,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.985,Dolphins at Jets,4346953,,FALSE,NA,NA,NA,11943,336,88,237.34,88,FALSE,2018-08-24T18:23:39Z,QRCODE,East Rutherford,07073,https://seatgeek.com/venues/metlife-stadium/tickets,MetLife Stadium,0.94873494,0,1 MetLife Stadium Drive,metlife-stadium,"East Rutherford, NJ",America/New_York,MetLife Stadium,NJ,TRUE,US,19,1587,"East Rutherford, NJ 07073",40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
2018-04-20T00:47:44,normal,Los Angeles Chargers at Buffalo Bills,https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064,2018-09-16T13:00:00,FALSE,0.872,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.929,Chargers at Bills,4347064,,FALSE,NA,NA,NA,428,332,88,145.02,85,FALSE,2018-08-24T18:24:17Z,QRCODE,Orchard Park,14127,https://seatgeek.com/venues/new-era-field/tickets,New Era Field,0.8815085,0,1 Bills Drive,new-era-field,"Orchard Park, NY",America/New_York,New Era Field,NY,TRUE,US,8,1135,"Orchard Park, NY 14127",42.7737,-78.7874,FALSE,2015-08-12T16:52:53Z,QRCODE_TM
2018-04-20T00:47:14,normal,Minnesota Vikings at Green Bay Packers,https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915,2018-09-16T12:00:00,FALSE,0.917,2018-09-16T21:00:00,FALSE,nfl,2018-04-20T00:00:00,FALSE,2018-09-16T17:00:00,0.952,Vikings at Packers,4346915,,FALSE,NA,NA,NA,1258,145,270,450.37,270,FALSE,2018-08-24T17:03:48Z,QRCODE,Green Bay,54304,https://seatgeek.com/venues/lambeau-field/tickets,Lambeau Field,0.92909414,0,1265 Lombardi Avenue,lambeau-field,"Green Bay, WI",America/Chicago,Lambeau Field,WI,TRUE,US,7,1125,"Green Bay, WI 54304",44.5013,-88.0622,FALSE,2015-09-02T22:43:34Z,QRCODE_TM
