created_at,description,type,status,announce_date,is_open,id,time_tbd,url,popularity,short_title,score,datetime_utc,title,date_tbd,visible_until_utc,datetime_tbd,datetime_local,general_admission,median_price,visible_listing_count,listing_count,highest_price,average_price,lowest_price_good_deals,lowest_price,employee_only,method,created_at,name,slug,timezone,display_location,num_upcoming_events,extended_address,city,id,has_upcoming_events,name_v2,url,popularity,state,metro_code,country,score,postal_code,address,lon,lat,employee_only,method,created_at
2018-04-20T00:47:50,,nfl,normal,2018-04-20T00:00:00,FALSE,4347096,FALSE,https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096,0.939,Colts at Patriots,0.962,2018-10-05T00:20:00,Indianapolis Colts at New England Patriots,FALSE,2018-10-05T04:20:00,FALSE,2018-10-04T20:20:00,NA,195,510,84,445,228.33333,111,126,FALSE,QRCODE,2018-08-24T21:03:24Z,Gillette Stadium,gillette-stadium,America/New_York,"Foxborough, MA",14,"Foxborough, MA 02035",Foxborough,33,TRUE,Gillette Stadium,https://seatgeek.com/venues/gillette-stadium/tickets,0,MA,506,US,0.8983344,02035,1 Patriot Place,-71.2674,42.0906,FALSE,NONE,2018-08-22T15:36:58Z
2018-02-28T15:00:17,,ncaa_football,normal,2018-02-28T00:00:00,FALSE,4281989,FALSE,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,0.622,South Alabama at Georgia Southern,0.534,2018-10-06T19:30:00,South Alabama Jaguars at Georgia Southern Eagles Football,FALSE,2018-10-06T23:30:00,FALSE,2018-10-06T15:30:00,NA,42,5,20,69,44.45,NA,35,NA,NA,NA,Allen E. Paulson Stadium,allen-e-paulson-stadium,America/New_York,"Statesboro, GA",3,"Statesboro, GA 30460",Statesboro,2352,TRUE,Allen E. Paulson Stadium,https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,0,GA,507,US,0.41380084,30460,225 Lanier Drive,-81.7832,32.4488,NA,NA,NA
2018-04-20T00:47:47,,nfl,normal,2018-04-20T00:00:00,FALSE,4347079,FALSE,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,0.919,Falcons at Steelers,0.947,2018-10-07T17:00:00,Atlanta Falcons at Pittsburgh Steelers,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,254,348,115,650,280.4087,110,110,FALSE,QRCODE,2018-08-24T21:16:40Z,Heinz Field,heinz-field,America/New_York,"Pittsburgh, PA",9,"Pittsburgh, PA 15212",Pittsburgh,1119,TRUE,Heinz Field,https://seatgeek.com/venues/heinz-field/tickets,0,PA,508,US,0.9033526,15212,100 Art Rooney Avenue,-80.0158,40.4468,FALSE,QRCODE,2018-10-04T12:42:28Z
2018-04-20T00:47:38,,nfl,normal,2018-04-20T00:00:00,FALSE,4347032,FALSE,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,0.931,Giants at Panthers,0.959,2018-10-07T17:00:00,New York Giants at Carolina Panthers,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,221,381,164,761,292.01828,129,129,FALSE,QRCODE,2018-08-24T21:15:58Z,Bank of America Stadium,bank-of-america-stadium,America/New_York,"Charlotte, NC",9,"Charlotte, NC 28202",Charlotte,1122,TRUE,Bank of America Stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,0,NC,517,US,0.8968222,28202,800 South Mint Street,-80.8524,35.2243,FALSE,QRCODE_TM,2015-09-25T18:23:51Z
2018-04-20T00:47:37,,nfl,normal,2018-04-20T00:00:00,FALSE,4347027,FALSE,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,0.934,Packers at Lions,0.958,2018-10-07T17:00:00,Green Bay Packers at Detroit Lions,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,195,467,291,2358,213.50516,133,133,FALSE,QRCODE,2018-08-24T21:05:06Z,Ford Field,ford-field,America/Detroit,"Detroit, MI",11,"Detroit, MI 48226",Detroit,346,TRUE,Ford Field,https://seatgeek.com/venues/ford-field/tickets,0,MI,505,US,0.9029952,48226,2000 Brush St.,-83.0459,42.34,FALSE,NONE,2015-11-04T17:31:52Z
2018-04-20T00:47:34,,nfl,normal,2018-04-20T00:00:00,FALSE,4347011,FALSE,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,0.945,Broncos at Jets,0.968,2018-10-07T17:00:00,Denver Broncos at New York Jets,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,124,774,586,6034,146.88054,60,63,FALSE,QRCODE,2018-09-05T19:53:41Z,MetLife Stadium,metlife-stadium,America/New_York,"East Rutherford, NJ",15,"East Rutherford, NJ 07073",East Rutherford,1587,TRUE,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,0,NJ,501,US,0.94873494,07073,1 MetLife Stadium Drive,-74.0737,40.8142,FALSE,QRCODE_TM,2015-09-12T14:14:07Z
2018-04-20T00:47:40,,nfl,normal,2018-04-20T00:00:00,FALSE,4347043,FALSE,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,0.892,Dolphins at Bengals,0.9,2018-10-07T17:00:00,Miami Dolphins at Cincinnati Bengals,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,112,360,101,332,128.25743,66,68,FALSE,QRCODE,2018-08-24T21:16:15Z,Paul Brown Stadium,paul-brown-stadium,America/New_York,"Cincinnati, OH",7,"Cincinnati, OH 45202",Cincinnati,1124,TRUE,Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,0,OH,515,US,0.86166537,45202,1 Paul Brown Stadium,-84.5177,39.0961,FALSE,QRCODE_TM,2015-10-09T16:14:37Z
2018-04-20T00:47:31,,nfl,normal,2018-04-20T00:00:00,FALSE,4346999,FALSE,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,0.894,Ravens at Browns,0.904,2018-10-07T17:00:00,Baltimore Ravens at Cleveland Browns,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,108,642,414,583,136.2947,53,53,FALSE,QRCODE,2018-08-24T21:04:01Z,FirstEnergy Stadium,firstenergy-stadium-15,America/New_York,"Cleveland, OH",6,"Cleveland, OH 44114",Cleveland,1123,TRUE,FirstEnergy Stadium,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,0,OH,510,US,0.86852187,44114,100 Alfred Lerner Way,-81.7,41.5065,FALSE,NONE,2015-11-11T20:55:31Z
2018-04-20T00:47:28,,nfl,normal,2018-04-20T00:00:00,FALSE,4346983,FALSE,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,0.898,Jaguars at Chiefs,0.912,2018-10-07T17:00:00,Jacksonville Jaguars at Kansas City Chiefs,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T12:00:00,NA,169,771,483,440,178,85,87,FALSE,QRCODE,2018-08-24T21:03:49Z,Arrowhead Stadium,arrowhead-stadium,America/Chicago,"Kansas City, MO",8,"Kansas City, MO 64129",Kansas City,1128,TRUE,Arrowhead Stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,0,MO,616,US,0.8827867,64129,1 Arrowhead Drive,-94.4839,39.0489,FALSE,QRCODE_TM,2015-08-20T16:20:51Z
2018-04-20T00:47:44,,nfl,normal,2018-04-20T00:00:00,FALSE,4347063,FALSE,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,0.884,Titans at Bills,0.899,2018-10-07T17:00:00,Tennessee Titans at Buffalo Bills,FALSE,2018-10-07T21:00:00,FALSE,2018-10-07T13:00:00,NA,110,500,309,375,123.142395,74,74,FALSE,QRCODE,2018-08-24T21:16:26Z,New Era Field,new-era-field,America/New_York,"Orchard Park, NY",7,"Orchard Park, NY 14127",Orchard Park,1135,TRUE,New Era Field,https://seatgeek.com/venues/new-era-field/tickets,0,NY,514,US,0.8815085,14127,1 Bills Drive,-78.7874,42.7737,FALSE,QRCODE_TM,2015-08-12T16:52:53Z
