short_title,url,id,time_tbd,date_tbd,datetime_tbd,title,score,type,datetime_local,datetime_utc,description,status,popularity,is_open,announce_date,created_at,visible_until_utc,general_admission,average_price,lowest_price,highest_price,listing_count,lowest_price_good_deals,median_price,visible_listing_count,created_at,method,employee_only,url,id,postal_code,has_upcoming_events,extended_address,timezone,score,name,name_v2,state,slug,address,popularity,country,num_upcoming_events,metro_code,city,display_location,lon,lat,created_at,method,employee_only
Saints at Falcons,https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053,4347053,FALSE,FALSE,FALSE,New Orleans Saints at Atlanta Falcons,0.953,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.957,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:42,2018-09-23T21:00:00,NA,280.19812,146,1194,535,146,251,820,2018-08-24T18:29:05Z,QRCODE,FALSE,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,419590,30313,TRUE,"Atlanta, GA 30313",America/New_York,0.76958936,Mercedes-Benz Stadium,Mercedes-Benz Stadium,GA,mercedes-benz-stadium,441 M.L.K. Jr Dr NW,0,US,19,0,Atlanta,"Atlanta, GA",-84.4,33.76,2018-08-23T20:14:46Z,QRCODE,FALSE
Titans at Jaguars,https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950,4346950,FALSE,FALSE,FALSE,Tennessee Titans at Jacksonville Jaguars,0.827,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.871,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:19,2018-09-23T21:00:00,NA,109.92876,41,775,393,39,80,523,2018-08-24T18:26:19Z,QRCODE,FALSE,https://seatgeek.com/venues/everbank-field/tickets,5178,32202,TRUE,"Jacksonville, FL 32202",America/New_York,0.83759147,EverBank Field,EverBank Field,FL,everbank-field,1 Everbank Field Dr,0,US,9,561,Jacksonville,"Jacksonville, FL",-81.6373,30.3239,2015-10-17T20:03:42Z,QRCODE_TM,FALSE
Chargers at Rams,https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923,4346923,FALSE,FALSE,FALSE,Los Angeles Chargers at Los Angeles Rams,0.904,nfl,2018-09-23T13:05:00,2018-09-23T20:05:00,,normal,0.923,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:14,2018-09-24T00:05:00,NA,113.77317,41,459,820,41,94,1191,2018-09-05T22:17:11Z,QRCODE,FALSE,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,51012,90037,TRUE,"Los Angeles, CA 90037",America/Los_Angeles,0.86898464,Los Angeles Memorial Coliseum,Los Angeles Memorial Coliseum,CA,los-angeles-memorial-coliseum-1,3911 S Figueroa St,0,US,11,0,Los Angeles,"Los Angeles, CA",-118.288,34.0138,2018-08-23T17:59:28Z,QRCODE,FALSE
Cowboys at Seahawks,https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129,4347129,FALSE,FALSE,FALSE,Dallas Cowboys at Seattle Seahawks,0.984,nfl,2018-09-23T13:25:00,2018-09-23T20:25:00,,normal,0.979,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:56,2018-09-24T00:25:00,NA,596.19867,224,2801,151,234,573,300,2018-03-02T22:54:54Z,QRCODE,FALSE,https://seatgeek.com/venues/centurylink-field/tickets,339,98134,TRUE,"Seattle, WA 98134",America/Los_Angeles,0.87232786,CenturyLink Field,CenturyLink Field,WA,centurylink-field,800 Occidental Ave S,0,US,18,819,Seattle,"Seattle, WA",-122.33,47.6,2018-03-02T22:54:54Z,QRCODE,FALSE
Bears at Cardinals,https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104,4347104,FALSE,FALSE,FALSE,Chicago Bears at Arizona Cardinals,0.953,nfl,2018-09-23T13:25:00,2018-09-23T20:25:00,,normal,0.959,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:52,2018-09-24T00:25:00,NA,191.3956,83,623,364,74,174,703,2018-08-24T20:34:25Z,QRCODE,FALSE,https://seatgeek.com/venues/state-farm-stadium/tickets,43,85305,TRUE,"Glendale, AZ 85305",America/Phoenix,0.93402725,State Farm Stadium,State Farm Stadium,AZ,state-farm-stadium,1 Cardinals Drive,0,US,10,753,Glendale,"Glendale, AZ",-112.262,33.5294,2015-12-21T17:26:05Z,NONE,FALSE
Patriots at Lions,https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028,4347028,FALSE,FALSE,FALSE,New England Patriots at Detroit Lions,0.975,nfl,2018-09-23T20:20:00,2018-09-24T00:20:00,,normal,0.974,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:37,2018-09-24T04:20:00,NA,286.80093,137,2455,427,133,247,701,2018-08-24T18:27:28Z,QRCODE,FALSE,https://seatgeek.com/venues/ford-field/tickets,346,48226,TRUE,"Detroit, MI 48226",America/Detroit,0.9029952,Ford Field,Ford Field,MI,ford-field,2000 Brush St.,0,US,9,505,Detroit,"Detroit, MI",-83.0459,42.34,2015-11-04T17:31:52Z,NONE,FALSE
Steelers at Buccaneers,https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932,4346932,FALSE,FALSE,FALSE,Pittsburgh Steelers at Tampa Bay Buccaneers,0.907,nfl,2018-09-24T20:15:00,2018-09-25T00:15:00,,normal,0.919,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:16,2018-09-25T04:15:00,NA,406.0435,169,1039,23,151,322,332,2018-08-24T20:35:07Z,QRCODE,FALSE,https://seatgeek.com/venues/raymond-james-stadium/tickets,39,33607,TRUE,"Tampa, FL 33607",America/New_York,0.86513025,Raymond James Stadium,Raymond James Stadium,FL,raymond-james-stadium,4201 North Dale Mabry Highway,0,US,14,539,Tampa,"Tampa, FL",-82.5034,27.9753,2015-08-24T14:44:53Z,QRCODE_TM,FALSE
Vikings at Rams,https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922,4346922,FALSE,FALSE,FALSE,Minnesota Vikings at Los Angeles Rams,0.918,nfl,2018-09-27T17:20:00,2018-09-28T00:20:00,,normal,0.909,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:14,2018-09-28T04:20:00,NA,202.56815,68,971,521,64,158,1110,2018-09-05T22:17:16Z,QRCODE,FALSE,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,51012,90037,TRUE,"Los Angeles, CA 90037",America/Los_Angeles,0.86898464,Los Angeles Memorial Coliseum,Los Angeles Memorial Coliseum,CA,los-angeles-memorial-coliseum-1,3911 S Figueroa St,0,US,11,0,Los Angeles,"Los Angeles, CA",-118.288,34.0138,2018-08-23T17:59:28Z,QRCODE,FALSE
Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810,4401810,FALSE,FALSE,FALSE,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,0.353,sports,2018-09-28T19:00:00,2018-09-28T23:00:00,,normal,0.517,FALSE,2018-06-05T00:00:00,2018-06-05T16:00:59,2018-09-29T03:00:00,NA,12,12,12,1,NA,12,1,NA,NA,NA,https://seatgeek.com/venues/memorial-coliseum-1/tickets,5102,40506,TRUE,"Lexington, KY 40506",America/New_York,0.4125833,Memorial Coliseum,Memorial Coliseum,KY,memorial-coliseum-1,338 Lexington Avenue,0,US,25,541,Lexington,"Lexington, KY",-84.5,38.04,NA,NA,NA
Southwest Classic: Arkansas vs Texas A&M,https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969,4163969,FALSE,FALSE,FALSE,Southwest Classic: Arkansas vs Texas A&M,0.92,ncaa_football,2018-09-29T11:00:00,2018-09-29T16:00:00,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",normal,0.917,TRUE,2017-12-05T00:00:00,2017-12-05T15:00:24,2018-09-29T20:00:00,NA,280.75458,102,12028,929,102,218,802,2018-04-17T22:02:33Z,QRCODE,FALSE,https://seatgeek.com/venues/at-t-stadium/tickets,4965,76011,TRUE,"Arlington, TX 76011",America/Chicago,0.9751414,AT&T Stadium,AT&T Stadium,TX,at-t-stadium,1 AT&T Way,0,US,21,623,Arlington,"Arlington, TX",-97.0957,32.7459,2018-04-17T22:02:33Z,QRCODE,FALSE
South Alabama at Appalachian State,https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951,4281951,FALSE,FALSE,FALSE,South Alabama Jaguars at Appalachian State Mountaineers Football,0.527,ncaa_football,2018-09-29T15:30:00,2018-09-29T19:30:00,,normal,0.629,FALSE,2018-02-28T00:00:00,2018-02-28T15:00:11,2018-09-29T23:30:00,NA,93.18012,46,215,161,46,83,83,NA,NA,NA,https://seatgeek.com/venues/kidd-brewer-stadium/tickets,3723,28607,TRUE,"Boone, NC 28607",America/New_York,0.57884717,Kidd Brewer Stadium,Kidd Brewer Stadium,NC,kidd-brewer-stadium,1 Kidd Brewer Stadium,0,US,5,517,Boone,"Boone, NC",-81.6856,36.2116,NA,NA,NA
Eagles at Titans,https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992,4346992,FALSE,FALSE,FALSE,Philadelphia Eagles at Tennessee Titans,0.92,nfl,2018-09-30T12:00:00,2018-09-30T16:00:00,,normal,0.9,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:30,2018-09-30T20:00:00,NA,418.43082,190,931,318,188,385,545,2018-08-24T20:47:49Z,QRCODE,FALSE,https://seatgeek.com/venues/nissan-stadium/tickets,1126,37213,TRUE,"Nashville, TN 37213",America/New_York,0.8546275,Nissan Stadium,Nissan Stadium,TN,nissan-stadium,1 Titans Way,0,US,14,659,Nashville,"Nashville, TN",-86.7713,36.1665,2015-10-19T15:09:39Z,NONE,FALSE
Bills at Packers,https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911,4346911,FALSE,FALSE,FALSE,Buffalo Bills at Green Bay Packers,0.939,nfl,2018-09-30T12:00:00,2018-09-30T17:00:00,,normal,0.915,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:13,2018-09-30T21:00:00,NA,393.35434,208,1138,127,187,362,492,2018-08-24T20:38:24Z,QRCODE,FALSE,https://seatgeek.com/venues/lambeau-field/tickets,1125,54304,TRUE,"Green Bay, WI 54304",America/Chicago,0.92909414,Lambeau Field,Lambeau Field,WI,lambeau-field,1265 Lombardi Avenue,0,US,6,658,Green Bay,"Green Bay, WI",-88.0622,44.5013,2015-09-02T22:43:34Z,QRCODE_TM,FALSE
Buccaneers at Bears,https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009,4347009,FALSE,FALSE,FALSE,Tampa Bay Buccaneers at Chicago Bears,0.922,nfl,2018-09-30T12:00:00,2018-09-30T17:00:00,,normal,0.903,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:33,2018-09-30T21:00:00,NA,345.94446,160,1019,72,164,294,554,2018-08-24T20:48:11Z,QRCODE,FALSE,https://seatgeek.com/venues/soldier-field/tickets,31,60605,TRUE,"Chicago, IL 60605",America/Chicago,0.940013,Soldier Field,Soldier Field,IL,soldier-field,1410 S. Museum Campus Drive,0,US,10,602,Chicago,"Chicago, IL",-87.6159,41.8623,2018-06-02T00:44:08Z,NONE,FALSE
Dolphins at Patriots,https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092,4347092,FALSE,FALSE,FALSE,Miami Dolphins at New England Patriots,0.967,nfl,2018-09-30T13:00:00,2018-09-30T17:00:00,,normal,0.935,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:49,2018-09-30T21:00:00,NA,544.3976,288,2072,83,269,433,470,2018-08-24T20:51:36Z,QRCODE,FALSE,https://seatgeek.com/venues/gillette-stadium/tickets,33,02035,TRUE,"Foxborough, MA 02035",America/New_York,0.8983344,Gillette Stadium,Gillette Stadium,MA,gillette-stadium,1 Patriot Place,0,US,15,506,Foxborough,"Foxborough, MA",-71.2674,42.0906,2018-08-22T15:36:58Z,NONE,FALSE
Texans at Colts,https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962,4346962,FALSE,FALSE,FALSE,Houston Texans at Indianapolis Colts,0.868,nfl,2018-09-30T13:00:00,2018-09-30T17:00:00,,normal,0.864,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:22,2018-09-30T21:00:00,NA,99.05566,26,661,539,26,79,970,2018-08-24T20:46:39Z,QRCODE,FALSE,https://seatgeek.com/venues/lucas-oil-stadium/tickets,1130,46225,TRUE,"Indianapolis, IN 46225",America/Indiana/Indianapolis,0.9071682,Lucas Oil Stadium,Lucas Oil Stadium,IN,lucas-oil-stadium,500 South Capitol Avenue,0,US,12,527,Indianapolis,"Indianapolis, IN",-86.1639,39.7601,2018-09-13T22:29:37Z,QRCODE_TM,FALSE
Lions at Cowboys,https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924,4327924,FALSE,FALSE,FALSE,Detroit Lions at Dallas Cowboys,0.97,nfl,2018-09-30T12:00:00,2018-09-30T17:00:00,,normal,0.941,TRUE,2018-04-05T00:00:00,2018-04-05T23:08:47,2018-09-30T21:00:00,NA,275.77676,20,2142,2813,20,228,2218,2018-04-17T22:02:33Z,QRCODE,FALSE,https://seatgeek.com/venues/at-t-stadium/tickets,4965,76011,TRUE,"Arlington, TX 76011",America/Chicago,0.9751414,AT&T Stadium,AT&T Stadium,TX,at-t-stadium,1 AT&T Way,0,US,21,623,Arlington,"Arlington, TX",-97.0957,32.7459,2018-04-17T22:02:33Z,QRCODE,FALSE
Bengals at Falcons,https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052,4347052,FALSE,FALSE,FALSE,Cincinnati Bengals at Atlanta Falcons,0.942,nfl,2018-09-30T13:00:00,2018-09-30T17:00:00,,normal,0.917,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:42,2018-09-30T21:00:00,NA,206.13132,68,1079,792,68,192,1013,2018-08-23T20:14:46Z,QRCODE,FALSE,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,419590,30313,TRUE,"Atlanta, GA 30313",America/New_York,0.76958936,Mercedes-Benz Stadium,Mercedes-Benz Stadium,GA,mercedes-benz-stadium,441 M.L.K. Jr Dr NW,0,US,19,0,Atlanta,"Atlanta, GA",-84.4,33.76,2018-08-23T20:14:46Z,QRCODE,FALSE
Jets at Jaguars,https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949,4346949,FALSE,FALSE,FALSE,New York Jets at Jacksonville Jaguars,0.852,nfl,2018-09-30T13:00:00,2018-09-30T17:00:00,,normal,0.856,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:19,2018-09-30T21:00:00,NA,127.67804,58,489,469,61,103,759,2018-08-24T20:38:35Z,QRCODE,FALSE,https://seatgeek.com/venues/everbank-field/tickets,5178,32202,TRUE,"Jacksonville, FL 32202",America/New_York,0.83759147,EverBank Field,EverBank Field,FL,everbank-field,1 Everbank Field Dr,0,US,9,561,Jacksonville,"Jacksonville, FL",-81.6373,30.3239,2015-10-17T20:03:42Z,QRCODE_TM,FALSE
Seahawks at Cardinals,https://seatgeek.com/seahawks-at-cardinals-tickets/9-30-2018-glendale-arizona-state-farm-stadium/nfl/4347103,4347103,FALSE,FALSE,FALSE,Seattle Seahawks at Arizona Cardinals,0.939,nfl,2018-09-30T13:05:00,2018-09-30T20:05:00,,normal,0.917,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:51,2018-10-01T00:05:00,NA,150.73534,39,627,631,39,115,1076,2018-09-05T19:57:48Z,QRCODE,FALSE,https://seatgeek.com/venues/state-farm-stadium/tickets,43,85305,TRUE,"Glendale, AZ 85305",America/Phoenix,0.93402725,State Farm Stadium,State Farm Stadium,AZ,state-farm-stadium,1 Cardinals Drive,0,US,10,753,Glendale,"Glendale, AZ",-112.262,33.5294,2015-12-21T17:26:05Z,NONE,FALSE
Browns at Raiders,https://seatgeek.com/browns-at-raiders-tickets/9-30-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347154,4347154,FALSE,FALSE,FALSE,Cleveland Browns at Oakland Raiders,0.895,nfl,2018-09-30T13:05:00,2018-09-30T20:05:00,,normal,0.885,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:25,2018-10-01T00:05:00,NA,177.99457,87,709,368,87,181,626,2018-08-24T20:56:48Z,QRCODE,FALSE,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,14,94621,TRUE,"Oakland, CA 94621",America/Los_Angeles,0.7817843,Oakland-Alameda County Coliseum,Oakland-Alameda County Coliseum,CA,oakland-alameda-county-coliseum,7000 Coliseum Way,0,US,24,807,Oakland,"Oakland, CA",-122.201,37.7469,2015-06-24T00:00:00Z,PDF417,FALSE
49ers at Chargers,https://seatgeek.com/49ers-at-chargers-tickets/9-30-2018-carson-california-stubhub-center/nfl/4347112,4347112,FALSE,FALSE,FALSE,San Francisco 49ers at Los Angeles Chargers,0.959,nfl,2018-09-30T13:25:00,2018-09-30T20:25:00,,normal,0.932,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:52,2018-10-01T00:25:00,NA,314.51834,197,800,218,177,296,398,2018-08-24T20:52:20Z,QRCODE,FALSE,https://seatgeek.com/venues/stubhub-center/tickets,52,90746,TRUE,"Carson, CA 90746",America/Los_Angeles,0.7228164,StubHub Center,StubHub Center,CA,stubhub-center,18400 Avalon Blvd,0,US,16,803,Carson,"Carson, CA",-118.261,33.8643,NA,NA,NA
Saints at Giants,https://seatgeek.com/saints-at-giants-tickets/9-30-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346972,4346972,FALSE,FALSE,FALSE,New Orleans Saints at New York Giants,0.96,nfl,2018-09-30T16:25:00,2018-09-30T20:25:00,,normal,0.934,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:25,2018-10-01T00:25:00,NA,948.7763,123,126804,228,123,312,780,2018-08-24T20:47:31Z,QRCODE,FALSE,https://seatgeek.com/venues/metlife-stadium/tickets,1587,07073,TRUE,"East Rutherford, NJ 07073",America/New_York,0.94873494,MetLife Stadium,MetLife Stadium,NJ,metlife-stadium,1 MetLife Stadium Drive,0,US,17,501,East Rutherford,"East Rutherford, NJ",-74.0737,40.8142,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Ravens at Steelers,https://seatgeek.com/ravens-at-steelers-tickets/9-30-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347080,4347080,FALSE,FALSE,FALSE,Baltimore Ravens at Pittsburgh Steelers,0.932,nfl,2018-09-30T20:20:00,2018-10-01T00:20:00,,normal,0.903,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:47,2018-10-01T04:20:00,NA,285.81158,113,871,276,103,258,674,2018-08-24T20:51:27Z,QRCODE,FALSE,https://seatgeek.com/venues/heinz-field/tickets,1119,15212,TRUE,"Pittsburgh, PA 15212",America/New_York,0.9033526,Heinz Field,Heinz Field,PA,heinz-field,100 Art Rooney Avenue,0,US,10,508,Pittsburgh,"Pittsburgh, PA",-80.0158,40.4468,2015-12-08T15:36:23Z,QRCODE_TM,FALSE
Chiefs at Broncos,https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139,4347139,FALSE,FALSE,FALSE,Kansas City Chiefs at Denver Broncos,0.917,nfl,2018-10-01T18:15:00,2018-10-02T00:15:00,,normal,0.891,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:05,2018-10-02T04:15:00,NA,350.9762,167,1153,84,143,284,677,2018-08-24T20:57:25Z,QRCODE,FALSE,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1131,80204,TRUE,"Denver, CO 80204",America/Denver,0.9028296,Sports Authority Field at Mile High,Sports Authority Field at Mile High,CO,sports-authority-field-at-mile-high,1701 Bryant Street,0,US,6,751,Denver,"Denver, CO",-105.02,39.74,2015-08-07T18:39:02Z,QRCODE_TM,FALSE
Colts at Patriots,https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096,4347096,FALSE,FALSE,FALSE,Indianapolis Colts at New England Patriots,0.963,nfl,2018-10-04T20:20:00,2018-10-05T00:20:00,,normal,0.918,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:50,2018-10-05T04:20:00,NA,352.21396,167,1198,229,167,278,685,2018-08-24T21:03:24Z,QRCODE,FALSE,https://seatgeek.com/venues/gillette-stadium/tickets,33,02035,TRUE,"Foxborough, MA 02035",America/New_York,0.8983344,Gillette Stadium,Gillette Stadium,MA,gillette-stadium,1 Patriot Place,0,US,15,506,Foxborough,"Foxborough, MA",-71.2674,42.0906,2018-08-22T15:36:58Z,NONE,FALSE
South Alabama at Georgia Southern,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,4281989,FALSE,FALSE,FALSE,South Alabama Jaguars at Georgia Southern Eagles Football,0.443,ncaa_football,2018-10-06T15:30:00,2018-10-06T19:30:00,,normal,0.538,FALSE,2018-02-28T00:00:00,2018-02-28T15:00:17,2018-10-06T23:30:00,NA,45.809525,28,96,21,NA,40,10,NA,NA,NA,https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,2352,30460,TRUE,"Statesboro, GA 30460",America/New_York,0.41380084,Allen E. Paulson Stadium,Allen E. Paulson Stadium,GA,allen-e-paulson-stadium,225 Lanier Drive,0,US,4,507,Statesboro,"Statesboro, GA",-81.7832,32.4488,NA,NA,NA
Falcons at Steelers,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,4347079,FALSE,FALSE,FALSE,Atlanta Falcons at Pittsburgh Steelers,0.944,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.903,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:47,2018-10-07T21:00:00,NA,413.30496,167,1327,282,167,362,610,2018-08-24T21:16:40Z,QRCODE,FALSE,https://seatgeek.com/venues/heinz-field/tickets,1119,15212,TRUE,"Pittsburgh, PA 15212",America/New_York,0.9033526,Heinz Field,Heinz Field,PA,heinz-field,100 Art Rooney Avenue,0,US,10,508,Pittsburgh,"Pittsburgh, PA",-80.0158,40.4468,2015-12-08T15:36:23Z,QRCODE_TM,FALSE
Packers at Lions,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,4347027,FALSE,FALSE,FALSE,Green Bay Packers at Detroit Lions,0.949,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.908,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:37,2018-10-07T21:00:00,NA,212.90343,88,2412,466,86,175,747,2018-08-24T21:05:06Z,QRCODE,FALSE,https://seatgeek.com/venues/ford-field/tickets,346,48226,TRUE,"Detroit, MI 48226",America/Detroit,0.9029952,Ford Field,Ford Field,MI,ford-field,2000 Brush St.,0,US,9,505,Detroit,"Detroit, MI",-83.0459,42.34,2015-11-04T17:31:52Z,NONE,FALSE
Giants at Panthers,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,4347032,FALSE,FALSE,FALSE,New York Giants at Carolina Panthers,0.946,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.904,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:38,2018-10-07T21:00:00,NA,335.26404,169,1132,303,164,264,622,2018-08-24T21:15:58Z,QRCODE,FALSE,https://seatgeek.com/venues/bank-of-america-stadium/tickets,1122,28202,TRUE,"Charlotte, NC 28202",America/New_York,0.8968222,Bank of America Stadium,Bank of America Stadium,NC,bank-of-america-stadium,800 South Mint Street,0,US,9,517,Charlotte,"Charlotte, NC",-80.8524,35.2243,2015-09-25T18:23:51Z,QRCODE_TM,FALSE
Broncos at Jets,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,4347011,FALSE,FALSE,FALSE,Denver Broncos at New York Jets,0.967,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.92,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:34,2018-10-07T21:00:00,NA,210.08618,68,6034,615,71,160,1060,2018-09-05T19:53:41Z,QRCODE,FALSE,https://seatgeek.com/venues/metlife-stadium/tickets,1587,07073,TRUE,"East Rutherford, NJ 07073",America/New_York,0.94873494,MetLife Stadium,MetLife Stadium,NJ,metlife-stadium,1 MetLife Stadium Drive,0,US,17,501,East Rutherford,"East Rutherford, NJ",-74.0737,40.8142,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Dolphins at Bengals,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,4347043,FALSE,FALSE,FALSE,Miami Dolphins at Cincinnati Bengals,0.889,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.862,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:40,2018-10-07T21:00:00,NA,105.84548,49,318,343,49,102,723,2018-08-24T21:16:15Z,QRCODE,FALSE,https://seatgeek.com/venues/paul-brown-stadium/tickets,1124,45202,TRUE,"Cincinnati, OH 45202",America/New_York,0.86166537,Paul Brown Stadium,Paul Brown Stadium,OH,paul-brown-stadium,1 Paul Brown Stadium,0,US,7,515,Cincinnati,"Cincinnati, OH",-84.5177,39.0961,2015-10-09T16:14:37Z,QRCODE_TM,FALSE
Titans at Bills,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,4347063,FALSE,FALSE,FALSE,Tennessee Titans at Buffalo Bills,0.899,nfl,2018-10-07T13:00:00,2018-10-07T17:00:00,,normal,0.869,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:44,2018-10-07T21:00:00,NA,132.00768,55,484,521,63,112,932,2018-08-24T21:16:26Z,QRCODE,FALSE,https://seatgeek.com/venues/new-era-field/tickets,1135,14127,TRUE,"Orchard Park, NY 14127",America/New_York,0.8815085,New Era Field,New Era Field,NY,new-era-field,1 Bills Drive,0,US,7,514,Orchard Park,"Orchard Park, NY",-78.7874,42.7737,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
