type,is_open,date_tbd,created_at,announce_date,datetime_utc,visible_until_utc,id,url,time_tbd,datetime_local,score,short_title,description,popularity,status,title,datetime_tbd,general_admission,listing_count,lowest_price_good_deals,lowest_price,median_price,visible_listing_count,highest_price,average_price,employee_only,created_at,method,slug,score,country,num_upcoming_events,has_upcoming_events,extended_address,popularity,postal_code,id,display_location,url,timezone,name,city,state,metro_code,address,name_v2,lat,lon,employee_only,created_at,method
nfl,FALSE,FALSE,2018-04-20T00:47:14,2018-04-20T00:00:00,2018-09-28T00:20:00,2018-09-28T04:20:00,4346922,https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922,FALSE,2018-09-27T17:20:00,0.926,Vikings at Rams,,0.969,normal,Minnesota Vikings at Los Angeles Rams,FALSE,NA,413,52,46,96,487,665,108.745766,FALSE,2018-09-05T22:17:16Z,QRCODE,los-angeles-memorial-coliseum-1,0.86898464,US,9,TRUE,"Los Angeles, CA 90037",0,90037,51012,"Los Angeles, CA",https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,America/Los_Angeles,Los Angeles Memorial Coliseum,Los Angeles,CA,0,3911 S Figueroa St,Los Angeles Memorial Coliseum,34.0138,-118.288,FALSE,2018-08-23T17:59:28Z,QRCODE
sports,FALSE,FALSE,2018-06-05T16:00:59,2018-06-05T00:00:00,2018-09-28T23:00:00,2018-09-29T03:00:00,4401810,https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810,FALSE,2018-09-28T19:00:00,0.357,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,,0.594,normal,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,memorial-coliseum-1,0.4125833,US,26,TRUE,"Lexington, KY 40506",0,40506,5102,"Lexington, KY",https://seatgeek.com/venues/memorial-coliseum-1/tickets,America/New_York,Memorial Coliseum,Lexington,KY,541,338 Lexington Avenue,Memorial Coliseum,38.04,-84.5,NA,NA,NA
ncaa_football,TRUE,FALSE,2017-12-05T15:00:24,2017-12-05T00:00:00,2018-09-29T16:00:00,2018-09-29T20:00:00,4163969,https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969,FALSE,2018-09-29T11:00:00,0.934,Southwest Classic: Arkansas vs Texas A&M,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",0.967,normal,Southwest Classic: Arkansas vs Texas A&M,FALSE,NA,626,102,102,150,502,13374,293.83865,FALSE,2018-04-17T22:02:33Z,QRCODE,at-t-stadium,0.9751414,US,20,TRUE,"Arlington, TX 76011",0,76011,4965,"Arlington, TX",https://seatgeek.com/venues/at-t-stadium/tickets,America/Chicago,AT&T Stadium,Arlington,TX,623,1 AT&T Way,AT&T Stadium,32.7459,-97.0957,FALSE,2018-04-17T22:02:33Z,QRCODE
ncaa_football,FALSE,FALSE,2018-02-28T15:00:11,2018-02-28T00:00:00,2018-09-29T19:30:00,2018-09-29T23:30:00,4281951,https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951,FALSE,2018-09-29T15:30:00,0.512,South Alabama at Appalachian State,,0.68,normal,South Alabama Jaguars at Appalachian State Mountaineers Football,FALSE,NA,199,42,42,63,72,122,64.19598,NA,NA,NA,kidd-brewer-stadium,0.57884717,US,4,TRUE,"Boone, NC 28607",0,28607,3723,"Boone, NC",https://seatgeek.com/venues/kidd-brewer-stadium/tickets,America/New_York,Kidd Brewer Stadium,Boone,NC,517,1 Kidd Brewer Stadium,Kidd Brewer Stadium,36.2116,-81.6856,NA,NA,NA
nfl,FALSE,FALSE,2018-04-20T00:47:30,2018-04-20T00:00:00,2018-09-30T16:00:00,2018-09-30T20:00:00,4346992,https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992,FALSE,2018-09-30T12:00:00,0.933,Eagles at Titans,,0.967,normal,Philadelphia Eagles at Tennessee Titans,FALSE,NA,206,144,144,270,364,1168,295.2039,FALSE,2018-08-24T20:47:49Z,QRCODE,nissan-stadium,0.8546275,US,16,TRUE,"Nashville, TN 37213",0,37213,1126,"Nashville, TN",https://seatgeek.com/venues/nissan-stadium/tickets,America/New_York,Nissan Stadium,Nashville,TN,659,1 Titans Way,Nissan Stadium,36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
nfl,FALSE,FALSE,2018-04-20T00:47:13,2018-04-20T00:00:00,2018-09-30T17:00:00,2018-09-30T21:00:00,4346911,https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911,FALSE,2018-09-30T12:00:00,0.951,Bills at Packers,,0.966,normal,Buffalo Bills at Green Bay Packers,FALSE,NA,183,177,179,304,328,819,325.48633,FALSE,2018-08-24T20:38:24Z,QRCODE,lambeau-field,0.92909414,US,6,TRUE,"Green Bay, WI 54304",0,54304,1125,"Green Bay, WI",https://seatgeek.com/venues/lambeau-field/tickets,America/Chicago,Lambeau Field,Green Bay,WI,658,1265 Lombardi Avenue,Lambeau Field,44.5013,-88.0622,FALSE,2015-09-02T22:43:34Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:33,2018-04-20T00:00:00,2018-09-30T17:00:00,2018-09-30T21:00:00,4347009,https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009,FALSE,2018-09-30T12:00:00,0.933,Buccaneers at Bears,,0.969,normal,Tampa Bay Buccaneers at Chicago Bears,FALSE,NA,61,144,144,331,253,820,376.7377,FALSE,2018-08-24T20:48:11Z,QRCODE,soldier-field,0.940013,US,9,TRUE,"Chicago, IL 60605",0,60605,31,"Chicago, IL",https://seatgeek.com/venues/soldier-field/tickets,America/Chicago,Soldier Field,Chicago,IL,602,1410 S. Museum Campus Drive,Soldier Field,41.8623,-87.6159,FALSE,2018-06-02T00:44:08Z,NONE
nfl,FALSE,FALSE,2018-04-20T00:47:42,2018-04-20T00:00:00,2018-09-30T17:00:00,2018-09-30T21:00:00,4347052,https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052,FALSE,2018-09-30T13:00:00,0.942,Bengals at Falcons,,0.972,normal,Cincinnati Bengals at Atlanta Falcons,FALSE,NA,585,63,63,154,690,719,167.11624,FALSE,2018-08-23T20:14:46Z,QRCODE,mercedes-benz-stadium,0.76958936,US,19,TRUE,"Atlanta, GA 30313",0,30313,419590,"Atlanta, GA",https://seatgeek.com/venues/mercedes-benz-stadium/tickets,America/New_York,Mercedes-Benz Stadium,Atlanta,GA,0,441 M.L.K. Jr Dr NW,Mercedes-Benz Stadium,33.76,-84.4,FALSE,2018-08-23T20:14:46Z,QRCODE
nfl,FALSE,FALSE,2018-04-20T00:47:49,2018-04-20T00:00:00,2018-09-30T17:00:00,2018-09-30T21:00:00,4347092,https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092,FALSE,2018-09-30T13:00:00,0.984,Dolphins at Patriots,,1.002,normal,Miami Dolphins at New England Patriots,FALSE,NA,85,215,222,352,223,1167,468.12943,FALSE,2018-08-24T20:51:36Z,QRCODE,gillette-stadium,0.8983344,US,15,TRUE,"Foxborough, MA 02035",0,02035,33,"Foxborough, MA",https://seatgeek.com/venues/gillette-stadium/tickets,America/New_York,Gillette Stadium,Foxborough,MA,506,1 Patriot Place,Gillette Stadium,42.0906,-71.2674,FALSE,2018-08-22T15:36:58Z,NONE
nfl,FALSE,FALSE,2018-04-20T00:47:19,2018-04-20T00:00:00,2018-09-30T17:00:00,2018-09-30T21:00:00,4346949,https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949,FALSE,2018-09-30T13:00:00,0.855,Jets at Jaguars,,0.914,normal,New York Jets at Jacksonville Jaguars,FALSE,NA,325,42,44,76,493,393,90.86769,FALSE,2018-08-24T20:38:35Z,QRCODE,everbank-field,0.83759147,US,8,TRUE,"Jacksonville, FL 32202",0,32202,5178,"Jacksonville, FL",https://seatgeek.com/venues/everbank-field/tickets,America/New_York,EverBank Field,Jacksonville,FL,561,1 Everbank Field Dr,EverBank Field,30.3239,-81.6373,FALSE,2015-10-17T20:03:42Z,QRCODE_TM
